stream,elemento,unidad,n,median,min,max,pct_exceed_guideline
KM99,Al,ug/L,62,135,13.3,647,56
KM99,Co,ug/L,62,6,0.1,62,5
KM99,Cu,ug/L,62,0.6,0.4,21,15
KM99,Ni,ug/L,62,153,8,1220,90
KM99,Fe,ug/L,51,195,24.5,897,0
KM99,Cd,ug/L,62,9.5,0.4,88.0,98
KM99,Se,ug/L,62,0.9,0.04,5.1,45
KM99,Zn,ug/L,51,934,29,7046,98
KM99,Mn,ug/L,60,129,1,1380,27
KM99,Sulfate,mg/L,111,73,0.2,418,
KM71,Al,ug/L,57,99,8.7,1470,49
KM71,Co,ug/L,57,7.1,0.9,13,2
KM71,Cu,ug/L,57,0.8,0.4,25.0,4
KM71,Ni,ug/L,57,43,13,105,0
KM71,Fe,ug/L,47,63,4,219,0
KM71,Cd,ug/L,57,1.2,0.3,3,92
KM71,Se,ug/L,57,5.20,0,8.7,88
KM71,Zn,ug/L,47,100,12,425,57
KM71,Mn,ug/L,54,328,110,943,15
KM71,Sulfate,mg/L,77,591,120,1060,
KM175,Al,ug/L,49,59,0.4,1970,43
KM175,Co,ug/L,50,20,0.1,63,0
KM175,Cu,ug/L,50,0.3,0,2.9,2
KM175,Ni,ug/L,50,224,1,672,62
KM175,Fe,ug/L,41,2430,22,16800,74
KM175,Cd,ug/L,50,1.9,0.1,8.3,100
KM175,Se,ug/L,50,3.1,0.2,4.6,94
KM175,Zn,ug/L,48,477,18,2330,100
KM175,Mn,ug/L,50,352,0.9,1040,16
KM175,Sulfate,mg/L,70,324,8,733,
