sid,temporada,basin_cod,cuenca,nombre,viento_max_kt,presion_min_mb,categoria,n_observaciones,duracion_dias
2025031S15106,2025,SI,Índico Sur,VINCE,134.0,924.0,Cat 4,94,11.62
2025032S14120,2025,SI,Índico Sur,TALIAH,84.0,967.0,Cat 2,134,17.88
2025039S14125,2025,SI,Índico Sur,ZELIA,128.0,923.0,Cat 4,54,6.5
2025050S12125,2025,SI,Índico Sur,BIANCA,99.0,958.0,Cat 3,67,8.25
2025052S14148,2025,SP,Pacífico Sur,ALFRED,115.0,943.0,Cat 4,129,15.75
2025052S23038,2025,SI,Índico Sur,HONDE,70.0,967.0,Cat 1,68,8.38
2025054S13182,2025,SP,Pacífico Sur,RAE,89.0,961.0,Cat 2,19,2.25
2025054S17051,2025,SI,Índico Sur,GARANCE,105.0,953.0,Cat 3,48,5.88
2025056S16171,2025,SP,Pacífico Sur,SERU,64.0,980.0,Cat 1,20,2.38
2025064S05095,2025,SI,Índico Sur,IVONE,51.0,989.0,Tormenta tropical,34,4.12
2025064S12067,2025,SI,Índico Sur,JUDE,80.0,975.0,Cat 1,74,11.12
2025076S13107,2025,SI,Índico Sur,UNNAMED,45.0,995.0,Tormenta tropical,67,8.25
2025082S13116,2025,SI,Índico Sur,COURTNEY,128.0,932.0,Cat 4,74,9.12
2025086S14121,2025,SI,Índico Sur,DIANNE,45.0,991.0,Tormenta tropical,29,3.5
2025100S09132,2025,SI,Índico Sur,ERROL,138.0,919.0,Cat 5,72,8.88
2025104S15168,2025,SP,Pacífico Sur,TAM,51.0,986.0,Tormenta tropical,5,0.5
2025106S10135,2025,SP,Pacífico Sur,UNNAMED,35.0,998.0,Tormenta tropical,47,5.75
2025107S30034,2025,SI,Índico Sur,KANTO,45.0,,Tormenta tropical,24,2.88
2025129S08138,2025,SP,Pacífico Sur,UNNAMED,35.0,1003.0,Tormenta tropical,29,3.5
2025149N12256,2025,EP,Pacífico Nororiental,ALVIN,50.0,999.0,Tormenta tropical,20,2.38
2025159N12250,2025,EP,Pacífico Nororiental,COSME,60.0,991.0,Tormenta tropical,24,2.88
2025159N15258,2025,EP,Pacífico Nororiental,BARBARA,65.0,991.0,Cat 1,20,2.38
2025161N15114,2025,WP,Pacífico Noroccidental,WUTIP,64.0,979.0,Cat 1,42,5.12
2025164N11260,2025,EP,Pacífico Nororiental,DALILA,55.0,992.0,Tormenta tropical,20,2.38
2025168N11269,2025,EP,Pacífico Nororiental,ERICK,120.0,944.0,Cat 4,26,3.0
2025172N21147,2025,WP,Pacífico Noroccidental,SEPAT,39.0,1000.0,Tormenta tropical,43,5.25
2025173N30302,2025,NA,Atlántico Norte,ANDREA,35.0,1014.0,Tormenta tropical,12,1.38
2025180N13261,2025,EP,Pacífico Nororiental,FLOSSIE,105.0,958.0,Cat 3,34,4.12
2025180N19266,2025,NA,Atlántico Norte,BARRY,40.0,1006.0,Tormenta tropical,14,1.5
2025182N22149,2025,WP,Pacífico Noroccidental,MUN,60.0,982.0,Tormenta tropical,56,6.88
2025184N20122,2025,WP,Pacífico Noroccidental,DANAS,89.0,958.0,Cat 2,53,6.5
2025185N30280,2025,NA,Atlántico Norte,CHANTAL,50.0,1002.0,Tormenta tropical,23,2.62
2025191N19142,2025,WP,Pacífico Noroccidental,NARI,51.0,983.0,Tormenta tropical,43,5.12
2025197N14131,2025,WP,Pacífico Noroccidental,WIPHA,64.0,970.0,Cat 1,53,6.5
2025203N18133,2025,WP,Pacífico Noroccidental,FRANCISCO,39.0,987.0,Tormenta tropical,32,3.88
2025203N20124,2025,WP,Pacífico Noroccidental,CO-MAY,70.0,974.0,Cat 1,85,12.25
2025205N13145,2025,WP,Pacífico Noroccidental,KROSA,80.0,962.0,Cat 1,94,11.62
2025207N11219,2025,EP,Pacífico Nororiental,IONA,115.0,956.0,Cat 4,45,5.5
2025209N12220,2025,EP,Pacífico Nororiental,KELI,45.0,1003.0,Tormenta tropical,17,2.0
2025212N13247,2025,EP,Pacífico Nororiental,GIL,65.0,991.0,Cat 1,28,3.38
2025212N26130,2025,WP,Pacífico Noroccidental,BAILU,35.0,994.0,Tormenta tropical,46,5.62
2025215N33284,2025,NA,Atlántico Norte,DEXTER,50.0,999.0,Tormenta tropical,26,3.12
2025216N13243,2025,EP,Pacífico Nororiental,HENRIETTE,75.0,986.0,Cat 1,64,8.88
2025218N19149,2025,WP,Pacífico Noroccidental,PODUL,89.0,966.0,Cat 2,73,9.0
2025219N13264,2025,EP,Pacífico Nororiental,IVO,55.0,998.0,Tormenta tropical,38,4.62
2025223N17337,2025,NA,Atlántico Norte,ERIN,140.0,913.0,Cat 5,94,11.62
2025229N22127,2025,WP,Pacífico Noroccidental,LINGLING,45.0,992.0,Tormenta tropical,43,5.12
2025233N15126,2025,WP,Pacífico Noroccidental,KAJIKI,93.0,964.0,Cat 2,44,5.38
2025236N27298,2025,NA,Atlántico Norte,FERNAND,50.0,999.0,Tormenta tropical,32,3.88
2025237N16251,2025,EP,Pacífico Nororiental,JULIETTE,60.0,994.0,Tormenta tropical,28,3.38
2025240N15117,2025,WP,Pacífico Noroccidental,NONGFA,39.0,993.0,Tormenta tropical,26,3.12
2025243N14239,2025,EP,Pacífico Nororiental,KIKO,125.0,945.0,Cat 4,84,10.38
2025245N17255,2025,EP,Pacífico Nororiental,LORENA,75.0,981.0,Cat 1,24,2.88
2025245N19129,2025,WP,Pacífico Noroccidental,PEIPAH,48.0,991.0,Tormenta tropical,33,3.62
2025248N18120,2025,WP,Pacífico Noroccidental,TAPAH,64.0,984.0,Cat 1,32,3.88
2025254N14262,2025,EP,Pacífico Nororiental,MARIO,55.0,994.0,Tormenta tropical,32,5.12
2025259N13126,2025,WP,Pacífico Noroccidental,MITAG,45.0,994.0,Tormenta tropical,42,5.25
2025260N13138,2025,WP,Pacífico Noroccidental,RAGASA,144.0,910.0,Cat 5,70,8.62
2025261N19312,2025,NA,Atlántico Norte,GABRIELLE,120.0,944.0,Cat 4,64,7.88
2025261N23166,2025,WP,Pacífico Noroccidental,NEOGURI,124.0,936.0,Cat 4,92,11.38
2025265N14261,2025,EP,Pacífico Nororiental,NARDA,90.0,970.0,Cat 2,56,6.88
2025266N11137,2025,WP,Pacífico Noroccidental,BUALOI,80.0,970.0,Cat 1,57,7.0
2025268N19306,2025,NA,Atlántico Norte,HUMBERTO,140.0,918.0,Cat 5,56,6.88
2025270N21285,2025,NA,Atlántico Norte,IMELDA,80.0,966.0,Cat 1,36,4.38
2025273N09248,2025,EP,Pacífico Nororiental,OCTAVE,80.0,980.0,Cat 1,76,9.38
2025274N14133,2025,WP,Pacífico Noroccidental,MATMO,89.0,966.0,Cat 2,46,5.62
2025274N16087,2025,NI,Índico Norte,UNNAMED,35.0,994.0,Tormenta tropical,17,2.0
2025275N22068,2025,NI,Índico Norte,SHAKHTI,74.0,976.0,Cat 1,47,5.75
2025276N20147,2025,WP,Pacífico Noroccidental,HALONG,119.0,935.0,Cat 4,60,7.38
2025278N15254,2025,EP,Pacífico Nororiental,PRISCILLA,100.0,954.0,Cat 3,52,6.38
2025280N11319,2025,NA,Atlántico Norte,JERRY,55.0,1000.0,Tormenta tropical,35,4.25
2025280N13147,2025,WP,Pacífico Noroccidental,NAKRI,74.0,974.0,Cat 1,66,8.12
2025281N38324,2025,NA,Atlántico Norte,KAREN,40.0,998.0,Tormenta tropical,12,1.38
2025282N16261,2025,EP,Pacífico Nororiental,RAYMOND,50.0,998.0,Tormenta tropical,20,2.38
2025286N14320,2025,NA,Atlántico Norte,LORENZO,50.0,1000.0,Tormenta tropical,19,2.25
2025289N13140,2025,WP,Pacífico Noroccidental,FENGSHEN,51.0,988.0,Tormenta tropical,63,7.75
2025294N14290,2025,NA,Atlántico Norte,MELISSA,165.0,892.0,Cat 5,86,10.12
2025297N13247,2025,EP,Pacífico Nororiental,SONIA,45.0,1001.0,Tormenta tropical,38,4.62
2025298N11089,2025,NI,Índico Norte,MONTHA,45.0,995.0,Tormenta tropical,39,4.75
2025305N08140,2025,WP,Pacífico Noroccidental,KALMAEGI,115.0,948.0,Cat 4,58,7.25
2025308N09144,2025,WP,Pacífico Noroccidental,FUNG-WONG,115.0,943.0,Cat 4,70,8.62
2025328N07132,2025,WP,Pacífico Noroccidental,KOTO,80.0,975.0,Cat 1,78,9.62
2025329N05100,2025,NI,Índico Norte,SENYAR,45.0,996.0,Tormenta tropical,16,1.88
2025331N06083,2025,NI,Índico Norte,DITWAH,35.0,1001.0,Tormenta tropical,49,6.0
