cuenca,anio,lead_h,error_pista_km,n_pista,error_intensidad_kt,n_intensidad
ATL,1970,12,90.83,48,,0
ATL,1970,24,164.99,35,,0
ATL,1971,12,97.21,202,,0
ATL,1971,24,208.21,183,,0
ATL,1971,48,448.12,137,,0
ATL,1971,72,707.32,118,,0
ATL,1972,12,131.02,66,,0
ATL,1972,24,263.59,57,,0
ATL,1972,48,723.35,38,,0
ATL,1972,72,1276.38,25,,0
ATL,1973,12,117.9,98,,0
ATL,1973,24,216.17,84,,0
ATL,1973,48,456.05,54,,0
ATL,1973,72,672.56,29,,0
ATL,1974,12,93.16,103,,0
ATL,1974,24,179.85,89,,0
ATL,1974,48,382.37,64,,0
ATL,1974,72,645.0,42,,0
ATL,1975,12,107.23,140,,0
ATL,1975,24,216.61,121,,0
ATL,1975,48,475.8,92,,0
ATL,1975,72,744.76,68,,0
ATL,1976,12,115.88,158,,0
ATL,1976,24,236.82,143,,0
ATL,1976,48,528.22,113,,0
ATL,1976,72,801.96,85,,0
ATL,1977,12,105.15,39,,0
ATL,1977,24,246.08,30,,0
ATL,1978,12,126.78,115,,0
ATL,1978,24,267.02,101,,0
ATL,1978,48,599.21,59,,0
ATL,1978,72,783.95,33,,0
ATL,1979,12,87.36,146,,0
ATL,1979,24,165.69,138,,0
ATL,1979,48,296.48,98,,0
ATL,1979,72,441.55,83,,0
ATL,1980,12,110.79,199,,0
ATL,1980,24,238.12,188,,0
ATL,1980,48,505.88,140,,0
ATL,1980,72,749.73,109,,0
ATL,1981,12,118.56,210,,0
ATL,1981,24,233.12,190,,0
ATL,1981,48,459.91,146,,0
ATL,1981,72,783.37,106,,0
ATL,1982,12,115.43,55,,0
ATL,1982,24,243.13,45,,0
ATL,1982,48,453.06,29,,0
ATL,1982,72,502.47,21,,0
ATL,1983,12,79.68,43,,0
ATL,1983,24,154.4,34,,0
ATL,1984,12,123.45,180,,0
ATL,1984,24,243.92,157,,0
ATL,1984,48,491.33,122,,0
ATL,1984,72,717.46,89,,0
ATL,1985,12,103.24,173,,0
ATL,1985,24,202.93,151,,0
ATL,1985,48,412.04,106,,0
ATL,1985,72,629.17,69,,0
ATL,1986,12,104.87,76,,0
ATL,1986,24,198.95,66,,0
ATL,1986,48,439.87,42,,0
ATL,1986,72,710.19,27,,0
ATL,1987,12,98.55,131,,0
ATL,1987,24,201.04,119,,0
ATL,1987,48,425.27,95,,0
ATL,1987,72,646.68,67,,0
ATL,1988,12,72.85,153,,0
ATL,1988,24,132.66,133,,0
ATL,1988,36,192.24,119,,0
