anio,tsi_wm2,nao,sulfato_global,sulfato_hn,hielo_artico_derretido_pct,anomalia_temp_groenlandia,borde_norte_tropical_grados,jet_atlantico_norte_grados,erupciones_islandia,erupciones_extratropicales,erupciones_tropicales
1200,1364.792,0.428,,24.833,,-0.28971204,,47.46,1.0,2.0,2.0
1201,1364.792,-0.334,,21.904,,-0.33165224,,49.92,,,
1202,1364.792,-0.484,,15.933,,-0.36376129,,51.18,,,
1203,1364.788,-0.114,,10.797,,-0.38980979,21.6388,46.71,,,
1204,1364.784,-0.466,,17.602,,-0.41275595,22.2688,43.41,,,
1205,1364.78,-0.58,,11.629,,-0.4301453,24.8022,43.77,,,
1206,1364.776,0.693,5.41,11.911,,-0.4335381,24.5347,43.92,1.0,,
1207,1364.772,0.015,,13.553,,-0.41420278,21.7098,43.92,,,
1208,1364.766,-0.806,,12.468,,-0.37388724,22.8663,45.42,,,
1209,1364.76,-0.353,,12.326,,-0.3180445,21.9075,44.94,,,
1210,1364.754,0.263,,24.445,,-0.24823261,22.0845,45.22,2.0,,
1211,1364.748,-0.234,,23.433,,-0.16472241,21.415,44.6,1.0,,
1212,1364.742,-0.968,,26.046,,-0.06752389,22.4085,41.75,,,
1213,1364.732,0.459,1.56,19.473,,0.00804142,23.4297,50.76,,,
1214,1364.722,0.667,,29.857,,0.05898998,25.0064,46.78,,,
1215,1364.712,0.512,,18.663,,0.07791279,23.0201,47.72,,,
1216,1364.702,0.449,,17.572,,0.09009597,23.4421,44.16,,,
1217,1364.692,0.047,,11.75,,0.11063846,25.8659,45.6,,,
1218,1364.682,0.002,,12.168,,0.13336291,24.1761,47.46,,,
1219,1364.672,0.441,,14.394,,0.15909751,23.6806,47.44,,,
1220,1364.662,-0.644,,13.819,,0.19059744,22.8664,47.29,,,
1221,1364.652,-0.346,,13.227,,0.22378895,22.7498,47.48,,,
1222,1364.642,-0.506,,25.501,,0.25653182,24.2111,46.79,1.0,,
1223,1364.642,-0.778,,14.843,,0.2809569,23.4952,50.87,1.0,,
1224,1364.642,-0.119,,12.31,,0.29803823,23.458,46.94,,,
1225,1364.642,0.22,,17.626,26.6667,0.29800818,21.9015,44.78,,,
1226,1364.642,0.731,,17.45,20.0,0.27786648,22.1129,44.6,1.0,,
1227,1364.642,0.4,67.52,12.201,24.2857,0.2429736,24.5622,47.03,,1.0,
1228,1364.658,0.24,,11.548,5.7143,0.1926844,22.7901,47.81,,,
1229,1364.674,1.252,,12.347,39.0909,0.136683,21.3658,49.21,,,
1230,1364.69,0.372,,13.97,98.75,0.0834078,22.7954,48.23,,3.0,1.0
1231,1364.706,0.146,,21.529,42.5,0.0390297,22.3532,47.52,1.0,,
1232,1364.722,-0.214,13.93,50.536,34.5455,0.0014975,21.9411,46.41,,,
1233,1364.752,-0.012,,41.872,96.25,-0.0213776,23.1792,49.76,,,
1234,1364.782,0.196,,17.978,79.1667,-0.03904778,22.9845,48.68,,,
1235,1364.812,-0.049,,10.154,9.7143,-0.05741236,23.1795,45.47,,1.0,
1236,1364.842,-0.07,,12.263,71.4286,-0.07824961,21.5448,49.17,,,
1237,1364.872,-0.499,,13.492,51.1765,-0.10563559,22.7652,51.03,,,
1238,1364.902,-0.054,,16.624,97.5,-0.1564344,21.6441,48.95,1.0,,
1239,1364.932,-0.235,,12.352,81.0,-0.22455373,22.5116,44.08,,2.0,
1240,1364.962,-0.374,,15.102,82.2222,-0.29889161,21.9512,44.31,1.0,1.0,1.0
1241,1364.992,-0.165,,12.795,96.25,-0.38438712,21.0376,50.74,,,
1242,1365.022,-0.599,,11.789,56.0,-0.47207369,19.4669,50.38,,,
1243,1365.036,0.362,,8.9326,62.0,-0.55795546,22.3879,49.96,,,
1244,1365.05,-0.234,,16.423,51.8182,-0.64096902,21.4856,48.48,,,
1245,1365.064,0.212,,16.325,16.9231,-0.71833522,24.5668,47.57,1.0,1.0,
1246,1365.078,0.864,,9.7983,55.5556,-0.78798868,24.0748,45.91,,,
1247,1365.092,1.388,,10.603,78.75,-0.85029763,22.9524,49.27,,,
1248,1365.08,0.483,,11.091,36.9231,-0.90445094,22.4942,49.47,,,
1249,1365.068,0.428,,12.851,53.3333,-0.953777595,22.8444,48.04,,,
1250,1365.056,0.378,,12.937,92.5,-1.005127944,24.9447,47.19,1.0,2.0,1.0
1251,1365.044,0.58,,14.472,35.7143,-1.044630853,24.4096,46.3,,,
1252,1365.032,2.489,,12.451,32.0,-1.073198141,22.0509,43.89,,,
1253,1364.998,0.441,,9.6907,27.8571,-1.08816511,22.4664,47.85,,,1.0
1254,1364.964,-0.244,,13.153,49.2308,-1.097011139,24.3281,49.38,,,
1255,1364.93,0.172,,11.27,92.2222,-1.096712394,20.9218,47.98,,,
1256,1364.896,-0.047,,11.113,72.2222,-1.086549067,20.8015,49.02,,,1.0
1257,1364.862,-0.283,,13.915,88.3333,-1.066667378,22.7277,50.72,,,1.0
1258,1364.81,0.834,257.91,52.817,56.3636,-1.036519993,23.0408,49.0,,,
1259,1364.758,0.991,,114.95,40.0,-0.99247392,21.1867,49.05,,,
1260,1364.706,1.048,,25.106,85.0,-0.9365023,22.421,48.76,,1.0,1.0
1261,1364.654,0.919,,13.114,54.6154,-0.87868365,22.9034,49.7,,,
1262,1364.602,1.16,,13.81,75.5556,-0.8153697,21.9174,49.86,1.0,,
1263,1364.548,1.139,,13.039,25.0,-0.74693089,23.8448,50.91,,,
1264,1364.494,0.99,,13.696,31.4286,-0.6760392,22.4718,51.13,,,
1265,1364.44,0.942,,16.051,92.8571,-0.61361929,23.3823,50.24,,1.0,
1266,1364.386,1.434,,12.399,65.0,-0.56013109,25.4045,48.6,,,
1267,1364.333,1.417,,12.787,20.7692,-0.5113352,26.6432,49.76,,,
1268,1364.288,1.197,15.52,12.917,41.25,-0.46727296,25.185,49.34,,,
1269,1364.245,-0.502,,15.147,59.2308,-0.4233985,23.268,40.98,,1.0,
1270,1364.201,0.407,,17.23,75.8333,-0.37328202,22.8166,44.58,2.0,,
1271,1364.157,0.417,,11.267,100.0,-0.31368604,20.8973,46.51,,1.0,
1272,1364.113,0.009,,11.378,38.6667,-0.25021461,22.385,46.42,,2.0,
1273,1364.091,0.429,,8.631,25.4546,-0.18236812,24.54,44.91,,1.0,
1274,1364.069,0.314,,8.5479,65.5556,-0.11164416,24.2208,44.39,,1.0,
1275,1364.047,-0.477,63.72,11.082,99.0,-0.03347096,22.8442,49.11,,,
