anio,clase_2y3,clase_3,clase_2,clase_1,series_con_crecida
1543,3,3,0,5,8
1544,11,5,6,5,16
1545,6,5,1,2,8
1546,6,2,4,1,7
1547,2,2,0,1,3
1548,6,4,2,4,10
1549,2,1,1,2,4
1550,3,2,1,6,9
1551,10,3,7,8,18
1552,12,3,9,1,13
1553,5,4,1,6,11
1554,3,2,1,3,6
1555,4,2,2,8,12
1556,2,1,1,6,8
1557,8,5,3,7,15
1558,2,0,2,3,5
1559,6,2,4,5,11
1560,3,0,3,5,8
1561,4,1,3,3,7
1562,5,2,3,4,9
1563,4,2,2,8,12
1564,2,1,1,5,7
1565,16,2,14,13,29
1566,22,9,13,9,31
1567,10,4,6,12,22
1568,4,0,4,5,9
1569,13,8,5,4,17
1570,21,9,12,13,34
1571,10,6,4,8,18
1572,8,3,5,7,15
1573,15,3,12,16,31
1574,0,0,0,3,3
1575,4,0,4,9,13
1576,2,1,1,3,5
1577,4,3,1,6,10
1578,6,1,5,6,12
1579,8,1,7,11,19
1580,3,3,0,7,10
1581,9,4,5,13,22
1582,14,3,11,10,24
1583,4,0,4,6,10
1584,7,1,6,11,18
1585,5,3,2,6,11
1586,6,2,4,11,17
1587,5,2,3,2,7
1588,2,1,1,10,12
1589,12,4,8,8,20
1590,3,2,1,6,9
1591,8,3,5,6,14
1592,1,1,0,6,7
1593,10,4,6,10,20
1594,5,1,4,2,7
1595,16,13,3,13,29
1596,6,3,3,8,14
1597,8,4,4,4,12
1598,13,8,5,8,21
1599,8,1,7,12,20
1600,5,0,5,5,10
1601,5,0,5,9,14
1602,13,6,7,4,17
1603,7,1,6,8,15
1604,12,5,7,8,20
1605,5,0,5,8,13
1606,5,3,2,2,7
1607,8,2,6,5,13
1608,14,3,11,11,25
1609,11,6,5,8,19
1610,6,1,5,6,12
1611,7,4,3,1,8
1612,3,0,3,4,7
1613,5,1,4,10,15
1614,10,5,5,1,11
1615,10,6,4,1,11
1616,7,1,6,9,16
1617,13,7,6,6,19
1618,18,6,12,17,35
1619,0,0,0,6,6
1620,4,0,4,1,5
1621,6,1,5,5,11
1622,8,3,5,7,15
1623,1,1,0,6,7
1624,7,2,5,8,15
1625,6,1,5,11,17
1626,10,6,4,5,15
1627,6,2,4,2,8
1628,7,2,5,8,15
1629,10,3,7,7,17
1630,4,0,4,4,8
1631,1,0,1,5,6
1632,4,1,3,10,14
1633,14,2,12,6,20
1634,5,3,2,6,11
1635,10,4,6,2,12
1636,7,4,3,5,12
1637,5,2,3,4,9
1638,3,1,2,4,7
1639,3,1,2,4,7
1640,13,4,9,11,24
