anio,mes,mes_codigo,dia_gregoriano,estacion,localidad,pais_actual,lat,lon,cuerpo_agua,tipo_cuerpo_agua,intensidad_3,intensidad_6,duracion_dias,contemporaneidad,incert_intensidad,incert_cuerpo_agua,incert_localidad,incert_fecha
1341,3,3,5,spring,Venice,Italy,45.4375,12.3358,Adriatic Sea,sea,2,5,,1,2,1,1,1
1341,4,4,23,spring,Parchovany,Slovakia,48.7528,21.7139,Topl’a,river,2,3,,1,3,1,1,1
1341,4,4,23,spring,Parchovany,Slovakia,48.7528,21.7139,Ondava,river,2,3,,1,3,2,1,1
1341,11,11,16,autumn,Chrámec,Slovakia,48.2833,20.1833,Rima,river,1,1,,1,3,1,1,1
1341,11,11,16,autumn,Chrámec,Slovakia,48.2833,20.1833,Slana/Sajó,river,1,1,,1,3,1,1,1
1341,12,12,7,winter,Orestiada,Greece,41.5,26.5333,Evros,river,2,3,7.0,1,3,1,1,1
1342,2,2,9,winter,Prague,Czech Rep.,50.0886,14.4214,Vltava,river,3,6,,1,1,1,1,1
1342,2,2,10,winter,Linz,Austria,48.3031,14.2906,Danube,river,3,6,,1,1,1,3,1
1342,2,2,10,winter,Venice,Italy,45.4375,12.3358,Adriatic Sea,sea,3,3,,1,3,1,1,2
1342,2,2,11,winter,Dresden,Germany,51.05,13.7333,Elbe,river,3,3,,1,3,1,1,1
1342,2,2,14,winter,Rouen,France,49.45,1.1,Seine,river,3,5,15.0,1,2,1,1,1
1342,2,2,14,winter,Martainville,France,49.2742,0.4072,Eure,river,3,5,,1,2,1,1,1
1342,2,2,17,winter,Atzelle,Germany,51.0603,13.2767,Elbe,river,2,3,,1,3,1,1,1
1342,2,2,17,winter,Deta,Hungary,48.0342,20.8894,Hejő,river,2,3,,1,3,1,1,1
1342,2,2,17,winter,Deta,Hungary,48.0342,20.8894,Szinva,stream,2,3,,1,3,2,1,1
1342,2,2,17,winter,Deta,Hungary,48.0342,20.8894,Sajó,river,2,3,,1,3,2,1,1
1342,2,2,18,winter,Vendôme,France,47.8,1.0667,Loir,river,2,3,,1,3,1,1,1
1342,2,2,22,winter,Würzburg,Germany,49.8,9.9333,Main,river,2,3,,1,3,1,1,2
1342,2,2,22,winter,Frankfurt,Germany,50.1064,8.6875,Main,river,2,3,,1,3,1,1,2
1342,2,2,22,winter,Ochsenfurt,Germany,49.6667,10.0833,Main,river,2,3,,1,3,1,1,2
1342,,13,,winter,Passau,Germany,48.5728,13.4775,Inn,river,2,3,,3,3,1,1,2
1342,,13,,winter,Passau,Germany,48.5728,13.4775,Danube,river,2,3,,3,3,1,1,2
1342,,13,,winter,Cologne,Germany,50.9333,6.95,Rhine,river,2,3,,2,3,1,2,2
1342,,13,,winter,Apuldram,UK,50.8219,-0.8061,Lavant,river,2,3,,1,2,2,2,2
1342,3,3,14,spring,Berkesz,Hungary,48.1,21.9833,Tisza,river,3,5,,1,2,1,1,1
1342,3,3,,spring,Makedonia,Greece,40.5075,22.7175,Axios,river,2,5,31.0,1,2,1,1,1
1342,4,4,13,spring,Cologne,Germany,50.9333,6.95,Rhine,rivers,2,3,,1,3,1,2,3
1342,4,4,13,spring,Mainz,Germany,50.0,8.2667,Main,rivers,2,3,,1,3,1,2,3
1342,4,4,13,spring,Linz,Austria,48.3031,14.2906,Danube,rivers,2,3,,1,3,2,2,3
1342,4,4,13,spring,Klagenfurt,Austria,46.5833,14.2833,Drava catchment,rivers,1,1,,1,3,2,3,3
1342,4,4,19,spring,Apatin,Serbia,45.6717,18.9872,Danube,river,2,3,,1,3,1,1,2
1342,4,4,19,spring,Apatin,Serbia,45.6717,18.9872,Drava,river,2,3,,1,3,3,1,2
1342,4,4,,spring,Makedonia,Greece,40.5075,22.7175,Axios,river,2,5,30.0,1,2,1,1,1
1342,5,5,3,spring,Bešeňov,Slovakia,48.0461,18.2636,Žitava,river,1,1,,1,3,1,1,1
1342,5,5,11,spring,Püspökladány,Hungary,47.3178,21.1167,Tisza,river,1,1,,1,3,1,1,2
