mes,b1,b2,b3,b4,b5
1,0.5360431159846437,0.5044074086385262,0.4630810973663649,0.4879224139692798,0.4336063662178037
2,0.5935394579461226,0.5114253366435658,0.5485293437963171,0.6401612770656748,0.5360844269170514
3,0.5842951308501312,0.5869841780567764,0.5749504107519389,0.6865616030117128,0.6569561095618482
4,0.7385135408215544,0.7519879396597781,0.8310054185247463,0.8848642233079255,0.7322899052030296
5,0.6596515132482577,0.6432945674614009,0.7339739801985076,0.9677447712272575,0.9484092233301661
6,0.8892384686508215,0.9536592725828603,1,1,1
7,0.9820362620905169,1,0.8829430824544539,0.8788833356893171,0.9500940991091209
8,1,0.9959493897531317,0.8834928260193664,0.8940938180845307,0.9655516504716426
9,0.8887067007690224,0.9510875181096524,0.8857524547961894,0.8669817220710723,0.8997041959485246
10,0.7467393640336588,0.8285370151538719,0.8300333511829239,0.7788690709628084,0.7887788987764842
11,0.5794643628715686,0.5813988154162902,0.6591633272662317,0.7308252158989661,0.6710544426641794
12,0.5869255450406246,0.492964706761058,0.5063994192302376,0.5020183067299872,0.4757039023503334
