anio,ca_ppb_raw,ca_ppb_lpf20yr
2020,35.33775,201.460875648895
2019,307.44,195.48030233852
2018,122.4355238095238,190.037451371036
2017,295.5024545454546,185.663472377252
2016,52.70130000000002,182.896115821226
2015,33.76508695652176,182.238443711271
2014,297.7451071428571,184.116702169738
2013,176.5044166666667,188.84076995795
2012,631.7594444444443,196.570578339803
2011,95.64990000000002,207.291588235701
2010,346.5141666666666,220.801824588305
2009,31.20263636363636,236.712144021347
2008,67.49242857142858,254.460411130712
2007,419.9015625,273.339159544572
2006,116.4942222222222,292.535205923672
2005,89.17328571428571,311.178661838425
2004,864.6103333333332,328.397939234709
2003,159.6327692307692,343.376747176455
2002,128.9172307692307,355.408788800263
2001,181.2440354810809,363.94592133377
2000,239.0837527216083,368.635943797079
1999,1316.33482871305,369.346902414819
1998,164.2430599080882,366.175800563345
1997,385.984631007499,359.440791787245
1996,335.741037632907,349.657226345534
1995,167.5116607993821,337.499208686165
1994,61.90105621011779,323.749498265771
1993,454.6870057606288,309.241549674846
1992,326.7919015406699,294.798156558892
1991,124.1355461819294,281.171477236467
1990,654.5322268443455,268.989147051265
1989,204.3510414055407,258.71072427109
1988,49.24814214536931,250.597906145676
1987,117.1025695075627,244.700853022077
1986,219.6482113405344,240.861659722851
1985,328.7022871735581,238.734621081843
1984,195.3792667333648,237.821567938062
1983,263.0274760374611,237.519315576659
1982,378.5291280491194,237.175272601446
1981,415.9750736986348,236.146589038887
1980,114.4918359171153,233.857935738343
1979,130.3998451031678,229.853128469193
1978,176.1077679054331,223.836330728232
1977,664.6309849771708,215.699446487949
1976,50.84788307550332,205.533474846792
1975,15.14600281968676,193.622945378529
1974,59.66304029800235,180.423972425611
1973,87.49639280043783,166.527838719479
1972,57.83386507578705,152.613227442728
1971,158.3130809445906,139.391164863139
1970,199.8485301103882,127.547333243908
1969,98.70161367395093,117.686615603471
1968,319.7919082945928,110.284523598672
1967,94.5498433269321,105.649556101013
1966,283.8108858493538,103.899591301701
1965,17.08906690443917,104.954210877857
1964,90.3942726961844,108.543494385814
1963,117.9694133240756,114.232422227804
1962,18.41971976979506,121.458705912106
1961,36.80589963471191,129.580737265142
1960,80.15779614908942,137.93150919382
1959,317.7381323563711,145.873879873166
1958,50.54659403827313,152.852469118323
1957,446.4584650324412,158.437795145335
1956,97.94821936922679,162.358952308602
1955,65.19900467964851,164.522134260754
1954,49.51594721422356,165.013534492734
1953,50.14947006332258,164.086500938993
1952,190.0791701025496,162.134167520046
1951,70.44632377422009,159.650018119127
1950,214.6444344661991,157.179853169345
1949,232.6711171939307,155.269340928549
1948,139.8577983413025,154.411686490645
1947,449.6917061204032,154.999914913217
1946,313.8073630113835,157.287847243005
1945,207.4852679396654,161.363088890484
1944,113.8633874219003,167.134316684554
1943,51.70639545656942,174.333934525333
1942,66.87413519462254,182.535872832218
1941,37.23333199356969,191.187044213234
1940,17.06752560140694,199.649842946333
1939,66.98505799084722,207.252181647469
1938,67.53242847581801,213.340966547672
1937,153.2027339093787,217.334667930157
1936,1214.641258990372,218.770759120864
1935,83.15481162707975,217.344259746497
1934,57.50159551874296,212.934381677637
1933,162.1436043194635,205.617269675367
1932,367.8505892801737,195.663965873095
1931,32.48314805637445,183.523910465954
1930,120.9637431020224,169.795421546075
1929,50.42022195261532,155.185583189119
1928,334.5274329564841,140.462735681206
1927,41.77168401216476,126.405249102799
1926,128.1912456638931,113.750440372161
1925,41.10420809517699,103.147360262106
1924,29.70483531587794,95.1167532092548
1923,77.69483771755861,90.0208248638558
1922,92.07230299361578,88.0446049543854
1921,28.13733187195192,89.1897432870665
1920,83.22987496661749,93.2806069718991
1919,199.1753900043017,99.9816375884888
1918,58.51746990266985,108.824149328465
1917,255.7204085377556,119.240159739243
1916,249.8957117446428,130.600481068482
