latitud,longitud,al_mean_ugm3,num_datos
35.038,33.058,0.531073173006552,2442
41.767,2.35,0.1830531413843888,679
49.9,4.633,0.02546116666666666,6
49.05,22.267,0.04196971428571428,28
43.53,5.441,0.04382612414035088,57
48.562,5.505,0.1000857071348315,89
45.923,6.87,0.05390816207758621,116
51.025,2.303,0.232419862492647,136
45.162,5.736,0.1429591814411765,306
50.437,2.827,0.1559391250731707,164
43.306,5.396,0.08423259517610063,159
43.702,7.286,0.09979296726704545,176
49.276,2.482,0.1181658064516129,217
43.402,4.982,0.2017219711137931,290
46.584,0.346,0.2102388417387387,111
49.908,4.63,0.1211420898209877,162
50.707,3.181,0.1738710640522876,153
48.59,7.745,0.1548609411333333,90
44.8,-0.588,0.022573063,37
45.074,7.676,0.1051269472,60
37.995,23.816,0.3921573913043478,115
50.065,19.945,0.2609406272711864,59
43.62,11.47,0.1697748923072289,166
40.3,18.1,0.2041390894857143,70
43.84,10.57,0.1819075167757576,165
35.52,12.63,0.3327043269619182,709
38.093,-3.784,0.8185566846968504,254
41.387,2.115,0.2559658836670762,814
43.547,-5.704,0.3292145205405406,111
37.164,-3.605,0.614940023046875,64
40.373,-3.612,0.9732794872444444,90
40.422,-3.682,0.7103036787789473,95
42.003,2.287,0.3753842691366907,139
38.174,-3.005,0.5211015116532257,124
43.852,11.176,0.347141814325,120
43.84,10.573,0.2955550987030303,165
43.786,11.287,0.1813069675862069,116
45.479,9.235,0.246362598516129,124
45.479,9.235,0.2959348163608027,2342
45.47,9.197,0.2542113174092694,1273
45.017,11.076,0.2484054028107287,988
43.915,11.006,0.2137215311004785,209
40.207,-8.437,0.2199505638863637,88
40.207,-8.425,0.1725009197160494,81
41.2,-8.55,0.4366307282,115
47.541,7.583,0.1072093023255814,86
46.951,7.441,0.1844705882352941,85
46.16,8.934,0.16,86
46.813,6.944,0.1037931034482759,87
47.378,8.53,0.08827586206896551,87
58.8,17.383,0.010781,28
55.792,-3.243,0.01665105263157894,19
35.338,25.669,1.126092827586207,29
51.573,-1.317,0.02412146153846154,26
45.8,8.633,0.08300457142857143,28
53.326,-9.899,0.1209925,14
51.526,12.928,0.07278792592592592,27
42.051,0.73,0.02217404545454545,22
46.813,6.945,0.02130882142857143,28
45.772,2.965,0.0535730606060606,33
46.967,19.583,0.1698773333333333,18
48.562,5.506,0.02474444444444444,9
48.709,2.159,0.04161075,8
46.052499,13.614876,0.100421218220339,236
46.419,15.869,0.1543858379166667,240
45.956,13.643,0.1426392459330144,209
46.236,15.268,0.1215774545112782,532
46.485,14.87,0.149127925,484
45.561,14.858,0.06732127773913044,575
46.558,15.646,0.257921540066778,599
46.051,14.506,0.1299941934466019,824
47.403,8.613,0.2616302419911504,113
37.262,-6.943,0.7587458318742138,159
51.52,-0.151,5.768982937365011e-05,463
46.085,13.634,0.234980186097561,41
49.959,17.691,0.2468817471576087,184
53.466,-2.231,0.1279336615271318,645
47.379,8.542,0.11666472775,284
35.896,14.49,0.5885118261407035,199
38.093,-3.784,0.7407611234759036,166
37.272,-5.925,0.6018978540809248,519
36.72,-4.43,0.5739110192405062,158
37.197,-3.608,0.7660668217305936,219
36.159,-5.348,0.3690185824322581,155
37.199,-6.932,0.6648589752291667,384
37.894,-4.768,0.7698557370941176,170
37.016,-6.57,0.4975400342091346,416
36.845,-2.457,0.5440161679096386,166
37.282,-6.834,0.9266089769329268,164
37.696,-6.55,0.8186857983817863,571
36.997,-1.895,0.4863658669101797,167
37.377,-6.004,0.677643950739645,169
36.183,-5.387,0.3817080985414847,229
36.462,-6.218,0.3325148854074074,162
50.304,6.001,0.04682253177165355,127
37.538533,15.182997,0.810493154,1
39.249787,14.394479,0.622471763,1
40.690414,13.898805,0.675097857,1
40.779876,14.169802,0.2252125,1
40.770611,14.08416,0.158146134,1
38.850744,15.230235,0.266952441,1
38.748674,15.22142,0.575112948,1
38.804634,15.168529,0.402511348,1
38.635426,15.103832,0.750675744,1
38.421679,14.927802,0.46408047,1
38.413465,14.989952,0.099809783,1
