fuel,temp_k,soot_ei_kg,ice_ei_kg
Jet-A1,218,100000000000.0,2093000000000000.0
Jet-A1,218,300000000000.0,2089000000000000.0
Jet-A1,218,500000000000.0,2085000000000000.0
Jet-A1,218,1000000000000.0,2075000000000000.0
Jet-A1,218,3000000000000.0,2044000000000000.0
Jet-A1,218,5000000000000.0,2021000000000000.0
Jet-A1,218,10000000000000.0,1934000000000000.0
Jet-A1,218,15000000000000.0,1859000000000000.0
Jet-A1,218,20000000000000.0,1790000000000000.0
Jet-A1,218,25000000000000.0,1668000000000000.0
Jet-A1,218,30000000000000.0,1579000000000000.0
Jet-A1,218,40000000000000.0,1390000000000000.0
Jet-A1,218,50000000000000.0,1227000000000000.0
Jet-A1,218,60000000000000.0,1049000000000000.0
Jet-A1,218,80000000000000.0,798100000000000.0
Jet-A1,218,100000000000000.0,585800000000000.0
Jet-A1,218,150000000000000.0,294300000000000.0
Jet-A1,218,200000000000000.0,230200000000000.0
Jet-A1,218,250000000000000.0,253300000000000.0
Jet-A1,218,300000000000000.0,295200000000000.0
Jet-A1,218,400000000000000.0,385300000000000.0
Jet-A1,218,500000000000000.0,475100000000000.0
Jet-A1,218,600000000000000.0,563500000000000.0
Jet-A1,218,800000000000000.0,736400000000000.0
Jet-A1,218,1000000000000000.0,904400000000000.0
Jet-A1,218,1500000000000000.0,1308000000000000.0
Jet-A1,218,2000000000000000.0,1693000000000000.0
Jet-A1,218,2500000000000000.0,2060000000000000.0
Jet-A1,218,3000000000000000.0,2413000000000000.0
Jet-A1,218,4000000000000000.0,3081000000000000.0
Jet-A1,218,5000000000000000.0,3709000000000000.0
Jet-A1,218,6000000000000000.0,4301000000000000.0
Jet-A1,218,8000000000000000.0,5377000000000000.0
Jet-A1,218,1e+16,6325000000000000.0
Jet-A1,216,100000000000.0,3593000000000000.0
Jet-A1,216,300000000000.0,3588000000000000.0
Jet-A1,216,500000000000.0,3584000000000000.0
Jet-A1,216,1000000000000.0,3574000000000000.0
Jet-A1,216,3000000000000.0,3530000000000000.0
Jet-A1,216,5000000000000.0,3489000000000000.0
Jet-A1,216,10000000000000.0,3394000000000000.0
