ligando,nombre_completo,E_Cu_plus_Mol_eV,E_Mol_eV,E_Cu_eV,E_interaccion_eV
DA,dopamina (catecol-base),-191281.10,-188720.59,-2559.75,-0.757
AA,ácido ascórbico,-192396.62,-188720.53,-3675.70,-0.394
CA,ácido cítrico,-192835.14,-188720.89,-4114.19,-0.055
AMP,2-amino-2-metil-1-propanol,-190225.98,-188720.29,-1504.83,-0.856
DEGBE,dietilenglicol butil éter,-191559.57,-188720.65,-2838.54,-0.389
