muestra,longitud_enlace_Cu_Cu_A,numero_coordinacion,delta_E_eV,sigma2
Cu/AA seeds,2.537,7.861,6,0.00851
Cu/CA seeds,2.537,8.496,6,0.00780
Cu/DA seeds,2.537,5.383,6,0.00822
Cu Foil comercial,2.538,10.361,6,0.00784
