condado,estado,ibd_medio_cm,grupo_ancestria
Dade,Georgia,0.306801482439152,All
Winston,Alabama,0.284744503605847,All
Lee,Alabama,0.283566490802081,All
Clay,Alabama,0.280220789313318,All
Jackson,Colorado,0.27721903959039,All
Clay,Kentucky,0.276452580377889,All
Jackson,Alabama,0.275614327873932,All
Yancey,North Carolina,0.27061533340827,All
Etowah,Alabama,0.269189325672732,All
King,Texas,0.266763306038225,All
Leslie,Kentucky,0.263295568425701,All
Cherokee,Alabama,0.260175067514733,All
Forsyth,Georgia,0.257114011190358,All
Glasscock,Texas,0.249010439943084,All
Lauderdale,Alabama,0.248284343980104,All
Grainger,Tennessee,0.2482372530259,All
Stokes,North Carolina,0.248162783068929,All
Ozark,Missouri,0.247866367796883,All
Granville,North Carolina,0.246587514726078,All
Elbert,Georgia,0.245293408797985,All
Latimer,Oklahoma,0.243874902416904,All
Halifax,Virginia,0.24143732080643,All
Roberts,Texas,0.238393470041781,All
Howell,Missouri,0.237899919448267,All
Morgan,Tennessee,0.236803738271511,All
Clay,North Carolina,0.236723278109205,All
Macon,North Carolina,0.23575945796451,All
Patrick,Virginia,0.235122122038973,All
Lanier,Georgia,0.23507903589949,All
Newton,Arkansas,0.235048421929789,All
Cullman,Alabama,0.23376121725402,All
Fentress,Tennessee,0.233680438076575,All
McCreary,Kentucky,0.232157188193251,All
Kent,Texas,0.231954741485683,All
Pickens,Georgia,0.231901912122856,All
Perry,Arkansas,0.2295761585714,All
Barrow,Georgia,0.229005548925135,All
Faulkner,Arkansas,0.227728746459539,All
Prentiss,Mississippi,0.22716166734066,All
Crane,Texas,0.227016883563618,All
Magoffin,Kentucky,0.225724233735412,All
Hickman,Tennessee,0.225684385517894,All
Trinity,Texas,0.224997233281378,All
Rabun,Georgia,0.224408477870553,All
Laclede,Missouri,0.224356247317691,All
Franklin,Tennessee,0.224029826780763,All
Dallas,Arkansas,0.223235938051078,All
Stone,Arkansas,0.222851212233398,All
Coryell,Texas,0.222518693646137,All
Glades,Florida,0.222353922089407,All
Sterling,Texas,0.222131181534158,All
Walthall,Mississippi,0.221745496242691,All
George,Mississippi,0.221677857084238,All
Hall,Georgia,0.221439856995188,All
Perry,Kentucky,0.22068283749035,All
Knox,Kentucky,0.220443226467113,All
Breathitt,Kentucky,0.219843285866313,All
Cottle,Texas,0.219577482116791,All
Allen,Kentucky,0.21898650851634,All
Morgan,Alabama,0.218828206746104,All
Ward,Texas,0.218609245436837,All
Madison,North Carolina,0.218582918473807,All
Scott,Arkansas,0.218493123400032,All
Pontotoc,Mississippi,0.217420873279236,All
Titus,Texas,0.217011535212876,All
Alleghany,North Carolina,0.216902266758754,All
Marion,Tennessee,0.215962258444539,All
Murray,Georgia,0.215518520375042,All
Jefferson,Alabama,0.215281943993992,All
Monroe,Mississippi,0.214565842084715,All
Garland,Arkansas,0.214229650507679,All
Citrus,Florida,0.21421232915144,All
Izard,Arkansas,0.213925961351529,All
