estado,pais,ibd_medio_cm,grupo_ancestria
Vastra Gotaland,Sweden,0.0286376009552462,All
Gurabo,Puerto Rico,0.0284611454350285,All
Zeeland,Netherlands,0.0283449018459346,All
Gauteng,South Africa,0.0283160235014402,All
Okinawa,Japan,0.0282992350060533,All
Aguadilla,Puerto Rico,0.0282535339681377,All
Volgograd,Russia,0.0281665492462332,All
Las Marias,Puerto Rico,0.0281280471219915,All
Brandenburg,Germany,0.0280777259542538,All
Incheon,South Korea,0.0280746634038078,All
Centre-Val de Loire,France,0.0279399151547445,All
Inagua,Bahamas,0.027894889726341,All
Bangkok Metropolis,Thailand,0.0278375986601556,All
Southern Finland,Finland,0.0278364220773246,All
Nor̡urland vestra,Iceland,0.0278158661145935,All
North Side,Cayman Islands,0.0277920446325613,All
Nordrhein-Westfalen,Germany,0.027725230397274,All
Nord-Trondelag,Norway,0.0276398727918087,All
Obwalden,Switzerland,0.0275215603501547,All
Rio Negro,Argentina,0.0274902127537354,All
Portsmouth,United Kingdom,0.0274641579868831,All
Pohnpei,Micronesia,0.02736139960194,All
Tokyo,Japan,0.0273585952804321,All
Ostergotland,Sweden,0.0272148531879957,All
Sodermanland,Sweden,0.0272104115827952,All
Sonora,Mexico,0.0270932328608615,All
Medway,United Kingdom,0.0270158738481809,All
Portuguesa,Venezuela,0.0269360225544414,All
Kosrae,Micronesia,0.0269292588614099,All
Limburg,Netherlands,0.0269047575229121,All
Causeni,Moldova,0.0267706053717849,All
Western Finland,Finland,0.0266835085242028,All
Gunma,Japan,0.0266658518226456,All
Schaffhausen,Switzerland,0.0266568616486977,All
Saint George Basseterre,Saint Kitts and Nevis,0.0266128529891938,All
Vasternorrland,Sweden,0.026524089985797,All
Eastern Finland,Finland,0.0264869437931933,All
Lower Austria,Austria,0.026448229277189,All
Bremen,Germany,0.0263145949437398,All
Hamburg,Germany,0.0263067371486286,All
Saarland,Germany,0.0262785968249875,All
Oulu,Finland,0.026141192915895,All
Su̡urland,Iceland,0.0261206145185628,All
Saint Lucy,Barbados,0.0260714160339024,All
Bali,Indonesia,0.0260333594802969,All
Central Bohemian,Czech Republic,0.0260122767445026,All
Glarus,Switzerland,0.0259579525253099,All
Ainaro,Timor-Leste,0.0259567507720056,All
Hadramawt,Yemen,0.0258751210358928,All
Utuado,Puerto Rico,0.0258500584976666,All
Overijssel,Netherlands,0.0258344633687824,All
Carinthia,Slovenia,0.0257955752214598,All
Mpumalanga,South Africa,0.0257356535774132,All
Pardubitz,Czech Republic,0.0257179932217285,All
Schwyz,Switzerland,0.0257178423247451,All
Orebro,Sweden,0.0257022657489964,All
Melekeok,Palau,0.0256865146605899,All
Burgenland,Austria,0.0256590465545189,All
Kaliningrad,Russia,0.0256295369321471,All
Bamyan,Afghanistan,0.0256144995156403,All
Su̡urnes,Iceland,0.0255891549143073,All
Northern Cape,South Africa,0.0255258356556446,All
Salaj,Romania,0.0254788879524741,All
Hovedstaden,Denmark,0.0254078331178106,All
Guadalcanal,Solomon Islands,0.0253317175680852,All
Transcarpathia,Ukraine,0.0252819109129887,All
Zuid-Holland,Netherlands,0.0252680445804493,All
Plymouth,United Kingdom,0.0252275839776282,All
Ubon Ratchathani,Thailand,0.0250804076770564,All
Gelderland,Netherlands,0.0248953917096386,All
Noord-Brabant,Netherlands,0.0248952803889894,All
Briceni,Moldova,0.0248932545772183,All
Tirol,Austria,0.0248258257901742,All
Blekinge,Sweden,0.0248141288269243,All
Gottwaldov,Czech Republic,0.0247728237092537,All
Free State,South Africa,0.0247286449716036,All
Ponce,Puerto Rico,0.0247200112777484,All
Busan,South Korea,0.0246389764590822,All
South Moravian,Czech Republic,0.0246340392050257,All
Tongatapu,Tonga,0.024618971352304,All
Sachsen-Anhalt,Germany,0.0245778234763521,All
Prague,Czech Republic,0.0244775501805739,All
Bou Saada,Algeria,0.0244198727101029,All
Shizuoka,Japan,0.0243801218422219,All
Piemonte,Italy,0.024336822114281,All
Cayenne,French Guiana,0.0242205826285137,All
Cayey,Puerto Rico,0.0242134152030998,All
Toscana,Italy,0.0241896698400469,All
Tartu,Estonia,0.0241723605766859,All
Varmland,Sweden,0.0241629230762268,All
Khomas,Namibia,0.0241417725529056,All
Yazd,Iran,0.0241159150338982,All
Chernivtsi,Ukraine,0.0241109243031279,All
Rayong,Thailand,0.0240789188230133,All
Barbuda,Antigua and Barbuda,0.0240200608023046,All
Caras-severin,Romania,0.023963621233121,All
Ostfold,Norway,0.0239598471659629,All
Arad,Romania,0.0239494453990783,All
Noord-Holland,Netherlands,0.02385008939629,All
Vinnytsya,Ukraine,0.023841805521785,All
Salinas,Puerto Rico,0.0238039722404016,All
Pahang,Malaysia,0.0236929610758833,All
Vysocina,Czech Republic,0.0236314806531593,All
South Bohemian,Czech Republic,0.0236300010509572,All
HaMerkaz,Israel,0.0235724446835273,All
Manzini,Swaziland,0.0235531700458271,All
Singerei,Moldova,0.0235218117431801,All
Saint Elizabeth,Jamaica,0.0235048256310855,All
Nara,Japan,0.023469798529764,All
Akershus,Norway,0.0234683632725023,All
Sogn og Fjordane,Norway,0.0072047145368762,Scandinavian American
Hedmark,Norway,0.0065667349450198,Scandinavian American
More og Romsdal,Norway,0.0064938450468623,Scandinavian American
Rogaland,Norway,0.0058518091309773,Scandinavian American
Hordaland,Norway,0.00564076348807682,Scandinavian American
Buskerud,Norway,0.00562206835644468,Scandinavian American
Soer-Troendelag,Norway,0.0043867649662899,Scandinavian American
Aust-Agder,Norway,0.00420211911712483,Scandinavian American
Telemark,Norway,0.00388111084988651,Scandinavian American
Oppland,Norway,0.00370036559303477,Scandinavian American
Nord-Trondelag,Norway,0.00359255397468079,Scandinavian American
Oslo,Norway,0.003521907265287,Scandinavian American
Oulu,Finland,0.0034963556031129,Scandinavian American
Ostfold,Norway,0.00343811951471193,Scandinavian American
Dalarna,Sweden,0.00336182225495886,Scandinavian American
Troms,Norway,0.00317933172668455,Scandinavian American
Norrbotten,Sweden,0.0031228722910109,Scandinavian American
Eastern Finland,Finland,0.0030921305175247,Scandinavian American
Jamtland,Sweden,0.00284138318526965,Scandinavian American
Nordland,Norway,0.00265167839240575,Scandinavian American
North Dakota,United States,0.00250895477076462,Scandinavian American
Vasternorrland,Sweden,0.0024239842505703,Scandinavian American
Vestfold,Norway,0.00234119847237443,Scandinavian American
Vest-Agder,Norway,0.00230104210245293,Scandinavian American
Akershus,Norway,0.00225135164051621,Scandinavian American
Kalmar,Sweden,0.0021736842753643,Scandinavian American
Gavleborg,Sweden,0.0020166870754661,Scandinavian American
Western Finland,Finland,0.0019921973486344,Scandinavian American
Swansea,United Kingdom,0.0019730616264015,Scandinavian American
Minnesota,United States,0.00195947094649914,Scandinavian American
Orebro,Sweden,0.00171925819179276,Scandinavian American
Iowa,United States,0.00169393976123922,Scandinavian American
South Dakota,United States,0.00166081864434278,Scandinavian American
Montana,United States,0.00164450526395205,Scandinavian American
Denbighshire,United Kingdom,0.0016430509071345,Scandinavian American
Jonkoping,Sweden,0.0016209033338136,Scandinavian American
Herefordshire,United Kingdom,0.00159185453454385,Scandinavian American
Vasterbotten,Sweden,0.001494240997688,Scandinavian American
Ostergotland,Sweden,0.00146154274932585,Scandinavian American
Anglesey,United Kingdom,0.0014235104615704,Scandinavian American
Missouri,United States,0.00139926484535815,Scandinavian American
Varmland,Sweden,0.00130835924256899,Scandinavian American
Arkansas,United States,0.00130320047428778,Scandinavian American
Conwy,United Kingdom,0.0012960005833826,Scandinavian American
Tennessee,United States,0.00129521615626962,Scandinavian American
Kentucky,United States,0.00128450668677937,Scandinavian American
Gwynedd,United Kingdom,0.00127875349172345,Scandinavian American
Causeway Coast and Glens,United Kingdom,0.00126886457900135,Scandinavian American
Syddanmark,Denmark,0.0012658193650263,Scandinavian American
Vastra Gotaland,Sweden,0.0012565078582769,Scandinavian American
Southern Finland,Finland,0.0012289305879788,Scandinavian American
Mid and East Antrim,United Kingdom,0.0012245220037929,Scandinavian American
Gloucestershire,United Kingdom,0.00117025063317857,Scandinavian American
Oklahoma,United States,0.00116968527802763,Scandinavian American
Nebraska,United States,0.00116960082945832,Scandinavian American
Bridgend,United Kingdom,0.00112698706909466,Scandinavian American
Oregon,United States,0.00111012980421454,Scandinavian American
Alabama,United States,0.00109877262011586,Scandinavian American
Wisconsin,United States,0.00109244489930889,Scandinavian American
Northern Territory,Australia,0.0010809279125083,Scandinavian American
Texas,United States,0.00107711276775174,Scandinavian American
Powys,United Kingdom,0.0010564272681408,Scandinavian American
Kansas,United States,0.00105523447259135,Scandinavian American
Washington,United States,0.00104184292678986,Scandinavian American
North Carolina,United States,0.00103652530982393,Scandinavian American
Virginia,United States,0.0010296014865507,Scandinavian American
Indiana,United States,0.00101747179101307,Scandinavian American
Idaho,United States,0.00100110443672072,Scandinavian American
Canterbury,New Zealand,0.00099730845046635,Scandinavian American
Georgia,United States,0.000987397049264017,Scandinavian American
Illinois,United States,0.000985373057265769,Scandinavian American
Skane,Sweden,0.0009671532655027,Scandinavian American
Mississippi,United States,0.000951338873764488,Scandinavian American
Clackmannanshire,United Kingdom,0.0009225404612985,Scandinavian American
Alaska,United States,0.000917453249538516,Scandinavian American
Tirol,Austria,0.0008874801300987,Scandinavian American
Florida,United States,0.000885935568665836,Scandinavian American
Saskatchewan,Canada,0.000883825597822733,Scandinavian American
Michigan,United States,0.000876719153177184,Scandinavian American
South Carolina,United States,0.000875232647533206,Scandinavian American
West Virginia,United States,0.000866090928286916,Scandinavian American
Neath Port Talbot,United Kingdom,0.000863953939885275,Scandinavian American
Wyoming,United States,0.000857300836775252,Scandinavian American
Hampshire,United Kingdom,0.000856323954308239,Scandinavian American
New Mexico,United States,0.000854572302515051,Scandinavian American
