mouse_id,cell_type,pct_zsgreen_positive
mouse_1,AM,59.8
mouse_1,IM,26.0
mouse_1,cDC1,9.68
mouse_1,cDC2,5.2
mouse_1,pMo,1.07
mouse_1,Neu,0.8
mouse_1,cMo,0.45
mouse_2,AM,64.5
mouse_2,IM,38.2
mouse_2,cDC1,13.9
mouse_2,cDC2,12.5
mouse_2,pMo,0.8
mouse_2,Neu,0.9
mouse_2,cMo,0.74
mouse_3,AM,71.9
mouse_3,IM,42.0
mouse_3,cDC1,10.1
mouse_3,cDC2,8.92
mouse_3,pMo,0.82
mouse_3,Neu,1.11
mouse_3,cMo,0.68
mouse_4,AM,58.3
mouse_4,IM,33.9
mouse_4,cDC1,8.71
mouse_4,cDC2,12.1
mouse_4,pMo,1.49
mouse_4,Neu,0.74
mouse_4,cMo,0.62
mouse_5,AM,59.0
mouse_5,IM,28.2
mouse_5,cDC1,6.8
mouse_5,cDC2,6.3
mouse_5,pMo,0.56
mouse_5,Neu,0.91
mouse_5,cMo,0.25
