condition,voc_v,ff_pct,jsc_ma_cm2,pce_pct
Control,1.094,77.8,25.61,21.81
Control,1.099,78.81,25.72,22.27
Control,1.086,78.52,25.64,21.86
Control,1.107,80.29,26.1,23.19
Control,1.11,79.97,25.81,22.91
Control,1.103,79.81,25.73,22.66
Control,1.11,80.29,25.91,23.09
Control,1.104,79.97,25.41,22.44
Control,1.083,79.81,26.09,22.56
Control,1.093,79.97,26.05,22.78
Control,1.093,80.21,26.11,22.9
Control,1.107,79.0,26.17,22.88
Control,1.107,76.64,25.67,21.77
Control,1.099,79.73,25.97,22.75
Control,1.096,79.16,25.5,22.12
Control,1.087,76.92,25.77,21.54
Control,1.091,77.29,25.71,21.68
Control,1.101,79.73,25.98,22.81
Control,1.107,76.6,25.48,21.6
Control,1.094,78.28,25.83,22.13
Control,1.11,78.44,25.63,22.32
Control,1.094,79.73,26.19,22.85
Control,1.087,78.52,26.05,22.23
Control,1.11,80.37,26.04,23.23
Control,1.083,78.52,25.4,21.6
Control,1.071,79.49,25.6,21.8
Control,1.09,78.44,25.96,22.2
Control,1.108,80.21,26.04,23.14
Control,1.096,77.08,25.65,21.66
Control,1.104,78.76,25.99,22.6
Control,1.109,80.05,25.8,22.9
Control,1.106,78.28,25.57,22.13
Control,1.12,79.65,25.96,23.16
Control,1.109,78.68,25.87,22.57
Control,1.088,79.73,25.78,22.36
Control,1.096,78.44,25.83,22.2
S4,1.154,83.77,26.12,25.25
S4,1.157,82.98,26.16,25.12
S4,1.143,82.04,25.68,24.08
S4,1.151,83.46,25.71,24.7
S4,1.145,82.96,25.72,24.44
S4,1.149,83.13,25.41,24.26
S4,1.158,83.79,25.88,25.11
S4,1.146,82.96,25.96,24.69
S4,1.149,83.04,25.9,24.71
S4,1.158,83.3,25.92,25.0
S4,1.145,82.46,25.53,24.11
S4,1.149,83.21,25.86,24.72
S4,1.141,82.13,25.63,24.01
S4,1.149,83.63,25.83,24.81
S4,1.142,82.38,25.61,24.09
S4,1.144,82.27,25.56,24.06
S4,1.143,83.38,25.69,24.48
S4,1.142,83.38,26.03,24.78
S4,1.156,83.89,26.05,25.26
S4,1.152,83.85,26.09,25.2
S4,1.131,82.71,25.59,23.94
S4,1.151,82.63,25.64,24.39
S4,1.152,83.04,25.65,24.54
S4,1.152,82.46,25.52,24.25
S4,1.155,83.54,26.04,25.12
S4,1.142,83.3,25.48,24.23
S4,1.157,83.46,25.95,25.06
S4,1.136,82.3,25.57,23.91
S4,1.143,82.79,25.52,24.15
S4,1.152,83.63,26.06,25.11
