category,body_length_mm,relative_speed_BL_s,ref,is_this_work
Acoustic,50,0.8,Our work,yes
Acoustic,0.07,50,[41] D Ahmed (2015),no
Acoustic,0.0074,350,[42] L Ren (2019),no
Acoustic,0.026,90,[43] A Aghakhani (2020),no
Acoustic,0.02,320,[S37] M Nima (2025),no
Acoustic,0.03,68,[38] H Han (2024),no
Acoustic,0.07,55,[S38] M Nima (2023),no
Acoustic,0.18,6.7,[S39] M Kaynak (2017),no
Acoustic,0.3,0.017,[S40] T Qiu (2014),no
Acoustic,0.26,10,[36] C Dillinger (2021),no
Biohybrid,14,1.07,[S41] LK Yong (2017),no
Biohybrid,16.3,0.196,[S42] SJ Park (2016),no
Biohybrid,0.27,3,[S43] M Guix (2021),no
Biohybrid,3.2,0.00017,[S44] O Aydin (2019),no
Biohybrid,0.0025,0.001,[S45] WC Drennan (2025),no
Chemical,400,0.026,[S46] CA Aubin (2019),no
Chemical,0.003,3.3,[S47] RD Baker (2019),no
Chemical,0.004,2,[S48] S Ketzetzi (2022),no
Chemical,4.3,30,[S49] S Arnaboldi (2021),no
Chemical,0.01,100,[S50] W Gao (2012),no
Chemical,0.008,39.75,[S51] L Wang (2016),no
Chemical,0.1,3.2,[S52] L Li (2014),no
Electric,0.05,0.09,[S53] Y Alapan (2019),no
Electric,90,1.1,[S54] Z Ye (2025),no
Electric,70,0.65,[S55] JD Cortazar (2025),no
Electric,80,0.11,[S56] H Yang (2025),no
Light,0.0015,14.9,[S57] V Sridhar (2022),no
Light,1.23,0.0023,[S58] S Palagi (2016),no
Light,0.06,0.0167,[S59] MZ Miskin (2020),no
Light,10,0.337,[S60] C Yin (2021),no
Light,5,2.6,[S61] K Hou (2021),no
Light,28.2,0.0083,[S62] Y Zhao (2019),no
Magnetic,4,5,[S63] W Hu (2018),no
Magnetic,6,1.2,[S64] Z Ren (2019),no
Magnetic,13,1,[S65] GZ Lum (2016),no
Magnetic,0.009,14.4,[S66] S Tottori (2012),no
Magnetic,0.015,4,[S67] X Wang (2018),no
Pressure,528,0.36,[S68] DQ Nguyen (2022),no
Pressure,470,0.5,[S69] K Katzschmann (2018),no
Pressure,140,3.74,[S70] Y Chi (2022),no
