depth_m,age_AD,CH4
106.249,1805.87,806.1
106.253,1805.85,804.4
106.259,1805.83,805.5
106.264,1805.81,803.8
106.269,1805.79,801.3
106.274,1805.77,801.1
106.279,1805.75,801.7
106.284,1805.73,800.4
106.289,1805.71,800.6
106.294,1805.69,800.6
106.299,1805.67,799.5
106.304,1805.65,798.8
106.309,1805.63,798.7
106.314,1805.61,799.6
106.319,1805.59,797.7
106.325,1805.57,798.7
106.329,1805.55,797
106.335,1805.53,796.8
106.34,1805.51,796.2
106.345,1805.49,796.9
106.35,1805.47,796.3
106.355,1805.45,796.2
106.36,1805.43,797.3
106.365,1805.41,796.7
106.37,1805.39,797
106.375,1805.37,796
106.38,1805.35,795.9
106.385,1805.33,797.6
106.39,1805.32,796.1
106.395,1805.3,796.8
106.4,1805.28,797.2
106.406,1805.25,796.4
106.411,1805.23,797
106.416,1805.22,797.4
106.421,1805.2,797.4
106.426,1805.18,796.8
106.431,1805.16,796.7
106.436,1805.14,797.4
106.441,1805.12,797.1
106.446,1805.1,796.2
106.451,1805.08,797.5
106.456,1805.06,795.8
106.461,1805.04,796
106.466,1805.02,797.5
106.471,1805,796.3
106.476,1804.96,796.5
106.482,1804.93,794.9
106.487,1804.9,796.6
106.492,1804.86,796.9
106.497,1804.83,795.8
106.502,1804.8,796.7
106.507,1804.76,797.2
106.512,1804.73,796.2
106.517,1804.7,795.8
106.522,1804.67,796.1
106.527,1804.63,795.4
106.532,1804.6,796.5
106.537,1804.57,795.4
106.543,1804.53,794.2
106.548,1804.5,794.9
106.553,1804.47,793.9
106.558,1804.44,794.5
106.563,1804.4,792.9
106.568,1804.37,793.3
106.573,1804.34,793.4
106.578,1804.3,792
106.583,1804.27,791.7
106.588,1804.24,792.2
106.593,1804.21,791.9
106.598,1804.17,790.7
106.603,1804.14,790.9
106.608,1804.11,791
106.614,1804.07,790.4
106.619,1804.04,789.8
106.624,1804.01,791.4
106.629,1803.99,791.6
106.634,1803.97,791.9
106.639,1803.95,792.4
106.644,1803.93,792.3
106.649,1803.92,792.8
106.654,1803.9,793.7
106.659,1803.88,796
106.664,1803.86,796
106.669,1803.84,797.1
106.674,1803.83,797.4
106.679,1803.81,799
106.685,1803.79,800.2
106.69,1803.77,799
106.695,1803.75,800.3
106.7,1803.74,799
106.705,1803.72,797.8
106.71,1803.7,797.9
106.715,1803.68,796.6
106.72,1803.66,796.8
106.725,1803.65,797
106.73,1803.63,796.7
106.735,1803.61,797.8
106.74,1803.59,799
106.745,1803.57,800.5
106.75,1803.56,799.7
106.756,1803.54,799.4
106.76,1803.52,801
106.766,1803.5,800.2
106.771,1803.49,800.8
106.776,1803.47,801.2
106.781,1803.45,801.4
106.786,1803.43,800.4
106.791,1803.41,803.3
106.796,1803.4,803.2
106.821,1803.31,804.3
106.826,1803.29,805.5
106.831,1803.27,804.6
106.837,1803.25,805.4
106.842,1803.23,807.5
106.847,1803.22,807.9
106.852,1803.2,806.1
106.857,1803.18,805.8
106.862,1803.16,804
106.867,1803.14,802.7
106.873,1803.13,801
106.878,1803.11,797.1
106.883,1803.09,794.6
106.888,1803.07,792.3
106.893,1803.05,791.9
106.898,1803.03,790.4
106.903,1803.02,792.3
106.909,1803,794
106.914,1802.97,794.9
106.919,1802.94,796.7
106.924,1802.92,797.6
106.929,1802.89,802.5
106.934,1802.86,801.9
106.94,1802.84,799.5
106.945,1802.81,798.4
106.95,1802.78,797.4
106.955,1802.76,796.1
106.96,1802.73,794.8
106.965,1802.7,794.2
106.97,1802.68,793.8
106.975,1802.65,791.8
106.981,1802.62,792.1
106.986,1802.59,791.1
106.991,1802.57,792.8
107.416,1800.47,797.3
107.421,1800.45,797.8
107.426,1800.43,796.9
107.431,1800.4,797.9
107.436,1800.38,796.8
107.441,1800.36,796.4
107.446,1800.33,796.4
107.451,1800.31,795.5
107.456,1800.29,795.8
107.461,1800.26,794.6
107.466,1800.24,795.2
107.47,1800.22,795.3
107.475,1800.2,794.8
107.48,1800.17,794.5
107.485,1800.15,793.4
107.49,1800.13,793.4
107.495,1800.1,793.7
107.5,1800.08,793.4
107.505,1800.06,792.9
107.51,1800.03,792.6
107.515,1800.01,792.6
107.52,1799.99,792.2
107.525,1799.97,792.3
107.53,1799.96,791.4
107.535,1799.94,792.7
107.54,1799.92,791
107.545,1799.91,792.5
107.55,1799.89,792.8
107.555,1799.87,792.4
107.56,1799.86,793
107.565,1799.84,792.7
107.57,1799.82,792.4
107.575,1799.81,792.8
107.58,1799.79,791.9
107.585,1799.77,792.2
107.59,1799.76,793.3
107.595,1799.74,792
107.6,1799.72,792.7
107.605,1799.71,792.4
107.61,1799.69,792
107.614,1799.68,792.3
107.619,1799.66,791.7
107.625,1799.64,791
107.63,1799.62,791.8
107.634,1799.61,791.2
107.639,1799.59,793.1
107.644,1799.58,791.1
107.649,1799.56,792.1
107.654,1799.54,792.4
107.659,1799.53,793.1
107.664,1799.51,792.8
107.669,1799.49,794.6
107.674,1799.48,794.1
107.679,1799.46,794.5
107.684,1799.44,794.4
107.689,1799.43,796.2
107.694,1799.41,796.3
107.699,1799.39,794.8
107.704,1799.38,795.9
107.709,1799.36,795
107.714,1799.34,793.3
107.719,1799.33,793.4
107.724,1799.31,794.5
107.729,1799.29,793.4
107.734,1799.28,793.9
107.739,1799.26,794.1
107.744,1799.24,794.2
107.749,1799.23,794.4
107.754,1799.21,795.3
107.759,1799.19,794.7
107.764,1799.18,793.7
107.769,1799.16,794.3
107.774,1799.14,793.8
107.779,1799.13,793.7
107.783,1799.11,794.9
107.788,1799.1,796.7
107.793,1799.08,795.2
107.798,1799.06,795.5
107.803,1799.05,796.3
107.808,1799.03,795.1
107.813,1799.01,795.9
107.818,1798.99,795.7
107.823,1798.96,794.4
107.828,1798.92,795
107.833,1798.89,791.8
107.838,1798.85,793.1
107.843,1798.82,791.5
107.848,1798.79,790.6
107.853,1798.75,789.7
107.858,1798.72,789.4
107.863,1798.69,788.3
107.868,1798.65,789.2
