year_CE,d13c_permil,registro
150.0,-48.2,GISP2
350.0,-48.3,GISP2
550.0,-48.2,GISP2
750.0,-48.2,GISP2
950.0,-48.5,GISP2
1150.0,-48.1,GISP2
1350.0,-48.0,GISP2
1550.0,-47.7,GISP2
1750.0,-49.23333333333334,GISP2
1850.0,-49.5428571428571,GISP2
1535.0,-49.4,Huascaran_SCA
1650.0,-49.3,Huascaran_SCA
1821.0,-49.73,Huascaran_SCA
1900.0,-49.3,Huascaran_SCA
1999.0,-47.55,Huascaran_SCA
916.322179663221,-47.7128712871287,LawDome
1004.92700729926,-47.5643564356435,LawDome
1037.69241887692,-47.4158415841584,LawDome
1083.51521283515,-47.1188118811881,LawDome
1136.36265086362,-47.6534653465346,LawDome
1183.76273758762,-47.2376237623762,LawDome
1236.44756811447,-47.4752475247524,LawDome
1249.63503649635,-47.5643564356435,LawDome
1284.31921659319,-47.9207920792079,LawDome
1321.81650646816,-47.4158415841584,LawDome
1336.80891811808,-47.8019801980198,LawDome
1385.85134060851,-47.3861386138613,LawDome
1402.30721977307,-47.4455445544554,LawDome
1407.34805232348,-47.6534653465346,LawDome
1433.73924983739,-47.8613861386138,LawDome
1483.12314808123,-48.069306930693,LawDome
1510.96155235961,-47.9207920792079,LawDome
1535.80797860807,-48.3069306930693,LawDome
1565.59767290597,-48.7227722772277,LawDome
1583.64710558647,-48.6930693069306,LawDome
1603.07870203078,-48.1881188118811,LawDome
1619.66466719664,-48.4851485148514,LawDome
1641.19390041193,-48.8118811881188,LawDome
1666.00780516007,-49.1386138613861,LawDome
1702.13919202139,-49.1386138613861,LawDome
1710.15574185155,-48.7821782178217,LawDome
1721.81469971814,-49.079207920792,LawDome
1731.61993206619,-48.9900990099009,LawDome
1753.03534003035,-49.1089108910891,LawDome
1756.20618631206,-48.9009900990099,LawDome
1760.9705861097,-48.6039603960396,LawDome
1769.24730794247,-48.7227722772277,LawDome
1775.81665100816,-48.7227722772277,LawDome
1789.1504661415,-49.079207920792,LawDome
1799.08578449085,-49.2277227722772,LawDome
1803.88270578882,-48.9900990099009,LawDome
1815.28149165281,-48.8118811881188,LawDome
1815.39531690395,-49.019801980198,LawDome
1825.15176700151,-48.8415841584158,LawDome
1833.39596733395,-48.9009900990099,LawDome
1836.71316036713,-48.9603960396039,LawDome
1841.7702536677,-49.1980198019802,LawDome
1859.86846859868,-49.2574257425742,LawDome
1861.3807183638,-49.019801980198,LawDome
1867.91753992917,-48.9603960396039,LawDome
1874.58444749584,-49.1386138613861,LawDome
1879.31632579316,-48.7821782178217,LawDome
1898.92679048926,-48.6039603960396,LawDome
1900.6504300065,-48.7524752475247,LawDome
1907.10594782105,-48.5445544554455,LawDome
1913.80537688805,-48.7821782178217,LawDome
1918.60229818602,-48.5445544554455,LawDome
1926.76519476765,-48.4554455445544,LawDome
1929.95230179952,-48.2772277227722,LawDome
1944.71706294717,-48.2475247524752,LawDome
1949.49772349497,-47.9801980198019,LawDome
1952.68483052684,-47.8019801980198,LawDome
1952.89622027896,-48.1881188118811,LawDome
1962.35997687359,-47.4752475247524,LawDome
29.0,-47.21,NEEM
68.0,-47.13,NEEM
110.0,-47.11,NEEM
147.0,-47.35,NEEM
187.0,-47.08,NEEM
223.0,-47.29,NEEM
268.0,-47.75,NEEM
305.0,-47.92,NEEM
346.0,-47.54,NEEM
387.0,-47.98,NEEM
430.0,-47.88,NEEM
469.0,-48.73,NEEM
510.0,-47.96,NEEM
554.0,-47.86,NEEM
596.0,-47.97,NEEM
637.0,-47.92,NEEM
677.0,-48.09,NEEM
720.0,-47.9,NEEM
761.0,-48.21,NEEM
799.0,-48.06,NEEM
842.0,-47.89,NEEM
884.0,-47.57,NEEM
928.0,-47.29,NEEM
964.0,-47.2,NEEM
1009.0,-47.2,NEEM
1052.0,-47.38,NEEM
1094.0,-47.34,NEEM
1132.0,-47.87,NEEM
1173.0,-48.21,NEEM
1216.0,-48.06,NEEM
1300.0,-48.06,NEEM
1341.0,-48.04,NEEM
1384.0,-47.72,NEEM
1428.0,-47.69,NEEM
1471.0,-47.69,NEEM
1513.0,-48.16,NEEM
1552.0,-48.01,NEEM
1594.0,-48.27,NEEM
1637.0,-48.64,NEEM
1676.0,-49.09,NEEM
1718.0,-49.24,NEEM
1761.0,-49.43,NEEM
1803.0,-49.82,NEEM
975.251138252511,-47.3564356435643,WAIS
1029.30187179301,-47.089108910891,WAIS
1110.05275710052,-47.5940594059406,WAIS
1131.33807906338,-47.4752475247524,WAIS
1164.02218689022,-47.1782178217821,WAIS
1178.900773289,-47.3564356435643,WAIS
1197.03150972031,-47.4752475247524,WAIS
1210.0401098504,-47.2376237623762,WAIS
1234.67514634675,-47.2376237623762,WAIS
1251.00093951,-47.059405940594,WAIS
1254.69212979692,-47.8019801980198,WAIS
1269.35932644359,-47.5940594059406,WAIS
1289.06735564067,-47.5940594059406,WAIS
1311.89744886897,-47.2970297029703,WAIS
1328.38584953385,-47.4158415841584,WAIS
1328.51593553515,-47.6534653465346,WAIS
1336.54874611548,-47.3267326732673,WAIS
1346.40276071402,-47.3267326732673,WAIS
1361.18378261183,-47.3267326732673,WAIS
1385.73751535737,-47.1782178217821,WAIS
1387.72132687721,-47.8019801980198,WAIS
1399.05506974055,-47.5049504950495,WAIS
1418.63301293633,-47.2673267326732,WAIS
1420.19404495194,-47.1188118811881,WAIS
1436.55235961552,-47.0,WAIS
1458.40680783406,-47.9207920792079,WAIS
1474.66755799667,-47.6237623762376,WAIS
1499.43268049432,-47.8613861386138,WAIS
1505.96950205969,-47.8019801980198,WAIS
1517.43333092433,-47.7425742574257,WAIS
1533.90547083905,-47.8316831683168,WAIS
1555.48348630483,-48.2475247524752,WAIS
1565.38628315386,-48.3366336633663,WAIS
1571.67919346679,-47.8316831683168,WAIS
1672.60966972609,-49.1980198019802,WAIS
1693.9600346896,-49.1980198019802,WAIS
