year_CE,ch4_ppb,registro
-0.5,661.352297,GISP2
6.1,661.072984,GISP2
13.4,651.198709,GISP2
15.6,652.017983,GISP2
30.9,657.680502,GISP2
51.8,659.825625,GISP2
65.7,665.962856,GISP2
79.3,674.143587,GISP2
90.9,674.840702,GISP2
103.7,677.712878,GISP2
115.6,684.754042,GISP2
123.3,687.45862,GISP2
129.3,684.624004,GISP2
133.0,676.667384,GISP2
145.7,689.262327,GISP2
149.0,683.421369,GISP2
157.1,678.783915,GISP2
165.8,690.412316,GISP2
175.0,683.678935,GISP2
183.7,682.946774,GISP2
192.7,676.386068,GISP2
207.8,678.175459,GISP2
220.7,688.568834,GISP2
234.9,690.65152,GISP2
251.9,685.616287,GISP2
264.5,692.049471,GISP2
281.7,690.136037,GISP2
290.2,679.069901,GISP2
297.6,677.87278,GISP2
317.4,677.927201,GISP2
338.0,683.461916,GISP2
351.1,680.749786,GISP2
367.2,683.128316,GISP2
377.7,682.992437,GISP2
392.4,673.448235,GISP2
400.4,667.585032,GISP2
407.0,659.384321,GISP2
420.7,665.868465,GISP2
436.7,675.61233,GISP2
450.8,674.173244,GISP2
471.4,670.318601,GISP2
480.9,678.955804,GISP2
490.3,683.346322,GISP2
501.5,690.896972,GISP2
509.9,677.73446,GISP2
512.6,675.178007,GISP2
524.0,677.08871,GISP2
532.4,689.882143,GISP2
536.4,695.102707,GISP2
555.9,702.098624,GISP2
559.7,703.873377,GISP2
585.0,697.54399,GISP2
598.7,694.170456,GISP2
611.4,691.314806,GISP2
625.8,674.455521,GISP2
632.7,676.787571,GISP2
637.0,676.005449,GISP2
643.3,679.042093,GISP2
657.0,676.08134,GISP2
675.0,679.095874,GISP2
692.6,683.286457,GISP2
708.7,694.074216,GISP2
785.9,666.159751,GISP2
791.1,667.369894,GISP2
810.8,683.924551,GISP2
820.7,694.585421,GISP2
843.4,693.839418,GISP2
859.2,689.340013,GISP2
878.2,696.325557,GISP2
901.0,693.463249,GISP2
914.2,695.19311,GISP2
925.6,700.975736,GISP2
943.8,691.740997,GISP2
957.4,699.475606,GISP2
957.9,694.886303,GISP2
972.4,703.92303,GISP2
984.8,708.571807,GISP2
991.8,711.479951,GISP2
1004.6,717.091725,GISP2
1021.2,728.257525,GISP2
1022.9,722.175533,GISP2
1029.0,725.091791,GISP2
1040.3,727.383944,GISP2
1046.7,730.08461,GISP2
1055.1,726.698961,GISP2
1061.6,726.067952,GISP2
1069.3,710.940674,GISP2
1072.4,713.008991,GISP2
1080.1,721.34557,GISP2
1087.9,726.982124,GISP2
1102.0,729.233296,GISP2
1116.5,730.912489,GISP2
1125.9,731.376715,GISP2
1149.6,739.962091,GISP2
1159.2,738.667931,GISP2
1172.6,738.093526,GISP2
1189.7,739.392666,GISP2
1190.2,739.219595,GISP2
1196.1,737.153442,GISP2
1203.3,733.383142,GISP2
1208.8,731.834611,GISP2
1218.0,724.045971,GISP2
1230.0,716.543627,GISP2
1243.9,717.188671,GISP2
1261.2,720.960468,GISP2
1273.0,726.142201,GISP2
1289.0,724.620949,GISP2
1296.8,726.858186,GISP2
1305.2,737.210721,GISP2
1312.7,735.518472,GISP2
1320.8,736.49701,GISP2
1327.6,731.542404,GISP2
1335.3,730.065312,GISP2
1341.0,719.039163,GISP2
1349.7,719.030227,GISP2
1358.0,727.808393,GISP2
1374.6,729.726839,GISP2
1389.5,729.571538,GISP2
1405.0,722.989408,GISP2
1405.4,722.460945,GISP2
1410.0,719.278724,GISP2
1420.5,715.037475,GISP2
1423.1,714.003782,GISP2
1434.1,721.260431,GISP2
1440.6,723.437163,GISP2
1442.8,722.375944,GISP2
1448.1,723.834027,GISP2
1463.4,718.178912,GISP2
1472.3,718.253484,GISP2
1476.1,720.966632,GISP2
1484.5,730.358747,GISP2
1501.2,741.686753,GISP2
1515.1,748.408812,GISP2
1531.6,758.746623,GISP2
1538.9,759.552791,GISP2
1546.9,764.226462,GISP2
1558.8,763.792427,GISP2
1562.2,761.319288,GISP2
1565.9,748.765185,GISP2
1574.7,732.869079,GISP2
1579.1,729.410475,GISP2
1587.3,720.818398,GISP2
1599.9,725.181034,GISP2
1613.7,728.596103,GISP2
1631.5,735.95511,GISP2
1644.2,734.519098,GISP2
1661.1,731.797601,GISP2
1672.3,740.092685,GISP2
1685.9,742.133583,GISP2
1702.6,734.187983,GISP2
1715.8,731.115051,GISP2
1727.8,740.861757,GISP2
1731.8,742.95067,GISP2
1737.9,753.456541,GISP2
1743.6,755.648362,GISP2
1746.2,760.062362,GISP2
1749.3,764.989965,GISP2
1756.9,756.493595,GISP2
1759.9,761.768625,GISP2
1768.7,764.771785,GISP2
1771.7,768.586184,GISP2
1779.6,781.26756,GISP2
1781.7,770.522267,GISP2
1785.4,787.410896,GISP2
1790.1,783.82399,GISP2
1796.6,778.514524,GISP2
1799.5,785.061979,GISP2
1807.4,785.896312,GISP2
1812.3,787.190349,GISP2
1815.3,799.210376,GISP2
1818.1,801.773981,GISP2
1823.6,819.791506,GISP2
-165.0,705.0,Huascaran_SCA
500.0,759.0,Huascaran_SCA
610.0,716.0,Huascaran_SCA
705.0,759.0,Huascaran_SCA
800.0,705.0,Huascaran_SCA
850.0,786.0,Huascaran_SCA
900.0,771.0,Huascaran_SCA
1000.0,769.0,Huascaran_SCA
1060.0,771.0,Huascaran_SCA
1134.0,772.0,Huascaran_SCA
1164.0,786.0,Huascaran_SCA
1219.0,777.0,Huascaran_SCA
1244.0,745.0,Huascaran_SCA
1264.0,763.0,Huascaran_SCA
1304.0,760.0,Huascaran_SCA
1314.0,753.0,Huascaran_SCA
1354.0,766.0,Huascaran_SCA
1394.0,778.0,Huascaran_SCA
1454.0,765.0,Huascaran_SCA
1494.0,781.0,Huascaran_SCA
1529.0,817.0,Huascaran_SCA
1564.0,799.0,Huascaran_SCA
1564.0,800.0,Huascaran_SCA
1584.0,758.0,Huascaran_SCA
1594.0,765.0,Huascaran_SCA
1634.0,730.0,Huascaran_SCA
1674.0,775.0,Huascaran_SCA
1694.0,809.0,Huascaran_SCA
1714.0,743.0,Huascaran_SCA
1724.0,744.0,Huascaran_SCA
1744.0,758.0,Huascaran_SCA
1749.0,808.0,Huascaran_SCA
1754.0,767.0,Huascaran_SCA
1798.0,810.0,Huascaran_SCA
1809.0,803.0,Huascaran_SCA
1834.0,814.0,Huascaran_SCA
1845.0,869.0,Huascaran_SCA
1864.0,863.0,Huascaran_SCA
1899.0,940.0,Huascaran_SCA
1915.0,1075.0,Huascaran_SCA
1943.0,1141.0,Huascaran_SCA
1958.0,1252.0,Huascaran_SCA
1963.0,1354.0,Huascaran_SCA
1974.0,1470.0,Huascaran_SCA
1985.0,1619.0,Huascaran_SCA
1991.0,1702.0,Huascaran_SCA
1997.0,1778.0,Huascaran_SCA
1999.0,1785.0,Huascaran_SCA
2005.0,1837.0,Huascaran_SCA
2012.0,1838.0,Huascaran_SCA
155.0,642.0,LawDome
169.0,634.0,LawDome
176.0,636.0,LawDome
242.0,647.0,LawDome
267.0,649.0,LawDome
275.0,645.0,LawDome
297.0,649.0,LawDome
319.0,641.0,LawDome
358.0,653.0,LawDome
385.0,633.0,LawDome
438.0,630.0,LawDome
489.0,645.0,LawDome
519.0,647.0,LawDome
553.0,669.0,LawDome
558.0,661.0,LawDome
583.0,667.0,LawDome
616.0,661.0,LawDome
638.0,654.0,LawDome
670.0,643.0,LawDome
702.0,651.0,LawDome
731.0,659.0,LawDome
763.0,658.0,LawDome
823.0,651.0,LawDome
876.0,666.0,LawDome
915.0,656.0,LawDome
959.0,655.0,LawDome
984.0,662.0,LawDome
1041.0,689.0,LawDome
1050.0,685.0,LawDome
1061.0,681.0,LawDome
1071.0,670.0,LawDome
1073.0,662.0,LawDome
1117.0,684.0,LawDome
1147.0,693.0,LawDome
1167.0,697.0,LawDome
1201.0,691.0,LawDome
1252.0,668.0,LawDome
1257.0,667.0,LawDome
1261.0,678.0,LawDome
1279.0,694.0,LawDome
1308.0,698.0,LawDome
1331.0,680.0,LawDome
1350.0,677.0,LawDome
1354.0,670.0,LawDome
1360.0,677.0,LawDome
1391.0,681.0,LawDome
1391.0,686.0,LawDome
1412.0,673.0,LawDome
1430.0,705.0,LawDome
1431.0,679.0,LawDome
1450.0,693.0,LawDome
1470.0,679.0,LawDome
1503.0,700.0,LawDome
1531.0,707.0,LawDome
1533.0,700.0,LawDome
1549.0,707.0,LawDome
1551.0,711.0,LawDome
1561.0,722.0,LawDome
1574.0,692.0,LawDome
1575.0,693.0,LawDome
1589.0,681.0,LawDome
1592.0,672.0,LawDome
1604.0,675.0,LawDome
1610.0,688.0,LawDome
1630.0,693.0,LawDome
1641.0,696.0,LawDome
1650.0,682.0,LawDome
1683.0,699.0,LawDome
1691.0,693.0,LawDome
1695.0,683.0,LawDome
1704.0,688.0,LawDome
1711.0,663.0,LawDome
1720.0,677.0,LawDome
1724.0,684.0,LawDome
1724.0,679.0,LawDome
1730.0,703.0,LawDome
1735.0,712.0,LawDome
1742.0,715.0,LawDome
1747.0,712.0,LawDome
1750.0,700.0,LawDome
1752.0,713.0,LawDome
1753.0,704.0,LawDome
1753.0,707.0,LawDome
1761.0,715.0,LawDome
1764.0,710.0,LawDome
1765.0,715.0,LawDome
1774.0,730.0,LawDome
1780.0,722.0,LawDome
1781.0,727.0,LawDome
1795.0,727.0,LawDome
1797.0,729.0,LawDome
1797.0,731.0,LawDome
1797.0,724.0,LawDome
1800.0,736.0,LawDome
1800.0,739.0,LawDome
1811.0,746.0,LawDome
1815.0,746.0,LawDome
1815.0,737.0,LawDome
1820.0,756.0,LawDome
1822.0,755.0,LawDome
1826.0,761.0,LawDome
1827.0,764.0,LawDome
1828.0,764.0,LawDome
1833.0,764.0,LawDome
1834.0,777.0,LawDome
1838.0,775.0,LawDome
1839.0,760.0,LawDome
1840.0,771.0,LawDome
1840.0,760.0,LawDome
1841.0,768.0,LawDome
1841.0,770.0,LawDome
1842.0,776.0,LawDome
1843.0,770.0,LawDome
1844.0,773.0,LawDome
1844.0,769.0,LawDome
1845.0,783.0,LawDome
1845.0,783.0,LawDome
1846.0,775.0,LawDome
1846.0,780.0,LawDome
1847.0,781.0,LawDome
1848.0,773.0,LawDome
1849.0,779.0,LawDome
1851.0,777.0,LawDome
1852.0,794.0,LawDome
1852.0,785.0,LawDome
1852.0,778.0,LawDome
1853.0,778.0,LawDome
1855.0,797.0,LawDome
1856.0,777.0,LawDome
1856.0,785.0,LawDome
1858.0,792.0,LawDome
1860.0,788.0,LawDome
1860.0,797.0,LawDome
1862.0,790.0,LawDome
1863.0,799.0,LawDome
1864.0,815.0,LawDome
1864.0,802.0,LawDome
1865.0,808.0,LawDome
1868.0,827.0,LawDome
1868.0,823.0,LawDome
1868.0,806.0,LawDome
1869.0,813.0,LawDome
1870.0,820.0,LawDome
1871.0,828.0,LawDome
1871.0,821.0,LawDome
1874.0,828.0,LawDome
1875.0,833.0,LawDome
1877.0,811.0,LawDome
1878.0,832.0,LawDome
1881.0,835.0,LawDome
1884.0,838.0,LawDome
1885.0,856.0,LawDome
1885.0,848.0,LawDome
1887.0,853.0,LawDome
1888.0,842.0,LawDome
1888.0,844.0,LawDome
1888.0,845.0,LawDome
1889.0,843.0,LawDome
1890.0,855.0,LawDome
1890.0,855.0,LawDome
1891.0,856.0,LawDome
1894.0,867.0,LawDome
1894.0,862.0,LawDome
1895.0,869.0,LawDome
1895.0,866.0,LawDome
1898.0,857.0,LawDome
1898.0,875.0,LawDome
1898.0,864.0,LawDome
1898.0,856.0,LawDome
1900.0,880.0,LawDome
1900.0,872.0,LawDome
1901.0,880.0,LawDome
1902.0,878.0,LawDome
1903.0,879.0,LawDome
1903.0,878.0,LawDome
1905.0,896.0,LawDome
1907.0,895.0,LawDome
1907.0,898.0,LawDome
1908.0,897.0,LawDome
1908.0,904.0,LawDome
1910.0,947.0,LawDome
1912.0,927.0,LawDome
1912.0,928.0,LawDome
1912.0,927.0,LawDome
1914.0,932.0,LawDome
1916.0,938.0,LawDome
1917.0,941.0,LawDome
1919.0,968.0,LawDome
1919.0,965.0,LawDome
1919.0,971.0,LawDome
1919.0,963.0,LawDome
1920.0,973.0,LawDome
1920.0,969.0,LawDome
1921.0,962.0,LawDome
1924.0,1014.0,LawDome
1924.0,1003.0,LawDome
1924.0,1000.0,LawDome
1924.0,1000.0,LawDome
1924.0,993.0,LawDome
1924.0,981.0,LawDome
1926.0,1000.0,LawDome
1926.0,1003.0,LawDome
1927.0,1020.0,LawDome
1927.0,998.0,LawDome
1927.0,1004.0,LawDome
1927.0,992.0,LawDome
1929.0,1027.0,LawDome
1929.0,1028.0,LawDome
1929.0,1008.0,LawDome
1930.0,1024.0,LawDome
1930.0,1018.0,LawDome
1931.0,1028.0,LawDome
1932.0,1037.0,LawDome
1932.0,1034.0,LawDome
1934.0,1045.0,LawDome
1934.0,1042.0,LawDome
1934.0,1035.0,LawDome
1935.0,1049.0,LawDome
1935.0,1050.0,LawDome
1935.0,1054.0,LawDome
1936.0,1057.0,LawDome
1937.0,1070.0,LawDome
1937.0,1062.0,LawDome
1937.0,1057.0,LawDome
1938.0,1061.0,LawDome
1938.0,1061.0,LawDome
1938.0,1086.0,LawDome
1939.0,1064.0,LawDome
1939.0,1073.0,LawDome
1939.0,1072.0,LawDome
1940.0,1072.0,LawDome
1940.0,1073.0,LawDome
1940.0,1060.0,LawDome
1940.0,1085.0,LawDome
1940.0,1072.0,LawDome
1940.0,1070.0,LawDome
1940.0,1074.0,LawDome
1941.0,1067.0,LawDome
1941.0,1076.0,LawDome
1942.0,1081.0,LawDome
1942.0,1087.0,LawDome
1942.0,1080.0,LawDome
1943.0,1084.0,LawDome
1943.0,1085.0,LawDome
1944.0,1090.0,LawDome
1944.0,1090.0,LawDome
1945.0,1091.0,LawDome
1945.0,1084.0,LawDome
1945.0,1090.0,LawDome
1946.0,1123.0,LawDome
1946.0,1094.0,LawDome
1947.0,1097.0,LawDome
1948.0,1110.0,LawDome
1948.0,1106.0,LawDome
1948.0,1112.0,LawDome
1948.0,1106.0,LawDome
1949.0,1112.0,LawDome
1949.0,1115.0,LawDome
1950.0,1097.0,LawDome
1950.0,1115.0,LawDome
1951.0,1115.0,LawDome
1951.0,1121.0,LawDome
1954.0,1153.0,LawDome
1955.0,1157.0,LawDome
1955.0,1153.0,LawDome
1955.0,1159.0,LawDome
1955.0,1154.0,LawDome
1956.0,1177.0,LawDome
1956.0,1186.0,LawDome
1956.0,1178.0,LawDome
1956.0,1166.0,LawDome
1957.0,1192.0,LawDome
1957.0,1178.0,LawDome
1957.0,1197.0,LawDome
1957.0,1185.0,LawDome
1958.0,1209.0,LawDome
1958.0,1190.0,LawDome
1958.0,1204.0,LawDome
1959.0,1207.0,LawDome
1959.0,1186.0,LawDome
1960.0,1214.0,LawDome
1962.0,1226.0,LawDome
1962.0,1228.0,LawDome
1963.0,1248.0,LawDome
1963.0,1232.0,LawDome
1964.0,1273.0,LawDome
1964.0,1268.0,LawDome
1964.0,1263.0,LawDome
1964.0,1288.0,LawDome
1964.0,1275.0,LawDome
1965.0,1277.0,LawDome
1965.0,1274.0,LawDome
1967.0,1300.0,LawDome
1967.0,1293.0,LawDome
1968.0,1335.0,LawDome
1968.0,1335.0,LawDome
1969.0,1326.0,LawDome
1970.0,1367.0,LawDome
1970.0,1353.0,LawDome
1971.0,1396.0,LawDome
1971.0,1373.0,LawDome
1971.0,1369.0,LawDome
1972.0,1396.0,LawDome
1973.0,1434.0,LawDome
1973.0,1402.0,LawDome
1974.0,1417.0,LawDome
1975.0,1437.0,LawDome
1976.0,1479.0,LawDome
1977.0,1476.0,LawDome
1979.0,1518.0,LawDome
1980.0,1497.0,LawDome
1980.0,1496.0,LawDome
1983.0,1588.0,LawDome
1983.0,1583.0,LawDome
1985.0,1611.0,LawDome
1986.0,1625.0,LawDome
1986.0,1621.0,LawDome
1987.0,1637.0,LawDome
1987.0,1630.0,LawDome
1988.0,1646.0,LawDome
1989.0,1663.0,LawDome
1989.0,1661.0,LawDome
1990.0,1671.0,LawDome
1991.0,1678.0,LawDome
1991.0,1675.0,LawDome
1992.0,1682.0,LawDome
1993.0,1674.0,LawDome
1994.0,1696.0,LawDome
1996.0,1707.0,LawDome
1987.0,1693.695556,MaunaLoa
1991.0,1742.223333,MaunaLoa
1997.0,1771.793333,MaunaLoa
1999.0,1787.165833,MaunaLoa
2005.0,1788.8225,MaunaLoa
