priority,rank_top,n_respondents,kendall_w,chi_square,p_value
make_existing_network_more_effective,77,37,0.74,51.6,0.0001
additional_research,16,37,0.74,51.6,0.0001
expanding_network,7,37,0.74,51.6,0.0001
