WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,fid_1,GIS_A_km2,COUNTRY,DESIGNATIO,RE_T_A_km2,R_TO_A_km2,IUCN_GOV_T,OWNERSHIP_,MANAGING_A,YEAR_DESIG,IUCN_MG_CA,path,BR_Zone,RE_M_A_km2,layer,Id,NAME_PAs
342517.0,342517,,Chebera Churchura,Chebera Churchura,National Park,National Park,National,II,Not Applicable,,0.0,0.0,1265.0,1264.53,Not Applicable,0.0,Designated,2006,Sub-national ministry or agency,Not Reported,Office of Culture Sport and Tourism (OCST),Not Reported,State Verified,1930,SNNP Region,ETH,ETH,Not Applicable,Not Applicable,3,1264.53319779,Ethiopia,National park,1260.0,1264.53,Sub-National Ministry,State,SNNP Region,0.0,II,,,4.96,ETH EDD,,Chebera Churchura
0.0,,,Beroye,Beroye,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,,,,,,,,,1,354.71635197335456,,Control Hunting Area,354.71635197335456,354.71635197335456,Sub National,,,0.0,VI,,,0.0,,0,Beroye
365024.0,,,Kafa BR,Kafa,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,,,,,,,,,0,7391.49200638,,Biosphere Reserve,7391.49200638,7391.49200638,Federal,,,0.0,MAB UNESCO,,,0.0,,,Kafa
0.0,,,Sheka BR,Sheka,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,,,,,,,,,0,2326.53066112,,Biosphere Reserve,2326.53066112,2326.53066112,Federal,,Ethiopian Biodiversity Instituit,2012.0,MAP UNESCO,,,0.0,,,Sheka
0.0,,,Yayu BR,Yayu,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,,,,,,,,,0,1666.44604559,,Biosphere Reserve,1666.44604559,1666.44604559,Federal,,,0.0,MAB UNESCO,,,0.0,,,Yayu
0.0,,,Majang BR,Majang,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,,,,,,,,,0,2249.82952951,,Biosphere Reserve,2249.82952951,0.0,Federal,,,0.0,MAB UNESCO,,,0.0,,,Majang
0.0,,,Shinele Meto,Shinele Meto,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Somale Region,,,,,0,640.0754890327102,Ethiopia,Control Hunting Area,644.0,644.0,Sub-National Ministry,State,"Somale Regional State (Culture, Sport and Tourism",2000.0,VI,,,0.0,,,Shinele Meto
342654.0,,,,Alitash,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,Yes,,,Amhara Region,,,,,0,2660.1855022,Ethiopia,National park,2665.7,2665.7,Federal,State,Ethiopian Wildlife Conservation Authority,2006.0,II,,,0.0,,,Alitash
0.0,,,,Abune_yosef_Zigit_Abohoy_Gara,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Amhara Region,,,,,0,80.65120639283678,Ethiopia,Community Conservation Area,81.0,81.0,Local Community,Communal,"Amhara Regional State (Environment, Forest and Cli",2014.0,VI,,,0.0,,,Abune_yosef_Zigit_Abohoy_Gara
0.0,,,,Bakusa,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Amhara Region,,,,,0,517.15430787012,Ethiopia,National park,447.0,447.0,Sub-National Ministry,State,"Amhara Regional State (Environment, Forest and Cli",2012.0,II,,,0.0,,,Bakusa
653.0,,,,Simien Mountains,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,Yes,,,Amhara Region,,,,,0,411.57108200461516,Ethiopia,National park,412.0,412.0,Federal,State,Ethiopian Wildlife Conservation Authority,1959.0,II,,,0.0,,,Simien Mountains
0.0,,,,Choke Mountain,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Amhara Region,,,,,0,60.26644676711297,Ethiopia,Community Conservation Area,60.0,60.0,Local Community,Communal,"Amhara Regional State (Environment, Forest and Cli",2011.0,VI,,,0.0,,,Choke Mountain
0.0,,,,Mahbere Silasie,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Amhara Region,,,,,0,190.5180931845593,Ethiopia,Community Conservation Area,191.0,191.0,Local Community,Communal,"Amhara Regional State (Environment, Forest and Cli",2017.0,VI,,,0.0,,,Mahbere Silasie
0.0,,,,Guna_Mountain,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Amhara Region,,,,,0,46.177210643865976,Ethiopia,Community Conservation Area,40.0,40.0,Local Community,Communal,"Amhara Regional State (Environment, Forest and Cli",2016.0,VI,,,0.0,,,Guna_Mountain
0.0,,,,Godebie,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Amhara Region,,,,,0,186.67208027696216,Ethiopia,National park,186.91,186.91,Sub-National Ministry,State,"Amhara Regional State (Environment, Forest and Cli",2017.0,II,,,0.0,,,Godebie
0.0,,,,Menze_Guassa,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Amhara Region,,,,,0,77.33104150370838,Ethiopia,Community Conservation Area,78.0,78.0,Local Community,communal,"Amhara Regional State (Environment, Forest and Cli",2011.0,VI,,,0.0,,,Menze_Guassa
365023.0,,,,Borena_sayint_Worehimano,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,Yes,,,Amhara Region,,,,,0,152.36694249103826,Ethiopia,National park,152.62,152.62,Sub-National Minstry,State,"Amhara Regional State (Environment, Forest and Cli",2007.0,II,,,0.0,,,Borena_sayint_Worehimano
0.0,,,,Dembel Ayisha Adigala,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Somale Region,,,,,0,905.3129390889344,Ethiopia,Control Hunting Area,906.0,906.0,Sub-National Ministry,state,"Somale Regional State (Culture, Sport and Tourism",2010.0,VI,,,0.0,,,Dembel Ayisha Adigala
0.0,,,,Amibera-Melika sadi,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,111.23643234796947,Ethiopia,Control Hunting Area,111.0,111.0,Sub-National Ministry,State,"Afar Regional State (Culture, Sport and Tourism Be",2011.0,VI,,,0.0,,,Amibera-Melika sadi
0.0,,,,Asibahri Kebena,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,167.5154634866741,Ethiopia,Control Hunting Area,174.0,174.0,Sub-National Ministry,state,"Afar Regional State (Culture, Sport and Tourism Be",2013.0,VI,,,0.0,,,Asibahri Kebena
625.0,,,,Awash,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,Yes,,,Oromia & Afar Regions,,,,,0,589.9589198182243,Ethiopia,National park,590.0,590.0,Federal,State,Ethiopian Wildlife Conservation Authority (EWCA),1969.0,II,,,0.0,,,Awash
0.0,,,,Billen-Hertale,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,825.2376406559098,Ethiopia,Control Hunting Area,825.0,825.0,Sub-National Ministry,state,"Afar Regional State (Culture, Sport and Tourism Be",2014.0,VI,,,0.0,,,Billen-Hertale
0.0,,,,Chifra,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,545.2564769233016,Ethiopia,Control Hunting Area,545.0,545.0,Sub-National Ministry,state,"Afar Regional State (Culture, Sport and Tourism Be",1998.0,VI,,,0.0,,,Chifra
0.0,,,,Gara Gumbi,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Oromia Region,,,,,0,48.70935512218314,Ethiopia,Open Hunting Area,140.0,140.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2012.0,VI,,,0.0,,,Gara Gumbi
0.0,,,,Gelila Dura,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,51.678633142532355,Ethiopia,Open Hunting Area,140.0,140.0,Sub-National Ministry,State,"Afar Regional State (Culture, Sport and Tourism Be",2006.0,VI,,,0.0,,,Gelila Dura
7396.0,,,,GEWANE,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,3007.3960483,Ethiopia,Wildlife Reserve,2299.0,2299.0,Sub-National Ministry,State,"Afar Regional State (Culture, Sport and Tourism Be",1973.0,IV,,,0.0,,,GEWANE
0.0,,,,Hadar CHA,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,377.27149672651495,Ethiopia,Control Hunting Area,285.0,285.0,Sub-National Ministry,State,"Afar Regional State (Culture, Sport and Tourism Be",2017.0,VI,,,0.0,,,Hadar CHA
10740.0,,,,Hallaydeghe-Asebot,,,,,,,0.0,0.0,0.0,0.0,,0.0,Proposed,,,,,NO,,,Afar & Oromia Regions,,,,,0,1099.38848208,Ethiopia,National park,1099.7,1099.7,Federal,State,Ethiopian Wildlife Conservation Authority,1973.0,II,,,0.0,,,Hallaydeghe-Asebot
7397.0,,,,Milleserdo,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,7301.65036699,Ethiopia,Wildlife Reserve,6504.0,6504.0,Sub-National Ministry,State,"Afar Regional State (Culture, Sport and Tourism Be",1973.0,IV,,,0.0,,,Milleserdo
0.0,,,,Telalak_Dewe,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,503.26861843454753,Ethiopia,Control Hunting Area,500.0,500.0,Sub-National Ministry,State,"Afar Regional State (Culture, Sport and Tourism Be",2012.0,IV,,,0.0,,,Telalak_Dewe
0.0,,,,Yangudi_Rassa,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Afar Region,,,,,0,3046.95701067,Ethiopia,National park,4731.0,4731.0,Federal,State,Ethiopian Wildlife Conservation Authority,1969.0,II,,,0.0,,,Yangudi_Rassa
0.0,,,,Arsi_Mountains,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Oromia Region,,,,,0,930.5075772235205,Ethiopia,National park,931.0,931.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2010.0,II,,,0.0,,,Arsi_Mountains
555705205.0,,,,Borena,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Oromia Region,,,,,0,3726.19592712,Ethiopia,National park,3731.0,3731.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2013.0,II,,,0.0,,,Borena
0.0,,,,Tulu_Lafto-Sedden,,,,,,,0.0,0.0,0.0,0.0,,0.0,Proposed,,,,,NO,,,Oromia Region,,,,,0,562.8253914881632,Ethiopia,Sunctuary,563.0,563.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2018.0,IV,,,0.0,,,Tulu_Lafto-Sedden
0.0,,,,Senkele Swaynes Hartebeast,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,Yes,,,Oromia Region,,,,,0,52.9959615227056,Ethiopia,Sunctuary,54.0,54.0,Federal,State,Ethiopian Wildlife Conservation Authority (EWCA),1972.0,IV,,,0.0,,,Senkele Swaynes Hartebeast
0.0,,,,Liban Plain,,,,,,,0.0,0.0,0.0,0.0,,0.0,Proposede,,,,,NO,,,Oromia Region,,,,,0,97.20758103911491,Ethiopia,Sunctuary,97.0,97.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2018.0,IV,,,0.0,,,Liban Plain
0.0,,,,Gara Meti,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Oromia Region,,,,,0,318.76711314059304,Ethiopia,Open Hunting Area,318.0,318.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2012.0,VI,,,0.0,,,Gara Meti
0.0,,,,Weyib Valley,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Oromia Region,,,,,0,350.41404597425316,Ethiopia,Control Hunting Area,353.0,353.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2013.0,VI,,,0.0,,,Weyib Valley
0.0,,,,Urgan-Bula,,,,,,,0.0,0.0,0.0,0.0,,0.0,Designated,,,,,NO,,,Oromia Region,,,,,0,78.15993797735185,Ethiopia,Control Hunting Area,78.0,78.0,Sub-National Ministry,State,Oromia Forest and Wildlife Enterprise (OFWE),2010.0,VI,,,0.0,,,Urgan-Bula
