treatment_type,outcome,att,ci_low,ci_high,z,p_value,relative_pct,absolute_km2,absolute_ci_low_km2,absolute_ci_high_km2,n_treated,n_control
strict,forest_loss,0.07,0.0003,0.14,2.04,0.04,-25,30,1,59,2639,2063
strict,agricultural_expansion,-0.61,-0.90,-0.33,-4.20,0.0001,-44,262,140,384,2639,2063
strict,grassland,4.34,2.76,5.91,5.39,0.0001,76,1850,1178,2522,2639,2063
less_strict,forest_loss,0.001,-0.10,0.10,,0.98,0,,,,4454,4454
less_strict,agricultural_expansion,-1.24,-1.52,-0.96,-8.78,0.0001,-73,795,615,974,4454,4454
less_strict,grassland,1.44,0.63,2.24,3.5,0.0001,121,919,412,1426,4454,4454
