observation,date,start_utc,end_utc,duration_hours,n_int,n_groups_per_int
1,2023-06-19,03:29:45,06:04:49,2.58,1887,30
102,2023-09-30,09:18:59,11:54:02,2.58,1887,30
3,2024-05-04,00:29:32,03:04:35,2.58,1887,30
