sector,start_utc,end_utc,cadence_sec,n_transits
1,2018-07-25T19:00:27,2018-08-22T16:14:51,120,57
27,2020-07-05T18:31:16,2020-07-30T03:21:15,20,49
28,2020-07-31T08:15:15,2020-08-25T14:17:14,20,46
67,2023-07-01T03:14:33,2023-07-28T21:26:32,20,39
68,2023-07-29T02:30:32,2023-08-25T15:16:31,20,44
