variable,bin_centro,pdf_llc4320,pdf_goflow
vorticidad_zeta_sobre_f,-1.975,0.0,0.0
vorticidad_zeta_sobre_f,-1.9249999999999998,0.0,0.0
vorticidad_zeta_sobre_f,-1.875,0.0,0.0
vorticidad_zeta_sobre_f,-1.8250000000000002,0.0,1.4886645636798584e-05
vorticidad_zeta_sobre_f,-1.775,0.0,2.977329127359717e-05
vorticidad_zeta_sobre_f,-1.725,0.0,3.721661409199646e-05
vorticidad_zeta_sobre_f,-1.6749999999999998,0.0,0.00026795962146237447
vorticidad_zeta_sobre_f,-1.625,0.0,0.00029028958991757366
vorticidad_zeta_sobre_f,-1.5750000000000002,0.0,0.0003944961093751625
vorticidad_zeta_sobre_f,-1.525,0.0,0.0007592189274767278
vorticidad_zeta_sobre_f,-1.475,0.0,0.0014216746583142648
vorticidad_zeta_sobre_f,-1.4249999999999998,0.0,0.0017863974764158299
vorticidad_zeta_sobre_f,-1.375,0.0,0.001600314405955855
vorticidad_zeta_sobre_f,-1.325,0.0,0.0011388283912150865
vorticidad_zeta_sobre_f,-1.275,0.0,0.0011760450053070934
vorticidad_zeta_sobre_f,-1.225,0.0,0.0011164984227598938
vorticidad_zeta_sobre_f,-1.1749999999999998,0.0,0.0008559821241159186
vorticidad_zeta_sobre_f,-1.125,0.0,0.001421674658314271
vorticidad_zeta_sobre_f,-1.075,0.0,0.0019501505784206058
vorticidad_zeta_sobre_f,-1.025,0.0,0.003565351630013277
vorticidad_zeta_sobre_f,-0.975,1.4887753780372865e-05,0.003327165299824484
vorticidad_zeta_sobre_f,-0.9249999999999999,2.977550756074573e-05,0.002932669190449321
vorticidad_zeta_sobre_f,-0.8749999999999999,9.677039957242362e-05,0.0030145457414517134
vorticidad_zeta_sobre_f,-0.8249999999999998,0.0002009846760350337,0.0028359059938101302
vorticidad_zeta_sobre_f,-0.7749999999999999,0.0010198111339555457,0.003252732071640505
vorticidad_zeta_sobre_f,-0.725,0.0021587242981540656,0.005031686225237921
vorticidad_zeta_sobre_f,-0.6749999999999999,0.006103979049952875,0.006468247529188985
vorticidad_zeta_sobre_f,-0.6249999999999999,0.016495631188653135,0.008820337539803162
vorticidad_zeta_sobre_f,-0.5749999999999998,0.038968695520125975,0.013330991167753133
vorticidad_zeta_sobre_f,-0.5249999999999999,0.09462656302805035,0.021042273607614893
vorticidad_zeta_sobre_f,-0.475,0.1959749468879382,0.04406447108492381
vorticidad_zeta_sobre_f,-0.42499999999999993,0.34904338738084184,0.1052783579434396
vorticidad_zeta_sobre_f,-0.3749999999999999,0.57775650483182,0.25969753313395133
vorticidad_zeta_sobre_f,-0.32499999999999984,0.8589861737430635,0.5472628668999895
vorticidad_zeta_sobre_f,-0.2749999999999999,1.04792665696978,0.9107054334767942
vorticidad_zeta_sobre_f,-0.22499999999999998,1.1952782000110158,1.2408242437956172
vorticidad_zeta_sobre_f,-0.17499999999999993,1.3318510093152662,1.486587876613525
vorticidad_zeta_sobre_f,-0.12499999999999989,1.463428977226202,1.7739075807265559
vorticidad_zeta_sobre_f,-0.07499999999999984,1.6350177834218893,2.0402371144917013
vorticidad_zeta_sobre_f,-0.02499999999999991,1.7757889392922126,2.1767104383670617
vorticidad_zeta_sobre_f,0.025000000000000133,1.714242965164136,2.134045311971978
vorticidad_zeta_sobre_f,0.07500000000000018,1.5682759832244846,1.8317347557027084
vorticidad_zeta_sobre_f,0.125,1.4000964726445018,1.4750730562134677
vorticidad_zeta_sobre_f,0.17500000000000004,1.1483594439721658,1.0758132202345185
vorticidad_zeta_sobre_f,0.2250000000000001,0.8651943670694828,0.7703913550271486
vorticidad_zeta_sobre_f,0.27500000000000013,0.6358410762059419,0.5510440748917339
vorticidad_zeta_sobre_f,0.3250000000000002,0.47680264644711373,0.4009866868728084
vorticidad_zeta_sobre_f,0.3750000000000002,0.35426154508086094,0.28813846962305373
vorticidad_zeta_sobre_f,0.42500000000000027,0.26557519581118255,0.20385028202750233
vorticidad_zeta_sobre_f,0.4750000000000001,0.20265954833532654,0.14334351083673422
vorticidad_zeta_sobre_f,0.5250000000000001,0.1587257869294446,0.10504761493606873
vorticidad_zeta_sobre_f,0.5750000000000002,0.12582385107482183,0.08218917056076534
vorticidad_zeta_sobre_f,0.6250000000000002,0.09885468510167539,0.06259834490273776
vorticidad_zeta_sobre_f,0.6750000000000003,0.0788678756515256,0.04637934448144619
vorticidad_zeta_sobre_f,0.7250000000000001,0.06256578526201725,0.03618199222023912
vorticidad_zeta_sobre_f,0.7750000000000001,0.051794495401916975,0.028180420190459594
vorticidad_zeta_sobre_f,0.8250000000000002,0.0413060728636447,0.022806341115575533
vorticidad_zeta_sobre_f,0.8750000000000002,0.03252229813322438,0.01747692197760146
vorticidad_zeta_sobre_f,0.9250000000000003,0.026232222161017105,0.013718043954309957
vorticidad_zeta_sobre_f,0.9750000000000001,0.020820523661851543,0.010279228812209468
vorticidad_zeta_sobre_f,1.0250000000000001,0.017039034201636667,0.00783781892777442
vorticidad_zeta_sobre_f,1.0750000000000002,0.014962192549274797,0.005418739011794708
vorticidad_zeta_sobre_f,1.1250000000000002,0.01102438167436606,0.004205477392395581
vorticidad_zeta_sobre_f,1.1750000000000003,0.007994723780060265,0.0033718252367348944
vorticidad_zeta_sobre_f,1.225,0.005218157700020713,0.0022553268139749957
vorticidad_zeta_sobre_f,1.2750000000000001,0.004563096533684263,0.0014440046267694562
vorticidad_zeta_sobre_f,1.3250000000000002,0.004042025151371251,0.0011313850683966975
vorticidad_zeta_sobre_f,1.3750000000000002,0.0030817650325371698,0.0006252391167455378
vorticidad_zeta_sobre_f,1.4250000000000003,0.0025606936502241442,0.0005135892744695535
vorticidad_zeta_sobre_f,1.475,0.0021363926674835155,0.00037960946373836557
vorticidad_zeta_sobre_f,1.5250000000000001,0.0016525406696213808,8.93198738207911e-05
vorticidad_zeta_sobre_f,1.5750000000000002,0.0013473417171237503,5.210325972879528e-05
vorticidad_zeta_sobre_f,1.6250000000000002,0.0013324539633433655,5.954658254719407e-05
vorticidad_zeta_sobre_f,1.6750000000000003,0.0007816070734695789,3.7216614091996625e-05
vorticidad_zeta_sobre_f,1.725,0.0006997244276775277,2.2329968455197976e-05
vorticidad_zeta_sobre_f,1.7750000000000001,0.0006773927970069623,2.9773291273597036e-05
vorticidad_zeta_sobre_f,1.8250000000000002,0.0005061836285326797,2.97732912735973e-05
vorticidad_zeta_sobre_f,1.8750000000000002,0.00037219384450932,2.2329968455197776e-05
vorticidad_zeta_sobre_f,1.9250000000000003,0.0002158724298154075,2.2329968455197976e-05
vorticidad_zeta_sobre_f,1.975,0.0002009846760350346,1.488664563679865e-05
divergencia_delta_sobre_f,-0.9875,0.0,0.0019676727760173465
divergencia_delta_sobre_f,-0.9624999999999999,0.0,0.0015353810297711113
divergencia_delta_sobre_f,-0.9375,0.0,0.0022658050148078638
divergencia_delta_sobre_f,-0.9125000000000001,1.4886623475609742e-05,0.0023403380745054803
divergencia_delta_sobre_f,-0.8875,4.4659870426829233e-05,0.002787536432691241
divergencia_delta_sobre_f,-0.8625,5.954649390243897e-05,0.0027279099849331395
divergencia_delta_sobre_f,-0.8374999999999999,4.4659870426829233e-05,0.0031005752834212734
divergencia_delta_sobre_f,-0.8125,4.465987042682943e-05,0.003249641402816541
divergencia_delta_sobre_f,-0.7875000000000001,0.00010420636432926821,0.0044868901937971314
divergencia_delta_sobre_f,-0.7625,8.931974085365847e-05,0.005232220790773399
divergencia_delta_sobre_f,-0.7375,8.931974085365847e-05,0.006186243954903021
divergencia_delta_sobre_f,-0.7124999999999999,0.00017863948170731693,0.005709232372838211
divergencia_delta_sobre_f,-0.6875,0.00025307259908536673,0.006290590238479726
divergencia_delta_sobre_f,-0.6625,0.00026795922256097417,0.007021014223516409
divergencia_delta_sobre_f,-0.6375,0.0005061451981707335,0.007393679522004607
divergencia_delta_sobre_f,-0.6125,0.0006550114329268287,0.008750181208501382
divergencia_delta_sobre_f,-0.5874999999999999,0.0009527439024390235,0.009599858089054327
divergencia_delta_sobre_f,-0.5625,0.0009676305259146375,0.010568787865123523
divergencia_delta_sobre_f,-0.5375,0.001429115853658529,0.011090519283006813
divergencia_delta_sobre_f,-0.5125,0.0017268483231707378,0.01132902507403932
divergencia_delta_sobre_f,-0.4875,0.0025604992378048756,0.012551367253080347
divergencia_delta_sobre_f,-0.46249999999999997,0.003364376905487802,0.014921518551464877
divergencia_delta_sobre_f,-0.43749999999999994,0.004704173018292679,0.018514012028890487
divergencia_delta_sobre_f,-0.4124999999999999,0.007234899009146335,0.02139098813321888
divergencia_delta_sobre_f,-0.38749999999999996,0.01018245045731711,0.02343319396893396
divergencia_delta_sobre_f,-0.3625,0.014678210746951206,0.028397095744795795
divergencia_delta_sobre_f,-0.33749999999999997,0.02304449314024388,0.03497091161012648
divergencia_delta_sobre_f,-0.31249999999999994,0.03339069645579266,0.0431546415649259
divergencia_delta_sobre_f,-0.2874999999999999,0.05046565358231703,0.05654077908661966
divergencia_delta_sobre_f,-0.26249999999999996,0.0769489567454271,0.07447343324986899
divergencia_delta_sobre_f,-0.2375,0.11757455221036575,0.10157365375592575
divergencia_delta_sobre_f,-0.21249999999999997,0.18218249809451204,0.1495729442011974
divergencia_delta_sobre_f,-0.18749999999999994,0.27970476848323145,0.22255571625711348
divergencia_delta_sobre_f,-0.16249999999999992,0.4354486232850606,0.34882962599683276
divergencia_delta_sobre_f,-0.13749999999999996,0.681628715701222,0.5700139339555125
divergencia_delta_sobre_f,-0.11249999999999999,1.0904600562118891,0.9585249609353592
divergencia_delta_sobre_f,-0.08749999999999997,1.7810058593749982,1.6905588600615704
divergencia_delta_sobre_f,-0.062499999999999944,2.899452767721034,3.007498398470877
divergencia_delta_sobre_f,-0.03749999999999992,4.61875357278963,5.1339713114799865
divergencia_delta_sobre_f,-0.012499999999999956,6.7886278105945355,7.177474022433731
divergencia_delta_sobre_f,0.012500000000000067,7.225773508955754,7.1907856268956625
divergencia_delta_sobre_f,0.03750000000000009,5.3974728467988,5.338922319036545
divergencia_delta_sobre_f,0.0625,3.4630603325076343,3.3116678150969068
divergencia_delta_sobre_f,0.08750000000000002,2.087848942454257,1.8824367689471322
divergencia_delta_sobre_f,0.11250000000000004,1.2259134432164678,1.0198656690665107
divergencia_delta_sobre_f,0.13750000000000007,0.6921982183688987,0.5529309566728114
divergencia_delta_sobre_f,0.1625000000000001,0.38434284489329407,0.2959409668353981
divergencia_delta_sobre_f,0.1875000000000001,0.20317263719512088,0.16756522481220376
divergencia_delta_sobre_f,0.21250000000000013,0.10557593368902476,0.09990411321869935
divergencia_delta_sobre_f,0.23750000000000004,0.0535620712652441,0.06631951651894859
divergencia_delta_sobre_f,0.26250000000000007,0.026661942644816933,0.04428754407232963
divergencia_delta_sobre_f,0.2875000000000001,0.013472394245426879,0.03319702478932311
divergencia_delta_sobre_f,0.3125000000000001,0.00601419588414631,0.026190917177745927
divergencia_delta_sobre_f,0.33750000000000013,0.003543016387195135,0.021137575730247046
divergencia_delta_sobre_f,0.36250000000000004,0.0012951362423780533,0.017977373999067656
divergencia_delta_sobre_f,0.38750000000000007,0.0006550114329268258,0.01514511773055769
divergencia_delta_sobre_f,0.4125000000000001,0.00022329935213414714,0.012745153208294235
divergencia_delta_sobre_f,0.4375000000000001,0.00026795922256097417,0.010419721745728175
divergencia_delta_sobre_f,0.46250000000000013,2.9773246951219617e-05,0.009823457268147252
divergencia_delta_sobre_f,0.48750000000000004,4.465987042682943e-05,0.007900504327948473
divergencia_delta_sobre_f,0.5125000000000001,0.0,0.0068868547160606825
divergencia_delta_sobre_f,0.5375000000000001,1.4886623475609808e-05,0.006797415044423591
divergencia_delta_sobre_f,0.5625000000000001,0.0,0.006230963790721571
divergencia_delta_sobre_f,0.5875000000000001,1.4886623475609808e-05,0.005247127402712948
divergencia_delta_sobre_f,0.6125,0.0,0.004591236477373829
divergencia_delta_sobre_f,0.6375000000000001,0.0,0.00468067614901094
divergencia_delta_sobre_f,0.6625000000000001,0.0,0.004308010850522847
divergencia_delta_sobre_f,0.6875000000000001,0.0,0.0035924934774255943
divergencia_delta_sobre_f,0.7125000000000001,0.0,0.0031602017311793892
divergencia_delta_sobre_f,0.7375,0.0,0.0030856686714817614
divergencia_delta_sobre_f,0.7625000000000001,0.0,0.0029962289998445826
divergencia_delta_sobre_f,0.7875000000000001,0.0,0.0030856686714817614
divergencia_delta_sobre_f,0.8125000000000001,0.0,0.0025788438655378744
divergencia_delta_sobre_f,0.8375000000000001,0.0,0.0029366025520865075
divergencia_delta_sobre_f,0.8625,0.0,0.0025788438655378974
divergencia_delta_sobre_f,0.8875000000000001,0.0,0.001982579387956863
divergencia_delta_sobre_f,0.9125000000000001,0.0,0.0020869256715335587
divergencia_delta_sobre_f,0.9375000000000001,0.0,0.0019974859998963886
divergencia_delta_sobre_f,0.9625000000000001,0.0,0.0016844471491663726
divergencia_delta_sobre_f,0.9875,0.0,0.001773886820803525
deformacion_alpha_sobre_f,-1.975,0.0,0.0
deformacion_alpha_sobre_f,-1.9249999999999998,0.0,0.0
deformacion_alpha_sobre_f,-1.875,0.0,0.0
deformacion_alpha_sobre_f,-1.8250000000000002,0.0,0.0
deformacion_alpha_sobre_f,-1.775,0.0,0.0
deformacion_alpha_sobre_f,-1.725,0.0,0.0
deformacion_alpha_sobre_f,-1.6749999999999998,0.0,0.0
deformacion_alpha_sobre_f,-1.625,0.0,0.0
deformacion_alpha_sobre_f,-1.5750000000000002,0.0,0.0
deformacion_alpha_sobre_f,-1.525,0.0,0.0
deformacion_alpha_sobre_f,-1.475,0.0,0.0
deformacion_alpha_sobre_f,-1.4249999999999998,0.0,0.0
deformacion_alpha_sobre_f,-1.375,0.0,0.0
deformacion_alpha_sobre_f,-1.325,0.0,0.0
