y_km,x_km,vort_llc4320_zeta_f,vort_goflow_zeta_f,div_llc4320_delta_f,div_goflow_delta_f,gradT_sst
0.0,0.0,-0.08737283200025558,-0.3460826873779297,-0.17062941193580627,0.14889681339263916,0.7755253314971924
0.0,4.0,-0.11852651834487915,-0.7794842720031738,-0.14545786380767822,-0.07173161208629608,0.764050304889679
0.0,8.0,-0.0890149399638176,-0.6878001689910889,-0.12549610435962677,-0.23480765521526337,0.7688748836517334
0.0,12.0,-0.044709112495183945,-0.7235726714134216,-0.07173825055360794,-0.24052831530570984,0.7943382263183594
0.0,16.0,-0.021200472488999367,-0.7447121739387512,-0.029609806835651398,-0.2494918256998062,0.794971764087677
0.0,20.0,-0.024150395765900612,-0.7484052181243896,-0.01316071581095457,-0.24901477992534637,0.7953993082046509
0.0,24.0,-0.037630606442689896,-0.7705056071281433,-0.01335838157683611,-0.23489637672901154,0.7967813611030579
0.0,28.0,-0.054967813193798065,-0.8011875152587891,0.0015491069061681628,-0.21673323214054108,0.7980573773384094
0.0,32.0,-0.07308731973171234,-0.8258635997772217,0.02313934825360775,-0.19253911077976227,0.7957462668418884
0.0,36.0,-0.08471520245075226,-0.8539842963218689,0.04632708057761192,-0.16514289379119873,0.787057101726532
0.0,40.0,-0.09340115636587143,-0.8636330366134644,0.05818607285618782,-0.15198439359664917,0.7564799785614014
0.0,44.0,-0.10593494027853012,-0.8705078363418579,0.05852276831865311,-0.13584302365779877,0.7810463905334473
0.0,48.0,-0.11157835274934769,-0.8801025748252869,0.05029655620455742,-0.09686543047428131,0.7873578071594238
0.0,52.0,-0.11421596258878708,-0.8964751958847046,0.028789544478058815,-0.06714238971471786,0.7764182686805725
0.0,56.0,-0.11851488798856735,-0.9010758399963379,0.01912802644073963,-0.04871941730380058,0.7582774758338928
0.0,60.0,-0.12153339385986328,-0.89674311876297,0.0023748576641082764,-0.018952105194330215,0.7533783912658691
0.0,64.0,-0.13125862181186676,-0.9020490050315857,-0.01208885945379734,0.022204648703336716,0.7556747794151306
0.0,68.0,-0.14312802255153656,-0.9046288132667542,-0.017706964164972305,0.03994505852460861,0.7569568157196045
0.0,72.0,-0.1503922939300537,-0.8889321088790894,-0.0347309336066246,0.06085509806871414,0.7493199706077576
0.0,76.0,-0.15400081872940063,-0.872003972530365,-0.03290766105055809,0.08972634375095367,0.7507892847061157
0.0,80.0,-0.1530793458223343,-0.8452944755554199,-0.024277225136756897,0.0988815501332283,0.7418182492256165
0.0,84.0,-0.15475869178771973,-0.8015096783638,-0.02301109954714775,0.1127396747469902,0.7460029721260071
0.0,88.0,-0.15942613780498505,-0.763846755027771,-0.011638038791716099,0.13380230963230133,0.75620436668396
0.0,92.0,-0.16756203770637512,-0.7132910490036011,-0.007362684700638056,0.15203171968460083,0.7579238414764404
0.0,96.0,-0.16267429292201996,-0.6831804513931274,0.006784302182495594,0.1590173989534378,0.7599744200706482
0.0,100.0,-0.14282675087451935,-0.6813898086547852,0.01631500944495201,0.17303097248077393,0.7762935757637024
0.0,104.0,-0.11103243380784988,-0.6979618072509766,-0.006930924020707607,0.19589434564113617,0.781225323677063
0.0,108.0,-0.08068995177745819,-0.7175282835960388,-0.041244689375162125,0.21223121881484985,0.7764349579811096
0.0,112.0,-0.06294558197259903,-0.705830991268158,-0.036267880350351334,0.19994716346263885,0.7345542311668396
0.0,116.0,-0.04586906358599663,-0.6481731534004211,-0.037437718361616135,0.1666741818189621,0.7464893460273743
0.0,120.0,-0.03280067443847656,-0.5786575078964233,-0.06322715431451797,0.11636429280042648,0.7383224964141846
0.0,124.0,-0.08176685869693756,-0.5015192031860352,-0.032971322536468506,0.0684063732624054,0.7267235517501831
0.0,128.0,-0.13488122820854187,-0.43540269136428833,-0.06093226373195648,0.020234085619449615,0.7466530799865723
0.0,132.0,-0.18177060782909393,-0.3930310308933258,-0.10713354498147964,-0.05035288631916046,0.771162748336792
0.0,136.0,-0.24825799465179443,-0.3882530629634857,-0.04521671682596207,-0.10933201014995575,0.7620479464530945
0.0,140.0,-0.2062968909740448,-0.36298927664756775,-0.03374207764863968,-0.144510880112648,0.7450501322746277
0.0,144.0,-0.2109646499156952,-0.29988595843315125,-0.07434427738189697,-0.1903022974729538,0.7266994118690491
0.0,148.0,-0.26913321018218994,-0.23143717646598816,-0.11518064886331558,-0.2544878423213959,0.7309525012969971
0.0,152.0,-0.36793142557144165,-0.14371532201766968,0.02888631448149681,-0.3426070213317871,0.7455232739448547
0.0,156.0,-0.2836824953556061,-0.09011785686016083,0.09004492312669754,-0.4316674768924713,0.7828705310821533
