droga,genotipo,tiempo,condicion,inyeccion,n,media_ingesta_g,sem_ingesta_g
Liraglutide,WT,1hr,droga,Liraglutide,10,0.2900000000000002,0.06403124237432845
Liraglutide,WT,2hr,droga,Liraglutide,10,0.4500000000000002,0.07923242882669802
Liraglutide,WT,4hr,droga,Liraglutide,10,0.5400000000000001,0.1002219758558194
Liraglutide,WT,1hr,control,Saline,11,0.4272727272727272,0.05061603966209115
Liraglutide,WT,2hr,control,Saline,11,0.9363636363636365,0.07540524128482813
Liraglutide,WT,4hr,control,Saline,11,1.818181818181818,0.1285005707933427
Liraglutide,S33W,1hr,droga,Liraglutide,9,0.2999999999999999,0.06009252125773315
Liraglutide,S33W,2hr,droga,Liraglutide,9,0.4666666666666665,0.05773502691896271
Liraglutide,S33W,4hr,droga,Liraglutide,9,0.6999999999999998,0.06454972243679025
Liraglutide,S33W,1hr,control,Saline,9,0.5555555555555556,0.1908396004146408
Liraglutide,S33W,2hr,control,Saline,9,1.077777777777778,0.2184400361259723
Liraglutide,S33W,4hr,control,Saline,9,2.044444444444444,0.274424200782855
Danuglipron,WT,1hr,droga,Danuglipron,16,0.2125000000000002,0.03010398644698075
Danuglipron,WT,2hr,droga,Danuglipron,16,0.7812500000000002,0.05417467889460285
Danuglipron,WT,4hr,droga,Danuglipron,16,1.7375,0.1028246889937756
Danuglipron,WT,1hr,control,Vehicle,16,0.2500000000000003,0.0465474668125632
Danuglipron,WT,2hr,control,Vehicle,16,0.7062500000000003,0.06485159340113913
Danuglipron,WT,4hr,control,Vehicle,16,1.68125,0.1057586678874755
Danuglipron,S33W,1hr,droga,Danuglipron,15,0.1400000000000002,0.04556523319583118
Danuglipron,S33W,2hr,droga,Danuglipron,15,0.4333333333333339,0.07215503590428876
Danuglipron,S33W,4hr,droga,Danuglipron,15,1.22,0.1215769401693938
Danuglipron,S33W,1hr,control,Vehicle,15,0.34,0.05589105048046177
Danuglipron,S33W,2hr,control,Vehicle,15,0.8933333333333332,0.09683892697555964
Danuglipron,S33W,4hr,control,Vehicle,15,1.726666666666667,0.07397983423214649
Orforglipron,WT,1hr,droga,Orfo,8,0.7000000000000001,0.05345224838248486
Orforglipron,WT,2hr,droga,Orfo,8,1.0625,0.0705526652326371
Orforglipron,WT,4hr,droga,Orfo,8,1.5125,0.06927558836168138
Orforglipron,WT,1hr,control,Saline,8,0.6875,0.08750000000000006
Orforglipron,WT,2hr,control,Saline,8,1.075,0.09209854970162604
Orforglipron,WT,4hr,control,Saline,8,1.5,0.1224744871391589
Orforglipron,S33W,1hr,droga,Orfo,9,0.3333333333333333,0.07637626158259732
Orforglipron,S33W,2hr,droga,Orfo,9,0.4666666666666666,0.07993052538854538
Orforglipron,S33W,4hr,droga,Orfo,9,0.8555555555555554,0.1564458648925414
Orforglipron,S33W,1hr,control,Saline,9,0.6777777777777776,0.08127077132404327
Orforglipron,S33W,2hr,control,Saline,9,1.1,0.0942809041582063
Orforglipron,S33W,4hr,control,Saline,9,1.755555555555556,0.1482407118236259
