mouse_id,virus,tiempo,inyeccion,ingesta_g,dieta,region_aav
C1,AAV-mCherry,1 hour,Danuglipron,0.5,SD,Hypothalamus mCherry
C1,AAV-mCherry,2 hour,Danuglipron,1.0000000000000009,SD,Hypothalamus mCherry
C1,AAV-mCherry,4 hour,Danuglipron,1.8000000000000007,SD,Hypothalamus mCherry
C2,AAV-mCherry,1 hour,Danuglipron,0.6000000000000014,SD,Hypothalamus mCherry
C2,AAV-mCherry,2 hour,Danuglipron,0.9000000000000004,SD,Hypothalamus mCherry
C2,AAV-mCherry,4 hour,Danuglipron,1.8000000000000007,SD,Hypothalamus mCherry
C3,AAV-mCherry,1 hour,Danuglipron,0.2999999999999998,SD,Hypothalamus mCherry
C3,AAV-mCherry,2 hour,Danuglipron,0.5999999999999996,SD,Hypothalamus mCherry
C3,AAV-mCherry,4 hour,Danuglipron,1.1999999999999993,SD,Hypothalamus mCherry
C4,AAV-mCherry,1 hour,Danuglipron,0.09999999999999964,SD,Hypothalamus mCherry
C4,AAV-mCherry,2 hour,Danuglipron,0.5,SD,Hypothalamus mCherry
C4,AAV-mCherry,4 hour,Danuglipron,1.1999999999999993,SD,Hypothalamus mCherry
C5,AAV-mCherry,1 hour,Danuglipron,0.5,SD,Hypothalamus mCherry
C5,AAV-mCherry,2 hour,Danuglipron,0.8999999999999995,SD,Hypothalamus mCherry
C5,AAV-mCherry,4 hour,Danuglipron,2.3999999999999995,SD,Hypothalamus mCherry
C6,AAV-mCherry,1 hour,Danuglipron,0.39999999999999947,SD,Hypothalamus mCherry
C6,AAV-mCherry,2 hour,Danuglipron,0.5,SD,Hypothalamus mCherry
C6,AAV-mCherry,4 hour,Danuglipron,1.3999999999999995,SD,Hypothalamus mCherry
C1,AAV-mCherry,1 hour,Vehicle,0.3999999999999986,SD,Hypothalamus mCherry
C1,AAV-mCherry,2 hour,Vehicle,0.5999999999999996,SD,Hypothalamus mCherry
C1,AAV-mCherry,4 hour,Vehicle,1.5999999999999996,SD,Hypothalamus mCherry
C2,AAV-mCherry,1 hour,Vehicle,0.3000000000000007,SD,Hypothalamus mCherry
C2,AAV-mCherry,2 hour,Vehicle,0.40000000000000036,SD,Hypothalamus mCherry
C2,AAV-mCherry,4 hour,Vehicle,1.200000000000001,SD,Hypothalamus mCherry
C3,AAV-mCherry,1 hour,Vehicle,0.3000000000000007,SD,Hypothalamus mCherry
C3,AAV-mCherry,2 hour,Vehicle,0.5000000000000009,SD,Hypothalamus mCherry
C3,AAV-mCherry,4 hour,Vehicle,1.3000000000000007,SD,Hypothalamus mCherry
C4,AAV-mCherry,1 hour,Vehicle,0.3000000000000007,SD,Hypothalamus mCherry
C4,AAV-mCherry,2 hour,Vehicle,0.7999999999999998,SD,Hypothalamus mCherry
C4,AAV-mCherry,4 hour,Vehicle,1.4000000000000004,SD,Hypothalamus mCherry
C5,AAV-mCherry,1 hour,Vehicle,0.5999999999999996,SD,Hypothalamus mCherry
C5,AAV-mCherry,2 hour,Vehicle,1.0,SD,Hypothalamus mCherry
C5,AAV-mCherry,4 hour,Vehicle,1.9000000000000004,SD,Hypothalamus mCherry
