mouse_id,genotipo,region,via_administracion,droga,fos_norm
4280,WT,DMH,IP,DAN,0.9430701213291243
2961,WT,DMH,IP,DAN,0.7112102484530376
382,WT,DMH,IP,DAN,2.4413469582785687
378,WT,DMH,IP,DAN,1.1692350741762674
4279,S33W,DMH,IP,DAN,1.909034779412134
4277,S33W,DMH,IP,DAN,1.6113353938823842
4276,S33W,DMH,IP,DAN,1.6097033318375527
2963,S33W,DMH,IP,DAN,1.4685206546622123
712,S33W,DMH,IP,ORFO,0.8671406191305125
1008,S33W,DMH,IP,ORFO,1.3689522954929725
1010,S33W,DMH,IP,ORFO,0.9466732447768188
1047,S33W,DMH,IP,ORFO,1.2910955526004435
F1,WT,DMH,IP,ORFO,1.1716192025906425
M3,WT,DMH,IP,ORFO,1.1449963026170717
M4,WT,DMH,IP,ORFO,1.6395965906462358
M5,WT,DMH,IP,ORFO,1.1114727444488177
19,S33W,DMH,IP,LIRA,1.3282056000486422
1006,S33W,DMH,IP,LIRA,0.9813068263485859
1007,S33W,DMH,IP,LIRA,1.902446269999102
1049,S33W,DMH,IP,LIRA,1.260926726519399
F2,WT,DMH,IP,LIRA,1.5181389602483106
F3,WT,DMH,IP,LIRA,1.5607709110630923
M1,WT,DMH,IP,LIRA,1.7641236563761566
M2,WT,DMH,IP,LIRA,1.501854821957195
4F,WT,DMH,IP,SAL,1.6289788128749418
5M,WT,DMH,IP,SAL,1.2123567239681419
6M,WT,DMH,IP,SAL,1.6451441081831824
7F,WT,DMH,IP,SAL,1.4699582112232712
F5,S33W,DMH,IP,SAL,0.6996927063718396
2786,S33W,DMH,IP,SAL,1.023186150768412
96,S33W,DMH,IP,SAL,1.346812189676201
2963,S33W,NTS,IP,DAN,3.169120874237578
4276,S33W,NTS,IP,DAN,1.7302862841745315
4279,S33W,NTS,IP,DAN,1.8037313115178315
378,WT,NTS,IP,DAN,0.08423400852938655
382,WT,NTS,IP,DAN,0.3955925633999385
2961,WT,NTS,IP,DAN,0.3359563742117396
4280,WT,NTS,IP,DAN,0.5441361853025856
712,S33W,NTS,IP,ORFO,2.0667464069144965
1008,S33W,NTS,IP,ORFO,1.8904399257155524
1010,S33W,NTS,IP,ORFO,1.9817614173751232
1047,S33W,NTS,IP,ORFO,1.8994833441786152
F1,WT,NTS,IP,ORFO,0.6251661131567955
M3,WT,NTS,IP,ORFO,0.3578379619752464
M4,WT,NTS,IP,ORFO,0.2704601862831795
M5,WT,NTS,IP,ORFO,0.303715158459292
19,S33W,NTS,IP,LIRA,0.9959805942115741
1006,S33W,NTS,IP,LIRA,1.8339871633640903
1007,S33W,NTS,IP,LIRA,1.0131116811595486
1049,S33W,NTS,IP,LIRA,1.1196859472695033
F2,WT,NTS,IP,LIRA,2.016536510701885
F3,WT,NTS,IP,LIRA,1.8383445305903838
M1,WT,NTS,IP,LIRA,1.5190515529552655
M2,WT,NTS,IP,LIRA,1.471801847165681
4F,WT,NTS,IP,SAL,0.6871311165544665
6M,WT,NTS,IP,SAL,0.4323924447113246
7F,WT,NTS,IP,SAL,0.32163669102911996
F5,S33W,NTS,IP,SAL,0.4670555273772432
2786,S33W,NTS,IP,SAL,0.4711784379303561
96,S33W,NTS,IP,SAL,0.6224882181166334
2963,S33W,AP,IP,DAN,5.126403550571719
4276,S33W,AP,IP,DAN,3.01550927337164
4279,S33W,AP,IP,DAN,3.912715139227001
378,WT,AP,IP,DAN,0.12231293765098002
382,WT,AP,IP,DAN,0.10679196924391285
2961,WT,AP,IP,DAN,1.0019370783514796
4280,WT,AP,IP,DAN,1.6017426960533059
712,S33W,AP,IP,ORFO,3.391805383114568
1008,S33W,AP,IP,ORFO,2.455718589494028
1010,S33W,AP,IP,ORFO,1.7286569522561621
1047,S33W,AP,IP,ORFO,1.889968368334929
F1,WT,AP,IP,ORFO,0.238759696253895
M3,WT,AP,IP,ORFO,0.20608220158328802
M4,WT,AP,IP,ORFO,0.13055810554094688
M5,WT,AP,IP,ORFO,0.12081779362881812
19,S33W,AP,IP,LIRA,1.298734762009251
1006,S33W,AP,IP,LIRA,4.085634068813154
1007,S33W,AP,IP,LIRA,1.9222302886176899
1049,S33W,AP,IP,LIRA,3.0167437577798384
F2,WT,AP,IP,LIRA,4.905428640170329
F3,WT,AP,IP,LIRA,4.4492362239934256
M1,WT,AP,IP,LIRA,0.5757603464112366
M2,WT,AP,IP,LIRA,1.8809881844897915
F5,S33W,AP,IP,SAL,0.1477198077654462
2786,S33W,AP,IP,SAL,0.08087704368456342
96,S33W,AP,IP,SAL,0.36295933155143373
4F,WT,AP,IP,SAL,0.8677888668444027
6M,WT,AP,IP,SAL,0.2696310369937165
7F,WT,AP,IP,SAL,0.16068495526468818
378,WT,CEA,IP,DAN,0.28432129215631563
4280,WT,CEA,IP,DAN,0.3400086899066546
2961,WT,CEA,IP,DAN,0.1515715851603796
382,WT,CEA,IP,DAN,0.3543447992950968
4279,S33W,CEA,IP,DAN,0.7319627682460167
4277,S33W,CEA,IP,DAN,0.9577474480935717
4276,S33W,CEA,IP,DAN,0.7045123215302987
2963,S33W,CEA,IP,DAN,0.9460121513924253
712,S33W,CEA,IP,ORFO,0.6058164118336485
1008,S33W,CEA,IP,ORFO,0.9480713499118586
1010,S33W,CEA,IP,ORFO,1.0969760360740304
1047,S33W,CEA,IP,ORFO,1.161710601873199
F1,WT,CEA,IP,ORFO,0.3775377865674674
M3,WT,CEA,IP,ORFO,0.4365154713422019
M4,WT,CEA,IP,ORFO,0.2619219095327419
M5,WT,CEA,IP,ORFO,0.14146586466191477
19,S33W,CEA,IP,LIRA,0.9113817188753104
1006,S33W,CEA,IP,LIRA,1.727881209738676
1007,S33W,CEA,IP,LIRA,1.0546699394266372
1049,S33W,CEA,IP,LIRA,1.2881795661258384
F2,WT,CEA,IP,LIRA,2.504285765927931
F3,WT,CEA,IP,LIRA,1.1155420107050131
M1,WT,CEA,IP,LIRA,1.3621102045940185
M2,WT,CEA,IP,LIRA,1.256151281921238
4F,WT,CEA,IP,SAL,0.9830633539775016
5M,WT,CEA,IP,SAL,0.3228810892811607
6M,WT,CEA,IP,SAL,0.40608269620136755
7F,WT,CEA,IP,SAL,0.3433075023097083
F5,S33W,CEA,IP,SAL,0.31042899083379866
2786,S33W,CEA,IP,SAL,0.41945550383583
96,S33W,CEA,IP,SAL,0.5928624911267346
