group,days_elapsed,event
CD,143.0,1
CD,149.0,1
CD,149.0,1
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
CD,150.0,0
KD,87.0,1
KD,102.0,1
KD,110.0,1
KD,122.0,1
KD,110.0,1
KD,135.0,1
KD,135.0,1
KD,141.0,1
KD,141.0,1
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
KD,150.0,0
