KD-WT,KD-Cpt1a-iKO
7763456.9,1225267.9
6122994.3,4469009.7
9972805.7,5439550.3
5773038.3,5244180.8
5222466.49,609076.4
7508240.26,3765042.4
7044175.33,4463685.0
12370070.7,3936218.8
11267269.4,6644878.6
5240704.64,6344011.6
1674164.36,1662212.2
11862646.0,5546422.6
,1330176.0
,3539614.1
,2679121.7
,6069655.2
,5771079.7
,4875805.6
,3333142.3
,4605900.0
,2016024.0
,7151693.7
,4043958.0
,3484512.5
,2031192.8
,4200005.2
,8063887.8
,6458428.3
,5902008.9
,3064760.0
