KD-WT,KD-Cpt1a-iKO
25.0,18.0
23.0,17.0
16.0,25.0
4.0,30.0
14.0,3.0
18.0,7.0
11.0,17.0
14.0,18.0
26.0,12.0
19.0,10.0
35.0,2.0
17.0,19.0
,6.0
,9.0
,9.0
,5.0
,11.0
,20.0
,6.0
,9.0
,13.0
,14.0
,5.0
,8.0
,4.0
,8.0
,19.0
,23.0
,20.0
,5.0
