proteccion,riqueza_peces_mean,riqueza_peces_std,riqueza_peces_count,biomasa_piscivoros_mean,biomasa_piscivoros_std,biomasa_piscivoros_count,biomasa_herbivoros_mean,biomasa_herbivoros_std,biomasa_herbivoros_count,biomasa_invertivoros_mean,biomasa_invertivoros_std,biomasa_invertivoros_count,entropia_funcional_mean,entropia_funcional_std,entropia_funcional_count,distincion_evolutiva_mean,distincion_evolutiva_std,distincion_evolutiva_count,entropia_filogenetica_mean,entropia_filogenetica_std,entropia_filogenetica_count,nivel_trofico_medio_mean,nivel_trofico_medio_std,nivel_trofico_medio_count,robustez_red_trofica_mean,robustez_red_trofica_std,robustez_red_trofica_count,atencion_publica_mean,atencion_publica_std,atencion_publica_count,estetica_mean,estetica_std,estetica_count,biomasa_disponible_mean,biomasa_disponible_std,biomasa_disponible_count
protección parcial,-0.05861963954834588,0.9929368936388899,650,0.005693341620070614,0.9214767526836259,650,-0.07170728514901574,1.0115286601207132,650,0.0570351680685297,0.9272530758023602,650,0.02638704649976675,0.9858104282871776,650,-0.0401709293145423,1.1266821406030072,650,-0.03375656795807687,1.004823314656437,650,0.03292259430141394,0.9340015772472805,650,0.0690957118901648,0.9306740480097191,650,0.0368229189181074,0.9006591628187169,650,-0.04682720387650285,1.0340422916784782,650,-0.044486057039411865,0.9367202264432773,650
protección total,0.16136416040174587,0.935944508526144,779,0.20076487994766454,0.8894376731115052,779,0.22265803245798968,0.9064175831152672,779,0.10321437598451014,1.0627672219207847,779,0.0881243642057128,0.9826782051189744,779,-0.16637791245909256,0.7852436914229943,779,0.06196768922377097,0.9019359823024217,779,-0.00660151052563127,0.9806656522182674,779,-0.049602658218982576,0.9238898703944181,779,0.20782787811160022,0.681425578767291,779,0.2111997138272799,0.922706495446976,779,0.1983344773560849,0.9986027098478183,779
sin protección,0.07370429629511202,0.9874235447243126,1366,-0.1133215869760943,0.992928320070159,1366,0.006417739248919157,0.9112157638266395,1366,-0.17769707497678133,0.9947467939386104,1366,-0.15779981965747805,0.907373826020148,1366,0.03291850432148973,1.0854011059011563,1366,0.014982555820235834,1.0332303321074352,1366,-0.13465581479653335,0.9870648761914499,1366,-0.06490168080240609,1.0693371790243091,1366,0.14651743619575494,0.8355312019940772,1366,0.09479916388134202,0.966399179056635,1366,-0.11276952823349544,0.9712116575212227,1366
