biomasa_piscivoros,biomasa_herbivoros,riqueza_peces,NN_score,NP_score,proteccion
3.985211353207994,4.087375098401124,38.0,0.60519555442177,0.3229795088878459,protección total
4.033958172890971,3.4660831092395745,26.0,0.7585203425801283,-0.10711210018524821,protección parcial
3.596101143481041,3.588685274430194,26.0,0.28047048200870345,-0.0493213044919635,protección parcial
3.5245521685386065,3.565612078912947,32.0,0.867717123655398,-0.012224485519715758,protección total
3.8826245373306776,4.095198362843638,34.0,0.8615060368267218,0.19049367026225794,protección total
3.4618919031075306,4.352353957143747,35.0,0.16643163669609223,0.15428454069456587,protección parcial
3.995307795653517,4.208385882283225,41.0,0.6480443696538608,0.13883218755058493,protección total
3.4619501676530833,3.9953248751384365,34.0,0.45248746746449076,0.11977508560861805,protección total
3.804031786567085,4.560449189130762,46.0,0.5364192081259903,0.373686738446038,protección total
3.2098038348483358,3.492576599459534,32.0,0.6277096207133642,0.15246742883336875,protección parcial
2.8668735555711686,3.9924923903532297,30.0,0.3059513278760463,0.4528108253728205,protección parcial
2.7336219728400293,3.5978916947800874,31.0,-0.03451497581175504,0.09720155825467779,protección parcial
3.3611442160372182,3.7092981905020914,28.0,0.47175818634473576,-0.07155181186577475,protección total
0.0,3.579329705304677,19.0,-0.4380904503367659,0.0356566351204968,protección total
3.186779906067512,3.758778260710311,24.0,0.2951181738016969,-0.024835559799674764,protección parcial
2.9666492604465944,3.6105903542847635,15.0,-0.127717492345699,0.18586924495129956,protección parcial
4.369341042081457,4.284738986002092,31.0,1.1553190884820599,0.10531578180446666,protección total
4.596942914811381,4.150883510522661,26.0,0.4111518891875853,-0.06264679403601704,protección total
4.700564697411814,4.193734443112244,36.0,0.8086445938845169,-0.0756896357360565,protección total
3.8789069839258663,4.11621223814436,30.0,0.2155114210467722,0.16703427481826774,protección parcial
3.6850293956457825,4.076114864859315,28.0,0.16697343609576568,0.16938768325197173,protección parcial
4.2135444714406125,4.198145399574264,30.0,0.30721982310875057,-0.1366961039361727,protección parcial
2.698645690185349,3.8147727483098524,30.0,-0.01239565550893502,0.4389788389651222,protección parcial
2.9295065937198603,3.7189002968639224,28.0,0.03899566126956123,0.17565828316492108,protección parcial
3.2167905009698186,4.3680299955940205,38.0,-0.03244853727388158,0.1468630608928696,protección parcial
2.7034093058828823,3.9048902458652837,34.0,0.2357224910948853,0.38217729313865934,protección parcial
3.1482512726189325,3.323605539813483,25.0,-0.16287104287385984,-0.2046362254518974,protección parcial
3.0588318781684096,4.228018029435235,25.0,0.06850346496893296,0.290735883149096,protección parcial
3.030383476692994,2.9741105680191158,38.0,0.23434685697726826,0.1765394216125218,protección parcial
3.214969545444987,3.6040460483772088,34.0,0.8643621575003666,0.1453668904730108,protección parcial
3.251656151541207,3.956188261026731,32.0,0.39212513608747146,0.01550890171736588,protección parcial
4.0173921935113865,3.6700264903438042,36.0,0.9749486730689342,0.11192117432745634,protección parcial
2.849330421312332,4.670850668836758,33.0,-0.001298042520272786,0.17118138239475034,protección parcial
3.9579484028240075,3.8439691543251584,36.0,0.5222575137951566,0.2268241570175179,protección parcial
2.9193243345502244,3.509750070017625,30.0,0.15096288869031974,0.5168515014649603,protección parcial
2.811714823147218,3.5683732899807024,29.0,0.07357890845220143,0.2014021068003019,protección parcial
3.045020698929746,4.549160773454187,26.0,-0.48365076754118397,0.6128772739773315,protección parcial
3.9596208021262416,4.239672096158894,21.0,-0.0830307148952349,0.28873503638741244,protección parcial
2.335931489061843,3.5073372424792346,19.0,-0.29297817396481657,0.20539496550538325,protección parcial
2.645933064834642,2.8020563314798377,17.0,-0.2755899868158136,0.4340587835085405,protección parcial
3.5160627150229393,3.117472073969606,36.0,0.4645422179505123,-0.27541031710289443,protección parcial
1.7258161698600372,3.613424372077453,21.0,-0.2478174833512622,0.3275552227585126,protección parcial
0.0,3.6559552704257774,24.0,-0.2220881171855314,0.26657225576324717,protección parcial
4.192472281747932,3.4424039236826887,29.0,0.41860456175876287,0.4711371158384125,protección parcial
1.4954285812933783,4.28941920746887,29.0,-0.5432198613281239,0.18966663264648612,protección parcial
2.071192989658803,4.340376032500251,26.0,-0.5901509922081355,1.2681821523530015,protección parcial
4.136833702075332,4.561700407482448,27.0,0.38162384085372003,0.5361931996764462,protección parcial
3.847510210904802,3.823512539291097,29.0,0.3495645621048269,0.21325241478149434,protección parcial
4.41372072282268,4.115709573911936,34.0,0.5162676054445577,-0.06517023485245359,protección parcial
2.49825524772667,3.3814860058213387,35.0,0.06988004858656653,0.06826619981152296,protección parcial
3.567028535767755,3.665875615074631,30.0,0.3216493714259359,0.3694007380990811,protección parcial
3.090387908458878,3.575800916964633,34.0,0.3011237438829036,0.5068373703519243,protección parcial
4.133592369868558,4.147636178602694,35.0,0.49767377144652575,0.15859847165699115,protección parcial
2.708866635269935,4.107639715109328,28.0,-0.1059931677736848,0.4886224245179518,protección parcial
2.836522806028565,4.409542775879436,31.0,-0.06780471893567241,0.37412097895500285,protección parcial
3.4026014501514696,3.9683337036391046,33.0,0.1829973230705246,0.05865119872731007,protección parcial
2.1673557331429936,2.9100661090528464,30.0,-0.0765039469786083,0.0013122232677927708,protección parcial
2.818347548459455,3.353396755982516,43.0,0.06909886697481403,0.1933417637025131,protección parcial
1.9905365687348788,4.07600270234615,30.0,-0.1754399320818935,0.28652849948130416,protección parcial
4.0328465387678945,4.226473827379373,36.0,0.3540335851794003,0.3456706118614643,protección parcial
3.135307263679603,4.389354083888497,34.0,0.025948107809194248,0.029132520386843653,protección parcial
3.137231134471391,4.066171582688823,42.0,0.36384723121032425,0.11957607176097314,protección parcial
3.850605131715836,4.46886175144966,39.0,0.6100963521747632,-0.001418342592418409,protección parcial
2.675620358561518,3.283442934063751,22.0,-0.6404174638407519,0.2680056043863434,protección parcial
3.8548652650889705,3.963735455579018,31.0,0.11656638459403931,0.0518490405441843,protección parcial
3.770465649532574,4.056152223777089,34.0,0.2678254886142523,0.04010458225800696,protección parcial
3.5667132798454473,4.153489680206991,42.0,0.49991363693194873,0.2516760185620116,protección parcial
3.6385195802203634,4.483185150085595,34.0,0.14588363457194792,0.4200217906569165,protección parcial
3.5075976086668725,4.219502215415076,33.0,0.11624857010310197,0.8347817468362825,protección parcial
1.9638974886417973,4.005177772216044,28.0,-0.1893206485778433,0.2563913189236582,sin protección
3.196504521441823,3.855883895506458,39.0,0.1600318634112731,0.06899236712382027,sin protección
2.5779533064532942,3.9590607060916505,30.0,0.1489920539423334,0.20597676967268316,sin protección
3.078947687677597,3.903871666151528,33.0,0.31321930061050385,0.4230505047790161,sin protección
3.0302187776839715,3.6086960293105728,22.0,0.19802552960482994,0.10428006663506718,sin protección
2.411584321036755,3.791791774279845,22.0,-0.060595006054125135,0.3311208565442104,sin protección
2.6942104449989484,3.7244386481231064,25.0,0.04380269165102011,0.12189225510270259,sin protección
2.568681796527179,3.788175905546656,28.0,-0.2752195191266523,0.28905039481035605,sin protección
2.2150345114036205,4.01612626565493,28.0,-0.38600079972247237,1.1560936173922183,sin protección
3.446881626528479,4.061586202381332,29.0,0.350961042208552,0.4994944094580864,sin protección
4.099802681192903,3.8590605701372676,31.0,0.5335091927899984,0.42210179202597714,sin protección
2.9017189145282276,4.002514661850476,33.0,0.032977905215948206,0.4416980276207176,sin protección
2.313994677310253,3.6630982270535233,27.0,0.185307234987836,0.43558289384530435,sin protección
4.885555986284083,4.1188832904027,49.0,1.2590010266655716,0.14969126406833852,protección total
4.3721864474970795,4.644195191843103,51.0,0.7318965843614254,0.13187392735292644,protección total
2.890005926822364,4.359620059077839,31.0,-0.11370305307325271,0.2786698488863458,protección parcial
3.8137541140440328,3.6804395427431595,21.0,0.4485497831844334,0.011994604818041195,protección parcial
0.0,3.612638901345596,24.0,0.3406857457060959,-0.12706618214141366,protección parcial
3.841448414966166,4.090030566144044,36.0,0.9066600398945126,0.23886714535528988,protección total
3.0388436765103912,4.162991470941005,29.0,0.7040643281807674,0.31191507282089037,protección total
4.202322226152558,4.391842103638958,44.0,0.7388288915567592,0.06323838454813684,protección total
5.089160001398138,4.029200430517432,41.0,0.7731427163653385,-0.08685049025824983,protección total
3.9751570468247315,4.401371049210361,43.0,0.8233025480869297,0.17819684469931127,protección total
3.180435274703214,3.9933811997559956,31.0,0.4173976038613468,0.4185139424481353,protección parcial
4.179871634806832,4.133032486386481,44.0,0.68737004671762,0.11537633957713218,protección parcial
3.3291183609922532,4.11897487540811,21.0,0.5695034130032054,-0.5124111424948729,protección parcial
2.2229410961199614,1.7089077050498405,23.0,0.10801470807097155,-0.2660221266173231,protección parcial
0.0,3.496277899859376,18.0,0.10239543959948998,-0.32336989402156213,protección parcial
3.528960540953765,4.113487150188944,38.0,0.16948843873583594,-0.20162329041756433,protección total
4.140852862936856,4.9166044044185195,25.0,0.05180018864111774,-0.7102442038710234,protección total
3.0906744047500907,3.6173469655647192,39.0,0.4638661245203272,-0.33557088002215246,protección total
0.0,2.645602434162674,24.0,-0.10223602342636845,-0.5103666551577962,protección total
0.8127605844749448,4.601702735869197,24.0,0.008832974286387577,-0.4584353287201763,protección total
2.69895988471957,4.415708257784241,36.0,0.0951040978862641,-0.45227306589135813,protección total
3.1393958584687414,5.462459013477184,28.0,0.25227748204965633,-0.2635154635600452,protección total
2.8524119762880997,2.6842413068925746,38.0,0.3838326174954765,-0.17723545046688896,protección total
1.1726692477483311,2.360123420197347,25.0,-0.32934433856350903,-0.47335305102392566,protección total
2.4754810002165386,3.4830760832427914,36.0,0.22822612634936074,-0.2983459656669584,protección total
0.0,2.0633396282884044,31.0,0.34088052234173216,-0.32802296334013037,protección total
2.005878675839578,1.9999699751073416,26.0,0.07329602174849244,-0.3977415763758027,protección total
0.0,3.92233047689205,27.0,0.03966051434365395,-0.32954450728236695,protección total
,,36.0,-0.013929181370469286,0.6413498437037036,protección total
0.0,2.7865437880021564,23.0,-0.5284817004032688,-0.43765850590675504,protección total
2.7039086473417595,3.7643787487779465,35.0,0.09750286742546943,-0.6064617535336326,protección total
2.2938659923624374,3.372352578763264,17.0,-0.064284025756756,-0.6500213925113295,protección total
3.601370924299383,4.051618535561369,35.0,0.5015622725014209,-0.5049310755870554,protección total
0.0,3.6887105629293937,27.0,0.022376824845951042,-0.7408522589961338,protección total
2.4590042458959807,4.639942388404464,24.0,0.044754948359272524,-0.54585941681178,protección total
,,55.0,0.5739483339156242,-0.09545681373411029,protección total
,,43.0,0.4512331773910457,-0.12971591947215325,protección total
4.09315272028454,3.3351503354671337,41.0,0.6954076478546511,-0.2899926029619846,protección total
,,10.0,-0.04712294979641398,-0.6132157464583332,protección total
0.0,1.8805104889866524,14.0,-0.732705720293265,-0.6376700870825842,protección total
2.0370948818303765,3.836886520852277,18.0,0.0036929681696324284,-1.3296580048548101,sin protección
2.889555580232257,2.354631001382551,10.0,-0.46380300881319136,-1.3474243662530914,sin protección
0.0,2.849395092196481,15.0,-0.4159927679950799,-1.4747786169553623,sin protección
0.0,2.6968802712579,12.0,-0.26103328924694524,-0.9480069442064284,sin protección
0.0,3.76991002110374,25.0,-0.5037376006213217,-0.6470702035559229,sin protección
0.0,2.8385257100258987,13.0,-0.7286844131156842,-1.3515796209016846,sin protección
2.0370948818303765,3.2781016030151227,15.0,-0.19167055475916833,-0.29514921062384475,sin protección
0.0,3.2327894079334434,19.0,-0.006810302982285545,-0.5236290532492591,sin protección
0.0,3.0286640807751386,11.0,-0.6690032977962987,-1.9654144381728071,sin protección
0.0,3.171546652038264,16.0,-0.2187013702581503,-0.052545045435361565,sin protección
0.0,2.9187709845370744,8.0,-0.7048512638662146,-1.8481131800582224,sin protección
0.0,2.125129108936703,9.0,-0.632523516741068,-1.9658575783002323,sin protección
0.0,2.722263645916659,12.0,-0.4440948248707746,-1.9905021939485323,sin protección
0.0,2.832674193310618,12.0,-0.5656163540861517,-1.8288698789609388,sin protección
0.0,2.9452013986019088,15.0,-0.1082970153630586,-1.410017177018851,sin protección
0.0,2.927818189212316,11.0,-0.6177676105349762,-2.252939558826886,sin protección
0.0,2.0354764575728828,10.0,-0.6318959425098652,-1.7879179628381336,sin protección
0.0,2.481049981428118,11.0,-0.5006250402863358,-2.2570029365678272,sin protección
2.325874699096369,2.823994070703171,12.0,0.03836987302831171,-1.4317316299963572,sin protección
3.5103614319559653,2.5932378000092844,15.0,0.5841048320954642,-1.6007621348227543,sin protección
0.0,2.1661936899542544,13.0,-0.5207513501524007,-1.1717727330220569,sin protección
2.325874699096369,3.09263674345747,14.0,-0.11416629751418447,-1.5904789600998106,sin protección
0.0,3.6219345082657104,19.0,-0.07426050781804441,-1.2662182025484183,sin protección
0.0,3.1787897664064797,15.0,-0.3193318625190045,-1.5975104564901017,sin protección
3.3977970146760743,2.744802783131046,20.0,0.5080274873753333,-0.799544431183821,sin protección
4.564289206494478,2.2433659575283866,17.0,0.5940076355468136,-0.42326163001662603,sin protección
3.255306995509667,5.136094583605179,14.0,-0.001980814034332149,-1.407071790958322,sin protección
2.6135739859049125,2.6219345429031047,15.0,-0.2512294113920239,-2.0384758022287097,sin protección
3.7327618823540485,3.3669332254134576,21.0,0.4716528269834496,-0.7925537096669141,sin protección
