proteccion_detallada,riqueza_peces_mean,riqueza_peces_std,riqueza_peces_count,biomasa_piscivoros_mean,biomasa_piscivoros_std,biomasa_piscivoros_count,biomasa_herbivoros_mean,biomasa_herbivoros_std,biomasa_herbivoros_count,biomasa_invertivoros_mean,biomasa_invertivoros_std,biomasa_invertivoros_count,entropia_funcional_mean,entropia_funcional_std,entropia_funcional_count,distincion_evolutiva_mean,distincion_evolutiva_std,distincion_evolutiva_count,entropia_filogenetica_mean,entropia_filogenetica_std,entropia_filogenetica_count,nivel_trofico_medio_mean,nivel_trofico_medio_std,nivel_trofico_medio_count,robustez_red_trofica_mean,robustez_red_trofica_std,robustez_red_trofica_count,atencion_publica_mean,atencion_publica_std,atencion_publica_count,estetica_mean,estetica_std,estetica_count,biomasa_disponible_mean,biomasa_disponible_std,biomasa_disponible_count
parcial,-0.05861963954834588,0.9929368936388899,650,0.005693341620070614,0.9214767526836259,650,-0.07170728514901574,1.0115286601207132,650,0.0570351680685297,0.9272530758023602,650,0.02638704649976675,0.9858104282871776,650,-0.0401709293145423,1.1266821406030072,650,-0.03375656795807687,1.004823314656437,650,0.03292259430141394,0.9340015772472805,650,0.0690957118901648,0.9306740480097191,650,0.0368229189181074,0.9006591628187169,650,-0.04682720387650285,1.0340422916784782,650,-0.044486057039411865,0.9367202264432773,650
sin protección,0.07370429629511202,0.9874235447243126,1366,-0.1133215869760943,0.992928320070159,1366,0.006417739248919157,0.9112157638266395,1366,-0.17769707497678133,0.9947467939386104,1366,-0.15779981965747805,0.907373826020148,1366,0.03291850432148973,1.0854011059011563,1366,0.014982555820235834,1.0332303321074352,1366,-0.13465581479653335,0.9870648761914499,1366,-0.06490168080240609,1.0693371790243091,1366,0.14651743619575494,0.8355312019940772,1366,0.09479916388134202,0.966399179056635,1366,-0.11276952823349544,0.9712116575212227,1366
total (grande y antigua),0.11555532284010697,0.7547950042098056,488,0.060026287319466604,0.8430159918243306,488,0.25813329258193013,0.8744228794119735,488,-0.1146323491099158,1.0689040188061667,488,0.07672433768935903,0.9300879457774024,488,-0.19782669879313297,0.8088759648925354,488,0.06129012470655674,0.923536842234202,488,-0.16744034418084475,0.9350572599396785,488,-0.1199363980001741,0.8913937399625891,488,0.507646815243845,0.5244114636970884,488,0.36865081106416586,0.8615532472376565,488,0.08462800631457386,1.006996449391713,488
total (otras),0.2381844790618139,1.1763899840915153,291,0.436780114320725,0.9163279481290362,291,0.1631668745869143,0.9562633595941472,291,0.46853809366863336,0.9474281759549735,291,0.10724193444619609,1.0664555847756936,291,-0.11363905427692171,0.7423035164418145,291,0.0631039486203364,0.8660677687959537,291,0.2631213445387817,0.9976046386953472,291,0.06834533151717363,0.9660713321325088,291,-0.29496126731979316,0.6155951870394295,291,-0.05284198875553911,0.9622279938154131,291,0.3890174940854918,0.9561033712970197,291
