species,M,K,mass_kg,mass_g,K_linear
Pacific bluefin tuna,0.602059991,-3.2271357643836436,3999.9999969793544,3999999.9969793544,0.0005927399997285926
Pacific bluefin tuna,0.602059991,-3.148607102383644,3999.9999969793544,3999999.9969793544,0.0007102199993797374
Pacific bluefin tuna,0.602059991,-3.2797579813836437,3999.9999969793544,3999999.9969793544,0.0005251000003981517
Pacific bluefin tuna,0.62324929,-3.1872871333836437,4199.999996151961,4199999.99615196,0.000649699999777079
Pacific bluefin tuna,0.643452676,-3.031078308383644,4399.999995074253,4399999.9950742535,0.0009309400009435729
Pacific bluefin tuna,0.643452676,-3.1778711653836433,4399.999995074253,4399999.9950742535,0.0006639400007625166
Pacific bluefin tuna,0.643452676,-3.2193802993836433,4399.999995074253,4399999.9950742535,0.000603420000145029
Mako shark,0.698100546,-3.096910013383644,4990.000004327213,4990000.004327213,0.0007999999993081424
Pacific bluefin tuna,0.716003344,-3.296261657383644,5200.000004372711,5200000.004372711,0.0005055200003031349
Pacific bluefin tuna,0.73239376,-3.3621901713836437,5400.000002201202,5400000.002201201,0.00043431999996873104
Pacific bluefin tuna,0.73239376,-3.1061273213836436,5400.000002201202,5400000.002201201,0.0007831999996776902
Pacific bluefin tuna,0.785329835,-3.245789314383644,6099.999999848768,6099999.999848768,0.000567820000327231
Mako shark,0.837588438,-3.0791812463836434,6879.999996269081,6879999.996269081,0.0008333333326885739
Pacific bluefin tuna,0.84509804,-3.3362802333836434,6999.999999770207,6999999.999770207,0.00046102000024013124
Bigeye tuna,0.86332286,-3.2823294973836434,7299.999997975273,7299999.997975273,0.000521999999536161
Pacific bluefin tuna,0.919078092,-3.3296242493836434,8299.99999281268,8299999.99281268,0.00046813999980349803
Pacific bluefin tuna,0.924279286,-3.272458743383644,8399.999998803101,8399999.998803101,0.0005339999994931666
Mako shark,1.027757205,-3.070581074383644,10660.000007595536,10660000.007595535,0.0008499999998083186
Mako shark,1.03702788,-3.259637310383644,10890.000006123979,10890000.006123979,0.0005500000001546458
Pacific bluefin tuna,1.06069784,-3.749579997383644,11499.99999063646,11499999.990636459,0.00017800000012601648
Pacific bluefin tuna,1.096910013,-3.2390349873836435,12499.999999768117,12499999.999768117,0.000576720000133924
Pacific bluefin tuna,1.120573931,-3.466278769383644,13199.999993743373,13199999.993743373,0.00034175999968830633
Mako shark,1.134177108,-3.1153934183836434,13620.00001327312,13620000.01327312,0.0007666666672287893
Pacific bluefin tuna,1.439332694,-3.5564553993836436,27500.000010747954,27500000.010747954,0.00027767999996994953
Swordfish,1.505149978,-3.9586073143836433,31999.99997642845,31999999.976428453,0.00011000000011603758
Ocean sunfish,1.785329835,-3.983663203383643,60999.99999848768,60999999.99848768,0.00010383333341482089
Pacific bluefin tuna,1.785329835,-3.9366666413836437,60999.99999848768,60999999.99848768,0.00011569999991064817
Pacific bluefin tuna,1.812913357,-3.943400023383644,65000.00005345311,65000000.0534531,0.0001139200000848771
Pacific bluefin tuna,1.832508913,-4.2444300193836435,68000.00004599629,68000000.0459963,5.6959999998367974e-05
Swordfish,1.959041392,-4.053875380383643,90999.99993271958,90999999.93271959,8.833333341453091e-05
Blue shark,1.995635195,-4.079181246383643,99000.00009174088,99000000.09174088,8.333333326885739e-05
Ocean sunfish,2.012837225,-4.141663354383644,103000.00006992325,103000000.06992325,7.216666660794797e-05
Swordfish,2.037426498,-3.6917914193836436,109000.00001490235,109000000.01490235,0.0002033333334856137
Swordfish,2.037426498,-4.096910013383644,109000.00001490235,109000000.01490235,7.999999993081425e-05
Swordfish,2.037426498,-4.053875380383643,109000.00001490235,109000000.01490235,8.833333341453091e-05
Atlantic bluefin tuna,2.068185862,-4.420216403383644,117000.00006838467,117000000.06838468,3.7999999999960286e-05
Swordfish,2.103803721,-4.209949526383643,127000.00001287939,127000000.01287939,6.166666665715391e-05
Swordfish,2.133538908,-4.286789556383644,135999.99988406574,135999999.88406575,5.166666668638271e-05
Swordfish,2.146128036,-4.259637310383644,140000.00010372378,140000000.1037238,5.5000000015464574e-05
Atlantic bluefin tuna,2.204119983,-4.397940008383643,160000.000126762,160000000.126762,4.0000000026562096e-05
Atlantic bluefin tuna,2.397940009,-4.477121254383643,250000.00018879035,250000000.18879035,3.333333335912375e-05
Atlantic bluefin tuna,2.397940009,-4.6320232143836435,250000.00018879035,250000000.18879035,2.333333335062064e-05
Ocean sunfish,2.556302501,-4.441691516383644,360000.0001929025,360000000.1929025,3.616666667928063e-05
Whale shark,2.903089987,-4.695007107383644,800000.0000148405,800000000.0148405,2.0183333326685145e-05
Whale shark,3.176091259,-4.495755745383644,1499999.9998076842,1499999999.8076842,3.1933333352265226e-05
Whale shark,3.204119983,-4.262807357383644,1600000.0012676201,1600000001.26762,5.459999998888861e-05
