parametro,descripcion,unidad,mediana,q16,q84,sigma_lo,sigma_hi
theta_l_deg,Co-latitud magnética del centro del loop,deg,16.654590778441545,16.184670957406865,18.013876019073482,0.46991982103467933,1.3592852406319373
phi_l_deg,Longitud del loop en t_0,deg,-73.29869271245576,-77.45333343358264,-71.1069986675409,4.154640721126881,2.191694044914854
delta_l_deg,Orientación del loop vs meridiano,deg,120.08079525282997,116.78417786965379,121.52678427111013,3.2966173831761836,1.4459890182801587
b_fp_gauss,Intensidad del campo en la base del loop,Gauss,174.29407395700278,133.41681917501776,219.82157172637608,40.877254781985016,45.5274977693733
m_gauss_per_rstar,Gradiente vertical del campo magnético,G/R_*,9583.767918106943,8828.958148286649,10074.8857447933,754.8097698202946,491.11782668635715
l_rstar,Tamaño del loop (radios estelares),R_*,0.295754128957381,0.28062054339726134,0.3186203654624257,0.015133585560119678,0.022866236505044713
alpha_deg,Ángulo de apertura del cono de emisión,deg,77.41570628364803,75.5904356550758,78.29805239142806,1.825270628572241,0.8823461077800232
dalpha_deg,Grosor del cono de emisión,deg,0.008568577656309626,0.008281025443539439,0.008884692570071635,0.00028755221277018683,0.0003161149137620098
flux_max_mjy,Densidad de flujo máxima,mJy,92.83877541867693,90.94306063418749,94.68829766947088,1.8957147844894422,1.849522250793953
