dosis_ug_per_ml,replica,carga_bacteriana_pct
0.5,1,84.87430463
0.5,2,75.97352299
0.5,3,86.28265615
1,1,73.3265263
1,2,57.24948947
1,3,68.65727766
2,1,55.67917752
2,2,50.7147384
2,3,59.5380607
4,1,30.17393141
4,2,20.99809873
4,3,35.65981269
8,1,13.78036758
8,2,10.80191536
8,3,20.44905288
12,1,7.619181748
12,2,0.330540103
12,3,8.252939934
24,1,0.866136188
24,2,0.852052672
24,3,2.506865714
