concentracion_um,compuesto,replica,cfu_per_ml
0,Vancomicina,1,138000000
0,Vancomicina,2,538000000
0,Vancomicina,3,255000000
0,Bip-FK9,1,138000000
0,Bip-FK9,2,538000000
0,Bip-FK9,3,255000000
8,Bip-FK9,1,139000000
8,Bip-FK9,2,188000000
8,Bip-FK9,3,482000000
16,Bip-FK9,1,256000000
16,Bip-FK9,2,176000000
16,Bip-FK9,3,178000000
32,Vancomicina,1,483000000
32,Vancomicina,2,363000000
32,Vancomicina,3,114000000
32,Bip-FK9,1,5680000
32,Bip-FK9,2,6320000
32,Bip-FK9,3,78800000
64,Vancomicina,1,368000000
64,Vancomicina,2,155000000
64,Vancomicina,3,186000000
64,Bip-FK9,1,14000
64,Bip-FK9,2,3000
64,Bip-FK9,3,1000
128,Vancomicina,1,14800000
128,Vancomicina,2,6720000
128,Vancomicina,3,8330000
128,Bip-FK9,1,100
128,Bip-FK9,2,100
128,Bip-FK9,3,100
256,Vancomicina,1,32000
256,Vancomicina,2,23000
256,Vancomicina,3,18000
256,Bip-FK9,1,100
256,Bip-FK9,2,100
256,Bip-FK9,3,100
512,Vancomicina,1,100
512,Vancomicina,2,100
512,Vancomicina,3,100
512,Bip-FK9,1,100
512,Bip-FK9,2,100
512,Bip-FK9,3,100
1024,Vancomicina,1,100
1024,Vancomicina,2,100
1024,Vancomicina,3,100
1024,Bip-FK9,1,100
1024,Bip-FK9,2,100
1024,Bip-FK9,3,100
