variante,replica,cfu_per_ml
Control,1,6632000000
Control,2,5570000000
Control,3,7864000000
FK9,1,6932000000
FK9,2,3456000000
FK9,3,5768000000
Chl-FK9,1,3104000000
Chl-FK9,2,4592000000
Chl-FK9,3,2456000000
Ada-FK9,1,2544000000
Ada-FK9,2,1880000000
Ada-FK9,3,2256000000
Nap-FK9,1,1640000000
Nap-FK9,2,2384000000
Nap-FK9,3,938000000
Oct-FK9,1,1000000000
Oct-FK9,2,1700000000
Oct-FK9,3,1300000000
Iso-FK9,1,1260000000
Iso-FK9,2,1680000000
Iso-FK9,3,968000000
Bip-FK9,1,9920000
Bip-FK9,2,18300000
Bip-FK9,3,20800000
