time_bjd,flux_ppm
10271.600873194842,202.248159356877
10271.601333842085,201.92714450972815
10271.601794489285,201.60760834109226
10271.602255136506,201.28955215925615
10271.602715783705,200.97297734067433
10271.603176430941,200.65788518985883
10271.60363707814,200.34427708992553
10271.604097725361,200.03215433650468
10271.60455837259,199.7215182667489
10271.605019019811,199.41237021270376
10271.605479667025,199.1047114913158
10271.605940314246,198.79854340354441
10271.60640096146,198.4938672696668
10271.606861608667,198.1906843908643
10271.607322255903,197.88899603856436
10271.607782903102,197.5888035510298
10271.60824355033,197.29010817082226
10271.608704197544,196.99291121044737
10271.609164844751,196.6972139395562
10271.609625491972,196.40301761958412
10271.610086139193,196.11032352484514
10271.610546786414,195.8191329189951
10271.611007433636,195.52944705703013
10271.611468080842,195.2412672034942
10271.611928728056,194.95459458784836
10271.612389375263,194.66943046309026
10271.612850022484,194.38577605335183
10271.613310669713,194.10363259342313
10271.613771316926,193.82300132297914
10271.61423196414,193.54388345727003
10271.61469261134,193.26628021909542
10271.61515325856,192.9901927990585
10271.615613905797,192.71562240685824
10271.616074552996,192.4425702761745
10271.61653520021,192.17103756963283
10271.616995847431,191.9010254864961
10271.617456494645,191.6325352180337
10271.617917141852,191.36556794641103
10271.618377789066,191.10012483869454
10271.618838436287,190.83620706328298
10271.6192990835,190.573815798567
10271.619759730722,190.31295219162914
10271.620220377921,190.05361741664117
10271.620681025142,189.7958125969268
10271.621141672356,189.5395388968879
10271.62160231957,189.28479744872993
10271.62206296677,189.03158939620468
10271.622984261212,188.52977794203696
10271.623444908433,188.28117679481338
10271.623905555654,188.03411352186217
10271.624366202854,187.78858924184405
10271.62482685006,187.54460504455395
10271.62528749726,187.30216203310945
10271.625748144495,187.06126127909783
10271.626208791724,186.82190389229802
10271.626669438923,186.58409096805605
10271.62713008613,186.34782356330425
10271.627590733337,186.11310275495896
10271.62805138055,185.87992960616972
10271.628512027764,185.64830518030817
10271.628972674971,185.41823054007978
10271.629433322192,185.189706723099
10271.629893969413,184.96273478518788
10271.630354616605,184.73731577861585
10271.630815263834,184.51345070813474
10271.631275911055,184.29114062668006
10271.631736558262,184.07038656054198
10271.632197205476,183.8511895189132
10271.632657852682,183.6335505227549
10271.633118499874,183.41747058614465
10271.633579147103,183.20295068807724
10271.634039794302,182.98999185839548
10271.634500441523,182.77859506543592
10271.63496108873,182.5687613155047
10271.635421735951,182.36049157605015
10271.635882383165,182.15378683583694
10271.636343030372,181.94864806586608
10271.636803677586,181.74507622870095
10271.637264324792,181.5430722886813
10271.637724971992,181.3426372048177
10271.638185619213,181.1437719134723
10271.638646266434,180.94647737143532
10271.639106913633,180.75075452572696
10271.639567560855,180.55660429627807
10271.640028208054,180.3640276274443
10271.640488855275,180.17302542672198
10271.640949502475,179.98359863158342
10271.641410149696,179.7957481359802
10271.641870796895,179.6094748671706
10271.642331444102,179.42477971688575
10271.642792091301,179.24166358662674
10271.643252738522,179.06012735746657
10271.643713385722,178.88017193468107
10271.644174032943,178.7017981800254
10271.644634680142,178.52500698900542
10271.645095327363,178.34979921449445
10271.645555974585,178.17617573001598
10271.646016621784,178.00413740376442
10271.646477268983,177.8336850817297
10271.646937916204,177.66481960546088
10271.647398563404,177.49754183471467
10271.647859210625,177.3318525910561
10271.648319857824,177.16775272469397
10271.648780505024,177.00524305341858
10271.649241152245,176.84432439324382
10271.649701799452,176.68499757306222
10271.650162446644,176.5272634035586
10271.650623093872,176.3711226741016
10271.651083741071,176.21657620692233
10271.651544388293,176.06362478006508
10271.65200503547,175.91226920554703
10271.652465682691,175.76251023765366
10271.652926329905,175.61434867285897
10271.653386977134,175.46778527632867
10271.653847624311,175.32282083765338
10271.654308271525,175.17945609180074
10271.654768918746,175.03769180438056
10271.655229565953,174.8975287338972
10271.655690213152,174.75896762397804
10271.656150860352,174.62200921314343
10271.656611507566,174.48665423258626
10271.657072154772,174.35290341860645
10271.657532801986,174.22075749040644
10271.657993449186,174.09021717407214
10271.658454096385,173.96128317725967
10271.658914743592,173.8339562076252
10271.659375390806,173.70823696660764
10271.65983603799,173.58412616097496
10271.660296685226,173.46162446063573
10271.66075733241,173.34073257879723
10271.66121797961,173.22145117848464
10271.661678626824,173.10378093471357
