bin_center,count
676.7759903005089,25
680.1365402754047,7
683.4970902503005,6
686.8576402251963,25
690.2181902000922,68
693.5787401749881,68
696.9392901498838,95
700.2998401247796,187
703.6603900996755,168
707.0209400745714,150
710.3814900494672,208
713.742040024363,232
717.1025899992588,247
720.4631399741546,364
723.8236899490505,469
727.1842399239463,517
730.544789898842,558
733.905339873738,572
737.2658898486338,904
740.6264398235296,877
743.9869897984254,868
747.3475397733213,1103
750.7080897482172,1155
754.0686397231129,1137
757.4291896980087,1352
760.7897396729046,1246
764.1502896478004,1359
767.5108396226963,1556
770.871389597592,1516
774.2319395724878,1522
777.5924895473837,1831
780.9530395222796,1895
784.3135894971754,1837
787.6741394720711,2008
791.034689446967,2129
794.3952394218629,2377
797.7557893967587,2572
801.1163393716545,2591
804.4768893465504,2822
807.8374393214461,2808
811.197989296342,3224
814.5585392712378,3166
817.9190892461336,2936
821.2796392210295,3184
824.6401891959254,2849
828.0007391708211,2925
831.3612891457169,3213
834.7218391206128,3008
838.0823890955086,2798
841.4429390704045,2540
844.8034890453002,2483
848.1640390201961,2691
851.5245889950919,2482
854.8851389699878,2385
858.2456889448836,2687
861.6062389197793,2260
864.9667888946752,2387
868.3273388695711,2361
871.6878888444669,2126
875.0484388193627,2191
878.4089887942586,1796
881.7695387691543,1797
885.1300887440502,1514
888.490638718946,1386
891.8511886938419,1310
895.2117386687377,1390
898.5722886436336,1022
901.9328386185293,983
905.2933885934251,970
908.653938568321,854
912.0144885432169,832
915.3750385181127,1038
918.7355884930084,931
922.0961384679043,1003
925.4566884428001,910
928.817238417696,798
932.1777883925918,783
935.5383383674877,692
938.8988883423834,502
942.2594383172793,422
945.6199882921751,446
948.980538267071,422
952.3410882419668,351
955.7016382168625,370
959.0621881917584,379
962.4227381666542,207
965.7832881415501,303
969.1438381164459,261
972.5043880913418,165
975.8649380662375,216
979.2254880411334,170
982.5860380160292,204
985.9465879909251,149
989.3071379658209,33
992.6676879407167,27
996.0282379156125,22
999.3887878905083,6
1002.7493378654042,0
1006.1098878403,5
1009.4704378151959,4
