fase,SiO2,AlO1.5,FeO,MgO,CaO,NdO1.5,SmO1.5
Bulk (material inicial),40.8012,4.2804,5.9059,46.6552,2.0195,0.1137,0.1097
Brg 53 GPa,47.0522,3.8202,1.8974,45.2875,1.7382,0.0285,0.0589
Brg 97 GPa,46.7139,4.0602,1.3137,45.8919,1.8409,0.0279,0.0483
