individuo,grado,payoff_uniforme,payoff_equitativo
0,48,8.502023,0.866580
1,46,8.111316,0.866580
2,48,8.502023,0.866580
3,49,8.664864,0.866580
4,49,8.664864,0.866580
5,5,0.076132,0.866580
6,6,0.238559,0.866580
7,5,0.076132,0.866580
8,5,0.076132,0.866580
9,6,0.380682,0.866580
10,5,0.076132,0.866580
11,6,0.380682,0.866580
12,6,0.271044,0.866580
13,6,0.412285,0.866580
14,5,0.076132,0.866580
15,5,0.076132,0.866580
16,5,0.076132,0.866580
17,5,0.076132,0.866580
18,5,0.076132,0.866580
19,5,0.217372,0.866580
20,5,0.076132,0.866580
21,5,0.076132,0.866580
22,5,0.076132,0.866580
23,5,0.076132,0.866580
24,5,0.076132,0.866580
25,5,0.076132,0.866580
26,5,0.076132,0.866580
27,5,0.076132,0.866580
28,5,0.076132,0.866580
29,5,0.076132,0.866580
30,5,0.076132,0.866580
31,5,0.076132,0.866580
32,5,0.076132,0.866580
33,5,0.076132,0.866580
34,5,0.076132,0.866580
35,5,0.217372,0.866580
36,5,0.076132,0.866580
37,5,0.076132,0.866580
38,5,0.076132,0.866580
39,5,0.076132,0.866580
40,5,0.076132,0.866580
41,5,0.076132,0.866580
42,5,0.076132,0.866580
43,5,0.076132,0.866580
44,5,0.076132,0.866580
45,5,0.076132,0.866580
46,5,0.076132,0.866580
47,5,0.076132,0.866580
48,5,0.076132,0.866580
49,5,0.076132,0.866580
