vinculo,media_cercania,sd,n,d_replika_vs,p_value,p_bonferroni
Desconocido,1.9603960396039604,1.535713463372695,101,2.058663162168493,5.42466516113467e-25,3.797265612794269e-24
Conocido,4.3861386138613865,1.5809509608441559,101,0.4995915167465338,7.713106478638766e-05,0.0005399174535047136
Marca favorita,4.089108910891089,1.4839070718949359,101,0.7082071128820643,2.9374450723949436e-07,2.0562115506764605e-06
App favorita,4.217821782178218,1.6223683946381575,101,0.5979164575977719,4.2473134294076923e-07,2.9731194005853845e-06
Colega,4.405940594059406,1.4572454688334575,101,0.5063984962923497,9.046541540954885e-05,0.000633257907866842
Amigo,4.435643564356436,1.5389336670835323,101,0.4745955306211347,0.00012466757198116053,0.0008726730038681237
Familia,5.871287128712871,1.6165603381045426,101,-0.4322747979294702,0.00028803674396832605,0.0020162572077782825
Replika,5.178217821782178,1.589943644309196,101,,,
