app,metrica,media_antes,media_despues,diff_pp,ci_low_pp,ci_high_pp,cohens_d,p_value,n_dias_antes,n_dias_despues
replika,perc_negativos,13.12065066570397,37.792337896810324,24.671687231106354,20.137018254301,29.206356207911707,2.836259922014738,7.737091646185621e-14,30,30
replika,perc_tristeza,3.492858464699711,13.716409185974364,10.223550721274652,8.22951931231128,12.217582130238023,2.6735750656506285,5.296579893328895e-13,30,30
replika,perc_enojo,3.7394248791613873,17.061749799579264,13.322324920417877,10.925819472086005,15.71883036874975,2.901397292036205,6.451509119475563e-14,30,30
replika,perc_perdida_apego,2.487699567845186,16.417119264722466,13.929419696877279,11.59847171015608,16.260367683598478,3.130746073102821,3.490580767327401e-14,30,30
replika,perc_salud_mental_neg,0.9895921710857272,4.078000381951936,3.088408210866209,2.1499241819161354,4.026892239816283,1.716153183091987,5.2863862490480515e-08,30,30
replika,perc_deseo_restauracion,2.4531598077717782,13.623726159649909,11.170566351878131,9.381107701092251,12.960025002664011,3.255553644332303,1.1668603125811388e-15,30,30
chatgpt,perc_negativos,19.583723101425605,32.55089580152507,12.967172700099468,10.76036486569405,15.173980534504885,3.0662289525676023,1.0705046332495776e-14,30,30
chatgpt,perc_tristeza,1.7982196064342197,3.866979831015324,2.068760224581104,1.2973259558132262,2.840194493348982,1.4070656653312847,4.453163546321549e-06,30,30
chatgpt,perc_enojo,7.051625049492786,16.998044203504968,9.946419154012181,8.521596513000146,11.371241795024217,3.656221970084802,3.050865338378944e-16,30,30
chatgpt,perc_perdida_apego,0.7578968263069477,3.9641598245741196,3.2062629982671718,2.2629794724586665,4.149546524075677,1.7909622219732055,9.522272911965709e-08,30,30
chatgpt,perc_salud_mental_neg,1.1160231426582703,1.4351109709572352,0.31908782829896487,0.056523008314407985,0.5816526482835218,0.629732668156465,0.01819977735706322,30,30
chatgpt,perc_deseo_restauracion,2.810515389395074,9.548646855299312,6.738131465904238,5.164714729637193,8.311548202171283,2.247037879078214,3.5787629500742885e-10,30,30
