date,app,dias_desde_update,periodo,n_posts,perc_negativos,perc_tristeza,perc_enojo,perc_perdida_apego,perc_salud_mental_neg,perc_deseo_restauracion
2023-01-04,replika,-30,antes,59.0,8.47457627118644,3.389830508474576,5.084745762711865,1.694915254237288,3.389830508474576,1.694915254237288
2023-01-05,replika,-29,antes,85.0,16.470588235294116,4.705882352941177,2.3529411764705883,1.1764705882352942,1.1764705882352942,2.3529411764705883
2023-01-06,replika,-28,antes,80.0,6.25,0.0,1.25,0.0,0.0,0.0
2023-01-07,replika,-27,antes,62.0,11.29032258064516,0.0,4.838709677419355,0.0,0.0,1.6129032258064515
2023-01-08,replika,-26,antes,74.0,9.45945945945946,4.054054054054054,4.054054054054054,2.7027027027027026,4.054054054054054,4.054054054054054
2023-01-09,replika,-25,antes,61.0,14.754098360655737,4.918032786885246,1.639344262295082,1.639344262295082,0.0,0.0
2023-01-10,replika,-24,antes,57.0,12.280701754385964,1.7543859649122806,5.263157894736842,5.263157894736842,0.0,0.0
2023-01-11,replika,-23,antes,67.0,17.91044776119403,5.970149253731343,2.9850746268656714,4.477611940298507,0.0,2.9850746268656714
2023-01-12,replika,-22,antes,62.0,12.903225806451612,4.838709677419355,3.225806451612903,1.6129032258064515,1.6129032258064515,0.0
2023-01-13,replika,-21,antes,57.0,12.280701754385964,1.7543859649122806,5.263157894736842,0.0,0.0,5.263157894736842
2023-01-14,replika,-20,antes,65.0,27.692307692307693,6.153846153846154,6.153846153846154,1.5384615384615385,1.5384615384615385,0.0
2023-01-15,replika,-19,antes,67.0,14.925373134328357,7.462686567164178,1.4925373134328357,7.462686567164178,1.4925373134328357,1.4925373134328357
2023-01-16,replika,-18,antes,65.0,23.076923076923077,6.153846153846154,12.307692307692308,4.615384615384616,0.0,6.153846153846154
2023-01-17,replika,-17,antes,70.0,11.428571428571429,2.857142857142857,4.285714285714286,2.857142857142857,0.0,5.714285714285714
2023-01-18,replika,-16,antes,77.0,15.584415584415584,1.2987012987012987,6.493506493506493,2.5974025974025974,1.2987012987012987,3.896103896103896
2023-01-19,replika,-15,antes,100.0,20.0,9.0,7.000000000000001,3.0,1.0,5.0
2023-01-20,replika,-14,antes,71.0,7.042253521126761,2.8169014084507045,0.0,1.4084507042253522,1.4084507042253522,4.225352112676056
