Year,E_median,E_CI_lower,E_CI_upper,Q_median,Q_CI_lower,Q_CI_upper
1,340.085907,325.9334923,354.7731472,1.307365555,1.010076873,1.566178647
2,350.6267395,333.3862381,363.4161377,1.09620944,0.769509334,1.397557012
3,336.6519775,328.2445698,354.2273865,0.835326683,0.665389644,1.022461551
4,339.4982758,324.8789825,359.3024261,1.054058419,0.814207602,1.388524238
5,344.80896,327.8080772,359.2518768,1.45124311,1.148876824,1.733471677
6,337.8764343,325.4686279,354.1055908,1.398126573,1.153555494,1.631710453
7,336.6009979,322.234726,354.7714817,1.668817004,1.416471086,1.966859677
8,352.9050598,338.3001099,368.7473495,1.636148612,1.269139576,1.865088164
9,345.8753357,330.4749252,359.2363281,1.208904156,0.990726505,1.462758177
10,361.5155945,342.4494019,375.8915863,1.544712683,1.334071556,1.734934486
11,346.5806885,336.5514221,361.488829,1.83946081,1.559502257,2.19838979
12,341.8570251,332.1933594,358.9966728,2.043182593,1.739618731,2.438057294
13,349.3318787,335.3241554,361.2313385,1.874820972,1.590442923,2.114547558
14,340.0616302,327.9911095,352.3891483,1.864239876,1.585606412,2.124150311
15,374.1498566,354.4160378,387.406189,1.45587644,1.267243815,1.652585247
16,348.3523254,330.787262,361.098999,1.680959257,1.368870711,2.057255552
17,342.789093,324.8639526,363.2527504,1.709539483,1.262068731,1.97423246
18,347.5229492,330.805835,365.028878,2.151333994,1.730860144,2.575238398
19,361.360199,349.8404236,379.1425476,2.014359474,1.686121611,2.26728011
20,368.4071655,355.2686245,383.8994202,1.854500977,1.492021905,2.183704978
