aridez,cuencas_E_sube_Q_baja,cuencas_E_sube_Q_sube,total_greening,pct_E_sube_Q_sube
Arid,16,32,48,66.7
Semi-Arid,177,454,631,71.9
Sub-Humid,119,192,311,61.7
Humid,1834,1256,3090,40.6
