basin,years_data,size_km2,lai_slope,q_slope_mm_yr2,e_slope_mm_yr2
Chile_04501001,39,676.997617730078,0.002397326614562186,-0.01836592853412956,0.09310026979639463
Chile_04503001,39,1849.74901015143,0.0006031842096766631,-0.01104462690589699,0.03764477162226018
Chile_05403002,39,900.079190620135,0.0008210615310069954,-0.1954651465705288,0.01341925014851069
Chile_05706001,39,544.747380685209,0.00117927523671648,-0.0925014024845644,0.3394890580582715
Chile_08351001,39,416.027494746861,0.02849895824474531,-0.1046342886987738,0.456321327116808
Chile_09102001,39,855.919941708865,0.01697582658003216,-0.07172481607054002,1.357752910413241
Chile_09116001,39,5062.36006294877,0.007652385235242719,-0.4406373065035614,0.76219046279969
Chile_09404001,39,1677.89505472285,0.00494170769362654,-0.4941450060175723,0.479091153164142
Chile_10134001,39,1806.71721626932,0.003251481654933851,-0.2432581279492366,0.2293830037599633
USGS_01105730,39,79.5672,0.007833003554306089,-0.0006503580081910005,0.04633216394586611
USGS_01135500,39,1124.9,0.0006187944146655218,0.0002843432582839954,0.3164560356603456
USGS_01154500,39,14220.1,0.001921842771336448,0.02901113280222034,0.09682275563599112
USGS_01199000,39,1643.04,0.00525396908599612,0.007922768345281429,0.1492336875513978
USGS_01200000,39,532.584,0.003248869342294716,0.01593040991612243,0.02780627046036793
USGS_01200500,39,2583.36,0.004550822278918211,0.01794092621656562,0.08745453251518301
USGS_01331095,39,9784.65,0.002058687796672539,0.09748964662641138,0.1576056229440781
USGS_01334500,39,1324.34,0.003494437876487537,0.003442222284945557,0.06779767241072564
USGS_01335754,39,11970.2,0.002191039488018535,0.098605712049773,0.188335205572337
USGS_01336000,39,386.425,0.007401723649859466,0.0111023864637568,0.5630377827385651
USGS_01346000,39,1439.44,0.00354807106067738,0.02105505111900977,0.5119540504115795
USGS_01347000,39,3450.5,0.0002753608257299146,0.004761442146387815,0.6744509430549401
USGS_01351500,39,2320.99,0.006204477952050749,0.0563275925961056,0.004017101704833445
USGS_01357500,39,9113.44,0.000407010216119939,0.3214353443393227,0.4618929596565028
USGS_01358000,39,20981.1,0.00145756752843223,0.3752340659487329,0.297592002467105
USGS_01371500,39,1866.35,0.004243996396655912,-0.005550829345290379,0.3163418294929782
USGS_01400500,39,1271.47,0.004907483114004702,-0.02784145561634632,0.04086993754151336
USGS_01408500,39,318.795,0.003453158904431568,-0.00151743199761116,0.01222180200491802
USGS_01411300,39,79.317,0.002687918538532785,-0.002029530435660084,2.150085585126993
USGS_01417000,39,960.933,0.005688461606227826,0.05127382518748563,0.124735349585653
USGS_01417500,39,1183.97,0.005688461606227826,0.06082593883566452,0.07924133177228297
USGS_01420500,39,627.047,0.003043688260591947,0.0174238524951873,0.1625188418245511
USGS_01421000,39,2029.48,0.004806870491015866,0.07625289577782828,0.1059656367128195
USGS_01425000,39,1180.56,0.0004154759971345115,0.044141778134537,0.2897914500371648
USGS_01426500,39,1539.33,0.0006369466345424216,0.06378990276022922,0.2421522071004393
USGS_01427510,39,4725.0,0.002311075629858235,0.1748085067918043,0.2145174157764267
USGS_01428500,39,5242.79,0.003018235675040816,0.1890826843527173,0.2144866387371114
USGS_01431500,39,748.657,0.005542363388974813,0.007830609170381244,0.4586812440200375
USGS_01434000,39,7967.64,0.002497112003957482,0.2078045442181421,0.1537255043925544
