model,model_class,r_adj,r_adj_ci_lo,r_adj_ci_hi,r_raw,r_raw_ci_lo,r_raw_ci_hi
combined,human,0.9329768501847416,0.910438839448326,0.950016934255197,0.8900999358537776,0.8601001555390193,0.913964207924497
davinci-002,gpt,0.235188861182367,0.104055168068922,0.3582992487452839,0.2083463311929894,0.08257566104810188,0.3275844399610059
deepseek/deepseek-chat-v3-0324,open,0.8619824979984301,0.8191058004832239,0.8944748787580299,0.8088599975511511,0.7595100710782385,0.8489529775908543
google/gemma-3-27b-it,open,0.8134627639996703,0.7597794822387245,0.8561306674580282,0.7636080030189908,0.7044780276061682,0.8122103897022119
gpt-3.5-turbo,gpt,0.8087545577410477,0.7541603049523214,0.8521519924726597,0.7410663607466392,0.6773294068343745,0.7937614278972489
gpt-4,gpt,0.9151266459087334,0.8861363533272137,0.9369368673304874,0.8507895015768856,0.8111312095578356,0.8826599557158533
human,human,0.8879436372484145,0.8533818436819565,0.914730418231402,0.8402162820560181,0.7980544712783129,0.8741915562333719
openai/gpt-oss-120b,open,0.8531603396183647,0.8083335994831589,0.8881006447530965,0.7773745742895832,0.7211434187243552,0.8234300356251901
