hd_radial_d,hd_radial_intensity,hd_axial_d,hd_axial_intensity,hopg_d,hopg_intensity
3.50281,2745.553625,3.50904,3876.92307,3.5011,15.55124
3.44141,2757.051275,3.45778,3829.32693,3.49434,18.11816
3.38214,2751.1655,3.40801,3829.32693,3.48761,20.68211
3.32489,2699.27155,3.35967,3872.59614,3.4809,23.20307
3.26955,2699.41725,3.3127,3885.57693,3.47422,25.86438
3.21604,2674.114225,3.26704,3872.59614,3.46757,28.32603
3.16425,2725.98485,3.22264,3850.96155,3.46094,30.89245
3.11412,2659.294875,3.17945,3863.94231,3.45434,33.56414
3.06556,2712.7564,3.13741,3868.26924,3.44776,36.09843
3.0185,2647.703975,3.09649,3842.30769,3.44121,38.72614
2.97288,2686.614225,3.05664,3859.61538,3.43469,41.13392
2.92862,2646.2296,3.01781,3872.59614,3.42819,43.81302
2.88567,2654.516325,2.97997,3868.26924,3.42171,67.83845
2.84397,2616.89395,2.94308,3876.92307,3.41526,80.92656
2.80346,2623.12355,2.90711,3894.23076,3.40884,109.12409
2.76411,2587.412575,2.87202,3885.57693,3.40244,172.47859
2.72585,2595.174825,2.83778,3829.32693,3.39607,388.68916
2.68864,2580.3613,2.80436,3837.98076,3.38972,895.42731
2.65244,2587.272725,2.77174,3868.26924,3.38339,2062.14861
2.61721,2632.6923,2.73987,3872.59614,3.37709,3588.11613
2.58292,2642.669,2.70874,3868.26924,3.37081,4942.06468
2.54952,2622.272725,2.67833,3898.55769,3.36456,5552.3992
2.51698,2631.7774,2.6486,3920.19231,3.35833,4828.97457
2.48526,2669.65035,2.61953,3872.59614,3.35212,2958.35627
2.45435,2710.4662,2.59111,3876.92307,3.34594,421.48727
2.4242,2760.641025,2.56331,3928.84614,3.33978,159.41667
2.39479,2822.9429,2.53611,3976.44231,3.33364,103.70362
2.36609,2906.136375,2.50949,3989.42307,3.32753,81.47266
2.33808,3006.998825,2.48344,4002.40386,3.32144,69.3359
2.31073,3214.20745,2.45793,4050.0,3.31537,60.06999
2.28403,3651.4219,2.43295,4097.59614,3.30933,53.29934
2.25793,4857.494175,2.40848,4158.17307,3.3033,48.51294
2.23244,7738.840325,2.38452,4240.38462,3.2973,44.64329
2.20752,17948.65385,2.36103,4335.57693,3.29133,41.50853
2.18316,29347.832175,2.33801,4443.75,3.28537,38.94804
2.15934,22673.216775,2.31545,4608.17307,3.27944,37.01568
2.13603,16520.979025,2.29332,4919.71155,3.27353,35.04231
2.11323,16603.75875,2.27163,5417.30769,3.26764,33.58736
2.09092,22027.5,2.25035,6161.53845,3.26177,32.3469
2.06909,16983.117725,2.22948,7745.19231,3.25593,31.12225
2.0477,11630.670175,2.20899,11539.90386,3.25011,29.92726
2.02677,9871.136375,2.18889,16658.65386,3.2443,28.57313
2.00626,9300.2331,2.16916,19864.90386,3.23852,27.2363
1.98617,9203.280875,2.1498,19211.53845,3.23276,25.99584
1.96649,9057.768075,2.13078,17134.61538,3.22702,24.73659
1.94719,8929.8543,2.11211,19086.05769,3.22131,23.68344
1.92828,8123.193475,2.09376,23460.57693,3.21561,22.6797
1.90974,6195.769225,2.07575,24165.86538,3.20993,22.01005
1.89155,4513.945225,2.05804,19752.40386,3.20428,21.44171
1.87372,3689.813525,2.04065,14642.30769,3.19864,20.47405
1.85622,3050.2098,2.02355,12660.57693,3.19303,19.94722
1.83906,2772.167825,2.00675,11933.65386,3.18743,19.30031
