material,temperature_K,mass_pct
HOPG,721.623,98.08624
HD,722.56,99.48501
HOPG,722.623,98.04602
HD,723.56,99.47018
HOPG,723.623,98.02554
HD,724.56,99.45269
HOPG,724.623,98.02651
HD,725.56,99.43533
HOPG,725.623,98.0342
HD,726.56,99.42292
HOPG,726.623,98.03338
HD,727.56,99.41178
HOPG,727.623,98.02129
HD,728.56,99.41426
HOPG,728.623,98.00746
HD,729.56,99.42708
HOPG,729.623,98.00225
HD,730.56,99.44793
HOPG,730.623,98.00641
HD,731.56,99.46164
HOPG,731.623,98.01514
HD,732.56,99.46499
HOPG,732.623,98.02783
HD,733.56,99.47505
HOPG,733.623,98.04695
HD,734.56,99.48206
HOPG,734.623,98.07051
HD,735.56,99.48446
HOPG,735.623,98.09017
HD,736.56,99.48638
HOPG,736.623,98.09697
HD,737.56,99.48277
HOPG,737.623,98.08837
HD,738.56,99.47611
HOPG,738.623,98.06917
HD,739.56,99.47541
HOPG,739.623,98.04654
HD,740.56,99.4672
HOPG,740.623,98.02585
HD,741.56,99.45564
HOPG,741.623,98.00956
HD,742.56,99.44117
HOPG,742.623,97.99935
HD,743.56,99.43031
HOPG,743.623,97.99678
HD,744.56,99.4139
HOPG,744.623,98.00133
HD,745.56,99.39393
HOPG,745.623,98.0068
HD,746.56,99.37815
HOPG,746.623,98.00706
HD,747.56,99.36514
HOPG,747.623,97.99976
HD,748.56,99.35782
HOPG,748.623,97.98124
HD,749.56,99.3504
HOPG,749.623,97.95162
HD,750.56,99.34739
HOPG,750.623,97.92368
HD,751.56,99.34013
HOPG,751.623,97.91189
HD,752.56,99.33721
HOPG,752.623,97.91485
HD,753.56,99.33418
HOPG,753.623,97.92084
HD,754.56,99.33421
HOPG,754.623,97.92594
HD,755.56,99.3315
HOPG,755.623,97.93623
HD,756.56,99.33237
HOPG,756.623,97.95532
HD,757.56,99.33975
HOPG,757.623,97.9771
HD,758.56,99.34137
HOPG,758.623,97.99076
HD,759.56,99.34005
HOPG,759.623,97.99017
HD,760.56,99.34121
HOPG,760.623,97.97963
HD,761.56,99.35369
HOPG,761.623,97.96992
HD,762.56,99.363
HOPG,762.623,97.96734
HD,763.56,99.36198
HOPG,763.623,97.97009
HD,764.56,99.35893
HOPG,764.623,97.97683
HD,765.56,99.34776
HOPG,765.623,97.98936
HD,766.56,99.3306
HOPG,766.623,98.00331
HD,767.56,99.31298
HOPG,767.623,98.00775
HD,768.56,99.29876
HOPG,768.623,97.99479
HD,769.56,99.28392
HOPG,769.623,97.96554
HD,770.56,99.27875
HOPG,770.623,97.92927
HD,771.56,99.27948
HOPG,771.623,97.89736
HD,772.56,99.2767
HOPG,772.623,97.87769
HD,773.56,99.27092
HOPG,773.623,97.87419
HD,774.56,99.2609
HOPG,774.623,97.88734
HD,775.56,99.25556
HOPG,775.623,97.91319
HD,776.56,99.24936
HOPG,776.623,97.94275
HD,777.56,99.24501
HOPG,777.623,97.96406
HD,778.56,99.24412
HOPG,778.623,97.96761
HD,779.56,99.24712
HOPG,779.623,97.95314
HD,780.56,99.25489
HOPG,780.623,97.92958
HD,781.56,99.25214
HOPG,781.623,97.908
HD,782.56,99.24613
HOPG,782.623,97.89628
HD,783.56,99.23521
HOPG,783.623,97.89606
HD,784.56,99.21725
HOPG,784.623,97.90016
HD,785.56,99.2026
HOPG,785.623,97.89813
HD,786.56,99.19527
HOPG,786.623,97.88726
HD,787.56,99.19234
HOPG,787.623,97.87359
HD,788.56,99.19119
HOPG,788.623,97.8643
HD,789.56,99.19552
HOPG,789.623,97.8621
HD,790.56,99.19656
HOPG,790.623,97.86577
HD,791.56,99.18043
HOPG,791.623,97.8719
HD,792.56,99.15987
HOPG,792.623,97.87803
HD,793.56,99.14928
HOPG,793.623,97.88289
HD,794.56,99.14311
HOPG,794.623,97.88315
HD,795.56,99.14301
HOPG,795.623,97.87278
HD,796.56,99.13966
HOPG,796.623,97.85111
HD,797.56,99.13113
HOPG,797.623,97.82663
HD,798.56,99.12171
HOPG,798.623,97.80929
HD,799.56,99.11091
HOPG,799.623,97.80112
HD,800.56,99.10124
HOPG,800.623,97.79717
HD,801.56,99.08918
HOPG,801.623,97.79276
HD,802.56,99.079
HOPG,802.623,97.78798
HD,803.56,99.083
HOPG,803.623,97.78679
HD,804.56,99.09533
HOPG,804.623,97.79201
HD,805.56,99.1007
HOPG,805.623,97.80146
HD,806.56,99.10749
HOPG,806.623,97.81046
HD,807.56,99.10484
HOPG,807.623,97.81718
HD,808.56,99.10459
HOPG,808.623,97.82206
HD,809.56,99.10039
HOPG,809.623,97.82585
HD,810.56,99.10239
HOPG,810.623,97.82965
HD,811.56,99.10011
HOPG,811.623,97.83304
HD,812.56,99.10117
HOPG,812.623,97.8327
HD,813.56,99.10177
HOPG,813.623,97.82764
HD,814.56,99.09446
HOPG,814.623,97.82165
HD,815.56,99.07747
HOPG,815.623,97.81783
HD,816.56,99.06144
HOPG,816.623,97.81495
HD,817.56,99.05562
HOPG,817.623,97.80945
HD,818.56,99.03937
HOPG,818.623,97.79777
HD,819.56,99.02027
HOPG,819.623,97.7783
HD,820.56,99.00629
HOPG,820.623,97.75423
HD,821.56,99.00658
HOPG,821.623,97.73219
HD,822.56,99.00843
HOPG,822.623,97.71685
HD,823.56,99.01562
HOPG,823.623,97.70943
HD,824.56,99.01984
HOPG,824.623,97.71236
HD,825.56,99.01251
HOPG,825.623,97.72907
HD,826.56,99.0008
HOPG,826.623,97.75717
HD,827.56,99.00191
HOPG,827.623,97.78582
HD,828.56,98.99674
HOPG,828.623,97.80206
HD,829.56,98.98552
HOPG,829.623,97.79628
HD,830.56,98.98557
HOPG,830.623,97.76866
HD,831.56,98.98811
HOPG,831.623,97.73194
HD,832.56,98.99057
HOPG,832.623,97.70212
HD,833.56,98.98457
HOPG,833.623,97.68588
HD,834.56,98.97289
HOPG,834.623,97.68244
HD,835.56,98.95434
HOPG,835.623,97.6899
HD,836.56,98.93068
HOPG,836.623,97.7026
HD,837.56,98.91865
HOPG,837.623,97.71213
HD,838.56,98.92434
HOPG,838.623,97.71413
HD,839.56,98.92803
HOPG,839.623,97.70863
HD,840.56,98.93175
HOPG,840.623,97.69807
HD,841.56,98.93224
HOPG,841.623,97.6885
HD,842.56,98.92928
HOPG,842.623,97.68696
HD,843.56,98.9288
HOPG,843.623,97.69325
HD,844.56,98.92457
HOPG,844.623,97.69959
HD,845.56,98.91242
HOPG,845.623,97.69864
HD,846.56,98.89667
HOPG,846.623,97.68886
HD,847.56,98.89962
HOPG,847.623,97.67341
HD,848.56,98.90329
HOPG,848.623,97.6565
HD,849.56,98.90575
HOPG,849.623,97.64211
HD,850.56,98.89924
HOPG,850.623,97.63433
HD,851.56,98.88613
HOPG,851.623,97.63652
HD,852.56,98.87628
HOPG,852.623,97.64558
HD,853.56,98.87345
HOPG,853.623,97.65116
HD,854.56,98.87733
HOPG,854.623,97.64478
HD,855.56,98.87648
HOPG,855.623,97.62809
HD,856.56,98.88005
HOPG,856.623,97.61106
HD,857.56,98.88909
HOPG,857.623,97.60435
HD,858.56,98.9016
HOPG,858.623,97.61202
HD,859.56,98.90866
HOPG,859.623,97.6272
HD,860.56,98.90933
