material,temperature_K,mass_pct
HOPG,1125.623,86.61534
HD,1126.56,69.22286
HOPG,1126.623,86.39942
HD,1127.56,68.51627
HOPG,1127.623,86.20046
HD,1128.56,67.79275
HOPG,1128.623,86.01064
HD,1129.56,67.06721
HOPG,1129.623,85.82169
HD,1130.56,66.34875
HOPG,1130.623,85.62776
HD,1131.56,65.64963
HOPG,1131.623,85.4254
HD,1132.56,64.95276
HOPG,1132.623,85.21097
HD,1133.56,64.23225
HOPG,1133.623,84.98134
HD,1134.56,63.47919
HOPG,1134.623,84.73853
HD,1135.56,62.69354
HOPG,1135.623,84.48968
HD,1136.56,61.87526
HOPG,1136.623,84.24702
HD,1137.56,61.04296
HOPG,1137.623,84.01527
HD,1138.56,60.18624
HOPG,1138.623,83.78583
HD,1139.56,59.29483
HOPG,1139.623,83.54746
HD,1140.56,58.37082
HOPG,1140.623,83.29651
HD,1141.56,57.41995
HOPG,1141.623,83.04093
HD,1142.56,56.43979
HOPG,1142.623,82.78703
HD,1143.56,55.43982
HOPG,1143.623,82.52823
HD,1144.56,54.43913
HOPG,1144.623,82.25588
HD,1145.56,53.45211
HOPG,1145.623,81.97047
HD,1146.56,52.44255
HOPG,1146.623,81.68042
HD,1147.56,51.4242
HOPG,1147.623,81.39473
HD,1148.56,50.39333
HOPG,1148.623,81.11604
HD,1149.56,49.32397
HOPG,1149.623,80.84292
HD,1150.56,48.20724
HOPG,1150.623,80.57047
HD,1151.56,47.05671
HOPG,1151.623,80.29327
HD,1152.56,45.85787
HOPG,1152.623,80.01214
HD,1153.56,44.6178
HOPG,1153.623,79.727
HD,1154.56,43.33766
HOPG,1154.623,79.4341
HD,1155.56,42.00883
HOPG,1155.623,79.13246
HD,1156.56,40.63975
HOPG,1156.623,78.82385
HD,1157.56,39.22202
HOPG,1157.623,78.51027
HD,1158.56,37.75238
HOPG,1158.623,78.19022
HD,1159.56,36.2525
HOPG,1159.623,77.86534
HD,1160.56,34.72474
HOPG,1160.623,77.54015
HD,1161.56,33.18335
HOPG,1161.623,77.21774
HD,1162.56,31.64246
HOPG,1162.623,76.89439
HD,1163.56,30.10425
HOPG,1163.623,76.56482
HD,1164.56,28.57456
HOPG,1164.623,76.2298
HD,1165.56,27.07187
HOPG,1165.623,75.89148
HD,1166.56,25.58077
HOPG,1166.623,75.54615
HD,1167.56,24.11175
HOPG,1167.623,75.192
HD,1168.56,22.68299
HOPG,1168.623,74.82955
HD,1169.56,21.28334
HOPG,1169.623,74.4578
HD,1170.56,19.94201
HOPG,1170.623,74.07675
HD,1171.56,18.66169
HOPG,1171.623,73.69389
HD,1172.56,17.41568
HOPG,1172.623,73.31886
HD,1173.56,16.2002
HOPG,1173.623,72.95353
HD,1174.56,15.00835
HOPG,1174.623,72.59186
HD,1175.56,13.83428
HOPG,1175.623,72.22466
HD,1176.56,12.68833
HOPG,1176.623,71.84777
HD,1177.56,11.56174
HOPG,1177.623,71.45639
HOPG,1178.623,71.0508
HOPG,1179.623,70.63963
HOPG,1180.623,70.23424
HOPG,1181.623,69.83921
HOPG,1182.623,69.44657
HOPG,1183.623,69.04861
HOPG,1184.623,68.64637
HOPG,1185.623,68.24117
HOPG,1186.623,67.83041
HOPG,1187.623,67.41132
HOPG,1188.623,66.98279
HOPG,1189.623,66.54713
HOPG,1190.623,66.11309
HOPG,1191.623,65.68569
HOPG,1192.623,65.26508
HOPG,1193.623,64.84719
HOPG,1194.623,64.42464
HOPG,1195.623,63.98905
HOPG,1196.623,63.53602
HOPG,1197.623,63.06677
HOPG,1198.623,62.58443
HOPG,1199.623,62.08897
HOPG,1200.623,61.57108
HOPG,1201.623,61.04566
HOPG,1202.623,60.54617
HOPG,1203.623,60.06939
HOPG,1204.623,59.59833
HOPG,1205.623,59.12347
HOPG,1206.623,58.63531
HOPG,1207.623,58.11836
HOPG,1208.623,57.55523
HOPG,1209.623,56.95455
HOPG,1210.623,56.34549
HOPG,1211.623,55.75992
HOPG,1212.623,55.2034
HOPG,1213.623,54.65705
HOPG,1214.623,54.10604
HOPG,1215.623,53.54643
HOPG,1216.623,52.97911
HOPG,1217.623,52.4036
HOPG,1218.623,51.8201
HOPG,1219.623,51.24029
HOPG,1220.623,50.68171
HOPG,1221.623,50.15039
HOPG,1222.623,49.6423
HOPG,1223.623,49.13156
HOPG,1224.623,48.58134
HOPG,1225.623,47.98017
HOPG,1226.623,47.35117
HOPG,1227.623,46.71978
HOPG,1228.623,46.09035
HOPG,1229.623,45.45403
HOPG,1230.623,44.81135
HOPG,1231.623,44.17652
HOPG,1232.623,43.56705
HOPG,1233.623,42.9825
HOPG,1234.623,42.39649
HOPG,1235.623,41.78502
HOPG,1236.623,41.15223
HOPG,1237.623,40.52269
HOPG,1238.623,39.91022
HOPG,1239.623,39.31123
HOPG,1240.623,38.7205
HOPG,1241.623,38.13172
HOPG,1242.623,37.53624
HOPG,1243.623,36.92008
HOPG,1244.623,36.27174
HOPG,1245.623,35.6043
HOPG,1246.623,34.94798
HOPG,1247.623,34.31638
HOPG,1248.623,33.69641
HOPG,1249.623,33.07841
HOPG,1250.623,32.46423
HOPG,1251.623,31.85099
HOPG,1252.623,31.22641
HOPG,1253.623,30.5788
HOPG,1254.623,29.90471
HOPG,1255.623,29.21425
HOPG,1256.623,28.52843
HOPG,1257.623,27.85781
HOPG,1258.623,27.19879
HOPG,1259.623,26.5493
HOPG,1260.623,25.90736
HOPG,1261.623,25.25964
HOPG,1262.623,24.59463
HOPG,1263.623,23.91443
HOPG,1264.623,23.23177
HOPG,1265.623,22.55925
HOPG,1266.623,21.9057
HOPG,1267.623,21.27294
HOPG,1268.623,20.65411
HOPG,1269.623,20.05434
HOPG,1270.623,19.4778
HOPG,1271.623,18.91249
HOPG,1272.623,18.34599
HOPG,1273.623,17.77253
HOPG,1274.623,17.18871
HOPG,1275.623,16.59618
HOPG,1276.623,16.00135
HOPG,1277.623,15.4145
HOPG,1278.623,14.84534
HOPG,1279.623,14.29395
HOPG,1280.623,13.75889
