glucosa_mM,replica,luminiscencia_x1e4
0,1,0.1314
0,2,0.1252
0,3,0.1134
2.5,1,0.204
2.5,2,0.1884
2.5,3,0.1772
5,1,0.3571
5,2,0.2553
5,3,0.2834
10,1,3.2602
10,2,3.322
10,3,2.2703
15,1,5.1272
15,2,5.5273
15,3,5.9191
20,1,5.543
20,2,6.1122
20,3,6.3184
25,1,5.9561
25,2,4.6913
25,3,5.4635
