tiempo_min,dosis_glucosa_g_kg,raton,glucosa_mM
0,0,1,8.6
0,0,2,9.8
0,0,3,9.6
0,0,4,7.5
0,0,5,9.6
0,0,6,9.3
0,0.1,1,9.8
0,0.1,2,10.2
0,0.1,3,9.8
0,0.1,4,9.4
0,0.1,5,9.7
0,0.1,6,9.6
0,1,1,8.8
0,1,2,8.4
0,1,3,9.4
0,1,4,9.3
0,1,5,8.9
0,1,6,9.3
0,5,1,8.2
0,5,2,8
0,5,3,8.4
0,5,4,8.1
0,5,5,8.2
0,5,6,7
15,0,1,9.9
15,0,2,10.4
15,0,3,11.2
15,0,4,7.8
15,0,5,10.8
15,0,6,8.8
15,0.1,1,11.7
15,0.1,2,11.6
15,0.1,3,12.1
15,0.1,4,11.8
15,0.1,5,11.3
15,0.1,6,13.2
15,1,1,16.6
15,1,2,17.1
15,1,3,15.5
15,1,4,15.7
15,1,5,13.3
15,1,6,13.9
15,5,1,21.1
15,5,2,19.1
15,5,3,22.9
15,5,4,19.7
15,5,5,21.7
15,5,6,19.1
30,0,1,8.3
30,0,2,8.4
30,0,3,9.8
30,0,4,8.1
30,0,5,10.3
30,0,6,9.6
30,0.1,1,13.2
30,0.1,2,8.2
30,0.1,3,11.3
30,0.1,4,11.2
30,0.1,5,10.8
30,0.1,6,11.9
30,1,1,14.1
30,1,2,11.8
30,1,3,15.1
30,1,4,12.8
30,1,5,12.9
30,1,6,11.1
30,5,1,17.6
30,5,2,18.8
30,5,3,18.6
30,5,4,18
30,5,5,18.9
30,5,6,20.3
45,0,1,8
45,0,2,8.2
45,0,3,10.2
45,0,4,7.8
45,0,5,9.3
45,0,6,9.4
45,0.1,1,12.3
45,0.1,2,8.2
45,0.1,3,11.3
45,0.1,4,11.2
45,0.1,5,12.3
45,0.1,6,11.6
45,1,1,10.7
45,1,2,12.6
45,1,3,13.9
45,1,4,11.8
45,1,5,11.9
45,1,6,10.4
45,5,1,13.2
45,5,2,14.3
45,5,3,14.3
45,5,4,13.3
45,5,5,16.5
45,5,6,13.9
60,0,1,9.8
60,0,2,8.8
60,0,3,10.1
60,0,4,6.9
60,0,5,10.3
60,0,6,9.7
60,0.1,1,11.2
60,0.1,2,9
60,0.1,3,8.8
60,0.1,4,9.7
60,0.1,5,10.7
60,0.1,6,11.1
60,1,1,9.2
60,1,2,10.1
60,1,3,9.6
60,1,4,10.2
60,1,5,10.1
60,1,6,8.9
60,5,1,11.2
60,5,2,11.4
60,5,3,9.6
60,5,4,11.4
60,5,5,10.2
60,5,6,10.7
