fase,mono,auc_glucosa
Antes,1,3672
Antes,2,3521
Antes,3,3632
Antes,4,3353
Antes,5,4068
Despues,1,2523
Despues,2,2369
Despues,3,3486
Despues,4,2385
Despues,5,2564
