genotipo,tratamiento,animal,luminiscencia_x1e7
WT,PBS,1,0.0079
WT,PBS,2,0.0153
WT,PBS,3,0.0064
WT,PBS,4,0.0031
WT,PBS,5,0.0069
db/db,PBS,1,0.0135
db/db,PBS,2,0.0082
db/db,PBS,3,0.0138
db/db,PBS,4,0.0142
db/db,PBS,5,0.0129
WT,GIFTLux,1,0.0422
WT,GIFTLux,2,0.019
WT,GIFTLux,3,0.042
WT,GIFTLux,4,0.0495
WT,GIFTLux,5,0.224
db/db,GIFTLux,1,28.62
db/db,GIFTLux,2,4.558
db/db,GIFTLux,3,8.853
db/db,GIFTLux,4,3.116
db/db,GIFTLux,5,5.429
