temperatura_c,delta_prevalencia_pp,delta_por_1000
15.0,-8.8003,-88.003
15.25,-8.3682,-83.682
15.5,-7.947,-79.47
15.75,-7.5367,-75.367
16.0,-7.1373,-71.373
16.25,-6.7487,-67.487
16.5,-6.371,-63.71
16.75,-6.0042,-60.042
17.0,-5.6483,-56.483
17.25,-5.3032,-53.032
17.5,-4.969,-49.69
17.75,-4.6457,-46.457
18.0,-4.3333,-43.333
18.25,-4.0317,-40.317
18.5,-3.741,-37.41
18.75,-3.4612,-34.612
19.0,-3.1923,-31.923
19.25,-2.9342,-29.342
19.5,-2.687,-26.87
19.75,-2.4507,-24.507
20.0,-2.2253,-22.253
20.25,-2.0107,-20.107
20.5,-1.807,-18.07
20.75,-1.6142,-16.142
21.0,-1.4323,-14.323
21.25,-1.2612,-12.612
21.5,-1.101,-11.01
21.75,-0.9517,-9.517
22.0,-0.8133,-8.133
22.25,-0.6857,-6.857
22.5,-0.569,-5.69
22.75,-0.4632,-4.632
23.0,-0.3683,-3.683
23.25,-0.2842,-2.842
23.5,-0.211,-2.11
23.75,-0.1487,-1.487
24.0,-0.0973,-0.973
24.25,-0.0567,-0.567
24.5,-0.027,-0.27
24.75,-0.0082,-0.082
25.0,-0.0003,-0.003
25.25,-0.0032,-0.032
25.5,-0.017,-0.17
25.75,-0.0417,-0.417
26.0,-0.0773,-0.773
26.25,-0.1237,-1.237
26.5,-0.181,-1.81
26.75,-0.2492,-2.492
27.0,-0.3283,-3.283
27.25,-0.4182,-4.182
27.5,-0.519,-5.19
27.75,-0.6307,-6.307
28.0,-0.7533,-7.533
28.25,-0.8867,-8.867
28.5,-1.031,-10.31
28.75,-1.1862,-11.862
29.0,-1.3523,-13.523
29.25,-1.5292,-15.292
29.5,-1.717,-17.17
29.75,-1.9157,-19.157
30.0,-2.1253,-21.253
30.25,-2.3457,-23.457
30.5,-2.577,-25.77
30.75,-2.8192,-28.192
31.0,-3.0723,-30.723
31.25,-3.3362,-33.362
31.5,-3.611,-36.11
31.75,-3.8967,-38.967
32.0,-4.1933,-41.933
32.25,-4.5007,-45.007
32.5,-4.819,-48.19
32.75,-5.1482,-51.482
33.0,-5.4883,-54.883
33.25,-5.8392,-58.392
33.5,-6.201,-62.01
33.75,-6.5737,-65.737
34.0,-6.9573,-69.573
34.25,-7.3517,-73.517
34.5,-7.757,-77.57
34.75,-8.1732,-81.732
35.0,-8.6003,-86.003
