region,mes_pico_en,mes_pico,pico_pp,pico_ci_bajo_pp,pico_ci_alto_pp,anual_pp,anual_ci_bajo_pp,anual_ci_alto_pp,pico_por_1000,anual_por_1000
Central Africa,Jul,julio,0.66,-0.19,1.74,0.17,-0.3,0.7,6.6,1.7
East Africa,Jul,julio,0.67,-0.45,1.97,0.33,-0.3,1.0,6.7,3.3
Southern Africa,Jun,junio,2.37,0.18,5.14,0.61,-0.24,1.61,23.7,6.1
West Africa,Apr,abril,-1.06,-2.58,0.37,-0.4,-0.96,0.04,-10.6,-4.0
