neuron_id,stimulus,visual_screening_hz,encoding_hz,imagery_hz
3927,stim_12,4.99,4.50,1.44
3927,stim_19,1.87,0.62,1.19
3927,stim_25,1.25,0.12,1.44
3927,stim_123,0.94,0.75,0.50
3927,stim_270,0.94,2.25,0.69
3927,stim_487,0.00,0.87,0.56
3989,stim_12,13.73,10.86,2.81
3989,stim_19,3.75,2.25,2.25
3989,stim_25,0.00,1.12,1.44
3989,stim_123,0.94,2.37,2.12
3989,stim_270,1.87,3.37,1.12
3989,stim_487,1.25,1.00,2.25
7883,stim_12,2.50,6.74,4.25
7883,stim_19,22.47,6.74,6.43
7883,stim_25,13.73,8.74,5.25
7883,stim_123,5.62,3.25,2.81
7883,stim_270,4.68,5.00,3.94
7883,stim_487,2.50,2.12,5.06
2394,stim_18,10.30,8.74,4.75
2394,stim_44,17.79,7.62,6.56
2394,stim_45,4.68,2.62,3.94
2394,stim_81,0.00,4.37,1.69
2394,stim_135,5.62,8.12,2.94
2394,stim_181,8.43,3.75,2.87
2394,stim_230,1.87,0.75,3.69
2394,stim_344,2.81,2.00,2.56
4141,stim_9,3.75,7.49,9.75
4141,stim_157,12.17,8.12,9.12
4141,stim_167,9.36,10.61,10.81
4141,stim_200,10.30,10.11,9.87
4141,stim_201,5.62,12.24,10.37
4141,stim_291,5.62,3.12,10.06
4141,stim_422,8.43,6.99,10.24
4141,stim_498,5.62,4.62,9.25
5786,stim_9,4.68,0.37,1.06
5786,stim_157,2.81,2.00,1.25
5786,stim_167,1.87,1.62,1.19
5786,stim_200,2.81,1.62,1.50
5786,stim_201,0.94,1.75,1.37
5786,stim_291,0.00,0.87,1.69
5786,stim_422,0.94,2.25,1.50
5786,stim_498,1.87,1.37,1.44
2089,stim_9,0.94,1.87,3.00
2089,stim_157,2.81,3.00,2.56
2089,stim_167,3.75,3.75,2.94
2089,stim_200,3.75,2.62,3.06
2089,stim_201,2.81,1.87,2.56
2089,stim_291,1.87,2.50,2.44
2089,stim_422,9.36,5.24,3.12
2089,stim_498,3.75,2.00,2.56
1866,stim_9,0.94,0.75,1.44
1866,stim_157,4.68,3.37,2.56
1866,stim_167,0.94,2.75,1.75
1866,stim_200,4.68,3.75,3.31
1866,stim_201,3.75,3.12,2.00
1866,stim_291,0.00,1.00,1.81
1866,stim_422,0.00,1.12,2.56
1866,stim_498,1.87,0.50,1.69
3494,stim_9,2.81,1.75,3.56
3494,stim_12,1.87,3.75,4.31
3494,stim_117,3.75,6.99,2.50
3494,stim_292,14.04,8.62,4.94
3494,stim_360,5.62,4.62,3.56
3494,stim_368,0.94,5.12,6.87
3494,stim_421,2.81,2.75,2.19
3494,stim_492,0.94,5.87,2.00
2529,stim_9,7.49,4.87,5.56
2529,stim_12,6.55,3.50,3.62
2529,stim_117,0.94,3.12,4.44
2529,stim_292,2.81,1.87,3.44
2529,stim_360,4.68,3.62,4.69
2529,stim_368,6.55,6.24,5.62
2529,stim_421,5.62,3.25,3.75
2529,stim_492,3.75,3.25,3.50
