stimulus_rank,neuron_1_hz,neuron_2_hz,neuron_3_hz,neuron_1_name,neuron_2_name,neuron_3_name
1,43.07,32.77,16.23,1288,1566,615
2,22.47,28.09,12.48,1288,1566,615
3,21.54,24.34,11.24,1288,1566,615
4,17.79,14.04,11.24,1288,1566,615
5,15.92,12.17,9.99,1288,1566,615
6,14.98,10.30,8.74,1288,1566,615
7,14.04,8.43,7.49,1288,1566,615
8,14.04,7.49,7.49,1288,1566,615
9,14.04,7.49,6.24,1288,1566,615
10,13.11,7.49,6.24,1288,1566,615
11,12.17,7.49,6.24,1288,1566,615
12,11.24,6.55,6.24,1288,1566,615
13,7.49,6.55,6.24,1288,1566,615
14,7.49,6.55,6.24,1288,1566,615
15,6.55,6.55,6.24,1288,1566,615
16,6.55,5.62,4.99,1288,1566,615
17,6.55,5.62,4.99,1288,1566,615
18,5.62,5.62,4.99,1288,1566,615
19,5.62,4.68,4.99,1288,1566,615
20,5.62,4.68,4.99,1288,1566,615
21,4.68,4.68,3.75,1288,1566,615
22,4.68,4.68,3.75,1288,1566,615
23,4.68,4.68,3.75,1288,1566,615
24,3.75,3.75,3.75,1288,1566,615
25,3.75,3.75,3.75,1288,1566,615
26,2.81,3.75,3.75,1288,1566,615
27,2.81,3.75,3.75,1288,1566,615
28,2.81,2.81,3.75,1288,1566,615
29,2.81,2.81,2.50,1288,1566,615
30,1.87,2.81,2.50,1288,1566,615
31,1.87,2.81,2.50,1288,1566,615
32,1.87,2.81,2.50,1288,1566,615
33,1.87,2.81,2.50,1288,1566,615
34,1.87,2.81,2.50,1288,1566,615
35,1.87,2.81,2.50,1288,1566,615
36,1.87,2.81,2.50,1288,1566,615
37,1.87,2.81,2.50,1288,1566,615
38,1.87,2.81,2.50,1288,1566,615
39,1.87,2.81,2.50,1288,1566,615
40,0.94,2.81,2.50,1288,1566,615
41,0.94,1.87,2.50,1288,1566,615
42,0.94,1.87,2.50,1288,1566,615
43,0.94,1.87,2.50,1288,1566,615
44,0.94,1.87,2.50,1288,1566,615
45,0.94,1.87,2.50,1288,1566,615
46,0.94,1.87,2.50,1288,1566,615
47,0.94,1.87,2.50,1288,1566,615
48,0.94,1.87,2.50,1288,1566,615
49,0.94,1.87,2.50,1288,1566,615
50,0.94,1.87,2.50,1288,1566,615
51,0.94,1.87,2.50,1288,1566,615
52,0.94,1.87,2.50,1288,1566,615
53,0.94,1.87,2.50,1288,1566,615
54,0.94,1.87,2.50,1288,1566,615
55,0.94,1.87,1.25,1288,1566,615
56,0.94,1.87,1.25,1288,1566,615
57,0.94,1.87,1.25,1288,1566,615
58,0.94,1.87,1.25,1288,1566,615
59,0.94,1.87,1.25,1288,1566,615
60,0.94,1.87,1.25,1288,1566,615
61,0.94,1.87,1.25,1288,1566,615
62,0.94,1.87,1.25,1288,1566,615
63,0.94,1.87,1.25,1288,1566,615
64,0.94,1.87,1.25,1288,1566,615
65,0.94,1.87,1.25,1288,1566,615
66,0.94,1.87,1.25,1288,1566,615
67,0.94,1.87,1.25,1288,1566,615
68,0.00,1.87,1.25,1288,1566,615
69,0.00,1.87,1.25,1288,1566,615
70,0.00,1.87,1.25,1288,1566,615
71,0.00,1.87,1.25,1288,1566,615
72,0.00,1.87,1.25,1288,1566,615
73,0.00,1.87,1.25,1288,1566,615
74,0.00,1.87,1.25,1288,1566,615
75,0.00,1.87,1.25,1288,1566,615
76,0.00,1.87,1.25,1288,1566,615
77,0.00,0.94,1.25,1288,1566,615
78,0.00,0.94,1.25,1288,1566,615
79,0.00,0.94,1.25,1288,1566,615
80,0.00,0.94,1.25,1288,1566,615
81,0.00,0.94,1.25,1288,1566,615
82,0.00,0.94,1.25,1288,1566,615
83,0.00,0.94,1.25,1288,1566,615
84,0.00,0.94,1.25,1288,1566,615
85,0.00,0.94,1.25,1288,1566,615
86,0.00,0.94,1.25,1288,1566,615
87,0.00,0.94,1.25,1288,1566,615
88,0.00,0.94,1.25,1288,1566,615
89,0.00,0.94,1.25,1288,1566,615
90,0.00,0.94,1.25,1288,1566,615
91,0.00,0.94,1.25,1288,1566,615
92,0.00,0.94,1.25,1288,1566,615
93,0.00,0.94,1.25,1288,1566,615
94,0.00,0.94,1.25,1288,1566,615
95,0.00,0.94,1.25,1288,1566,615
96,0.00,0.94,1.25,1288,1566,615
97,0.00,0.94,1.25,1288,1566,615
98,0.00,0.94,1.25,1288,1566,615
99,0.00,0.94,1.25,1288,1566,615
100,0.00,0.94,1.25,1288,1566,615
101,0.00,0.94,1.25,1288,1566,615
102,0.00,0.94,1.25,1288,1566,615
103,0.00,0.94,1.25,1288,1566,615
104,0.00,0.94,1.25,1288,1566,615
105,0.00,0.94,1.25,1288,1566,615
106,0.00,0.94,1.25,1288,1566,615
107,0.00,0.94,1.25,1288,1566,615
108,0.00,0.94,1.25,1288,1566,615
109,0.00,0.94,1.25,1288,1566,615
110,0.00,0.94,1.25,1288,1566,615
111,0.00,0.94,1.25,1288,1566,615
112,0.00,0.94,1.25,1288,1566,615
113,0.00,0.94,1.25,1288,1566,615
114,0.00,0.94,1.25,1288,1566,615
115,0.00,0.94,1.25,1288,1566,615
116,0.00,0.94,1.25,1288,1566,615
117,0.00,0.94,1.25,1288,1566,615
118,0.00,0.94,1.25,1288,1566,615
119,0.00,0.94,1.25,1288,1566,615
120,0.00,0.94,1.25,1288,1566,615
121,0.00,0.94,1.25,1288,1566,615
122,0.00,0.94,1.25,1288,1566,615
123,0.00,0.94,1.25,1288,1566,615
124,0.00,0.94,1.25,1288,1566,615
125,0.00,0.94,0.00,1288,1566,615
126,0.00,0.94,0.00,1288,1566,615
127,0.00,0.94,0.00,1288,1566,615
128,0.00,0.94,0.00,1288,1566,615
129,0.00,0.94,0.00,1288,1566,615
130,0.00,0.94,0.00,1288,1566,615
131,0.00,0.94,0.00,1288,1566,615
132,0.00,0.94,0.00,1288,1566,615
133,0.00,0.94,0.00,1288,1566,615
134,0.00,0.94,0.00,1288,1566,615
135,0.00,0.94,0.00,1288,1566,615
136,0.00,0.94,0.00,1288,1566,615
