year_ce,amoc_index_k,uncertainty_2sigma
900.0,0.4633135,0.6679749
901.0,0.55474567,0.6679749
902.0,0.63565281,0.6679749
903.0,0.69895023,0.6679749
904.0,0.74131336,0.6679749
905.0,0.76307417,0.6679749
906.0,0.76721546,0.6679749
907.0,0.75799042,0.6679749
908.0,0.73974188,0.6679749
909.0,0.71630293,0.6679749
910.0,0.69102902,0.6679749
911.0,0.66719021,0.6679749
912.0,0.64828535,0.6679749
913.0,0.63789958,0.6679749
914.0,0.6389822,0.6679749
915.0,0.65275911,0.6679749
916.0,0.6777559,0.6679749
917.0,0.70946682,0.6679749
918.0,0.74101971,0.6679749
919.0,0.76481537,0.6679749
920.0,0.77470895,0.6679749
921.0,0.76801828,0.6679749
922.0,0.74661871,0.6679749
923.0,0.71664572,0.6679749
924.0,0.68679249,0.6679749
925.0,0.66569251,0.6679749
926.0,0.65922863,0.6679749
927.0,0.66866998,0.6679749
928.0,0.69027671,0.6679749
929.0,0.71651631,0.6679749
930.0,0.73848192,0.6679749
931.0,0.74869335,0.6679749
932.0,0.74334138,0.6679749
933.0,0.72324876,0.6679749
934.0,0.69328466,0.6679749
935.0,0.6605123,0.6679749
936.0,0.63177662,0.6679749
937.0,0.61159805,0.6679749
938.0,0.60108255,0.6679749
939.0,0.59815469,0.6679749
940.0,0.59892528,0.6679749
941.0,0.59960326,0.6679749
942.0,0.59819386,0.6679749
943.0,0.59534468,0.6679749
944.0,0.59404898,0.6679749
945.0,0.59835628,0.6679749
946.0,0.61160625,0.6679749
947.0,0.63486522,0.6679749
948.0,0.66615303,0.6679749
949.0,0.70074594,0.6679749
950.0,0.73244608,0.6679749
951.0,0.75536529,0.6679749
952.0,0.76560116,0.6679749
953.0,0.76223953,0.6679749
954.0,0.74737267,0.6679749
955.0,0.72517592,0.6679749
956.0,0.70040922,0.6679749
957.0,0.67688853,0.6679749
958.0,0.65644973,0.6679749
959.0,0.63872129,0.6679749
960.0,0.62171654,0.6679749
961.0,0.6029683,0.6679749
962.0,0.58076011,0.6679749
963.0,0.55501195,0.6679749
964.0,0.52753856,0.6679749
965.0,0.50164203,0.6679749
966.0,0.48122983,0.6679749
967.0,0.46978362,0.6679749
968.0,0.46950633,0.6679749
969.0,0.48086411,0.6679749
970.0,0.50257549,0.6679749
971.0,0.53195289,0.6679749
972.0,0.56542424,0.6679749
973.0,0.59906925,0.6679749
974.0,0.62907393,0.6679749
975.0,0.65209149,0.6679749
976.0,0.66555436,0.6679749
977.0,0.66798335,0.6679749
978.0,0.65929263,0.6679749
979.0,0.64102063,0.6679749
980.0,0.6163679,0.6679749
981.0,0.58992552,0.6679749
982.0,0.56704149,0.6679749
983.0,0.55288216,0.6679749
984.0,0.55136471,0.6679749
985.0,0.56422108,0.6679749
986.0,0.59046902,0.6679749
987.0,0.62649522,0.6679749
988.0,0.66680757,0.6679749
989.0,0.70532453,0.6679749
990.0,0.73688975,0.6679749
991.0,0.75859035,0.6679749
992.0,0.77046624,0.6679749
993.0,0.77534385,0.6679749
994.0,0.77778721,0.6679749
995.0,0.7824592,0.6679749
996.0,0.79242291,0.6679749
997.0,0.8079886,0.6679749
998.0,0.82656815,0.6679749
999.0,0.8436617,0.6679749
1000.0,0.85467474,0.66905654
1001.0,0.85690736,0.66905654
1002.0,0.85092513,0.66905654
1003.0,0.8406924,0.66905654
1004.0,0.83228873,0.66905654
1005.0,0.83158587,0.66905654
1006.0,0.84172024,0.66905654
1007.0,0.86135844,0.66905654
1008.0,0.88452981,0.66905654
1009.0,0.90225075,0.66905654
1010.0,0.90548854,0.66905654
1011.0,0.88846608,0.66905654
1012.0,0.85111665,0.66905654
1013.0,0.79974392,0.66905654
1014.0,0.74555049,0.66905654
1015.0,0.70144327,0.66905654
1016.0,0.67813607,0.66905654
1017.0,0.68082542,0.66905654
1018.0,0.70753044,0.66905654
1019.0,0.7496336,0.66905654
1020.0,0.79444003,0.66905654
1021.0,0.82893307,0.66905654
1022.0,0.84355133,0.66905654
1023.0,0.83484506,0.66905654
1024.0,0.80625424,0.66905654
1025.0,0.7668491,0.66905654
1026.0,0.72849028,0.66905654
1027.0,0.70231495,0.66905654
1028.0,0.69561484,0.66905654
1029.0,0.7100074,0.66905654
1030.0,0.74137728,0.66905654
1031.0,0.78151348,0.66905654
1032.0,0.82085768,0.66905654
1033.0,0.85146077,0.66905654
1034.0,0.86921454,0.66905654
1035.0,0.87468683,0.66905654
1036.0,0.87235945,0.66905654
1037.0,0.86859519,0.66905654
1038.0,0.86907273,0.66905654
1039.0,0.87658963,0.66905654
1040.0,0.88999094,0.66905654
1041.0,0.90458276,0.66905654
1042.0,0.91387368,0.66905654
1043.0,0.91202874,0.66905654
1044.0,0.89617727,0.66905654
1045.0,0.86776808,0.66905654
1046.0,0.83248991,0.66905654
1047.0,0.79875589,0.66905654
1048.0,0.77522438,0.66905654
1049.0,0.76813734,0.66905654
